change_id,planned_start,planned_end,ci_id,business_service,change_type,risk_level,approval_group,implementation_owner,status,backout_plan_tested,caused_incident_id,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
CHG-MH-00001,2026-03-13,2026-03-14,CI-APP-EPIC-CABOODLE,Revenue Cycle,Normal,Medium,Cloud Migration Control Board,Epic Platform Operations,Approved,true,,ServiceNow Change,CHG-MH-00001,Change Management,2026-06-04,0.84,true,
CHG-MH-00002,2026-03-14,2026-03-15,CI-APP-EPIC-CLARITY,Patient Access,Emergency,High,AI Governance Council,Integration Operations,Implemented,true,,ServiceNow Change,CHG-MH-00002,Change Management,2026-06-04,0.84,true,
CHG-MH-00003,2026-03-15,2026-03-16,CI-APP-EPIC-MYCHART,Claims,Standard,Low,Clinical Change Advisory Board,Cloud Migration Factory,Scheduled,true,,ServiceNow Change,CHG-MH-00003,Change Management,2026-06-04,0.84,true,
CHG-MH-00004,2026-03-16,2026-03-17,CI-APP-EPIC-RESOLUTE-HB,Care Management,Normal,Medium,Cloud Migration Control Board,Epic Platform Operations,Approved,false,,ServiceNow Change,CHG-MH-00004,Change Management,2026-06-04,0.84,true,
CHG-MH-00005,2026-03-17,2026-03-18,CI-APP-EPIC-RESOLUTE-PB,Cloud Hosting,Emergency,High,AI Governance Council,Integration Operations,Implemented,true,,ServiceNow Change,CHG-MH-00005,Change Management,2026-06-04,0.84,true,
CHG-MH-00006,2026-03-18,2026-03-19,CI-INT-RHAPSODY,Enterprise Analytics,Standard,Low,Clinical Change Advisory Board,Cloud Migration Factory,Scheduled,true,,ServiceNow Change,CHG-MH-00006,Change Management,2026-06-04,0.84,true,
CHG-MH-00007,2026-03-19,2026-03-20,CI-API-FHIR-GATEWAY,Clinical Documentation,Normal,Medium,Cloud Migration Control Board,Epic Platform Operations,Approved,true,,ServiceNow Change,CHG-MH-00007,Change Management,2026-06-04,0.84,true,
CHG-MH-00008,2026-03-20,2026-03-21,CI-ERP-ORACLE,Revenue Cycle,Emergency,High,AI Governance Council,Integration Operations,Implemented,false,,ServiceNow Change,CHG-MH-00008,Change Management,2026-06-04,0.84,true,
CHG-MH-00009,2026-03-21,2026-03-22,CI-HCM-WORKDAY,Patient Access,Standard,Low,Clinical Change Advisory Board,Cloud Migration Factory,Scheduled,true,,ServiceNow Change,CHG-MH-00009,Change Management,2026-06-04,0.84,true,
CHG-MH-00010,2026-03-22,2026-03-23,CI-ITSM-SERVICENOW,Claims,Normal,Medium,Cloud Migration Control Board,Epic Platform Operations,Approved,true,,ServiceNow Change,CHG-MH-00010,Change Management,2026-06-04,0.84,true,
CHG-MH-00011,2026-03-23,2026-03-24,CI-DATA-DATABRICKS,Care Management,Emergency,High,AI Governance Council,Integration Operations,Implemented,true,,ServiceNow Change,CHG-MH-00011,Change Management,2026-06-04,0.84,true,
CHG-MH-00012,2026-03-24,2026-03-25,CI-DATA-COLLIBRA,Cloud Hosting,Standard,Low,Clinical Change Advisory Board,Cloud Migration Factory,Scheduled,false,,ServiceNow Change,CHG-MH-00012,Change Management,2026-06-04,0.84,true,
CHG-MH-00013,2026-03-25,2026-03-26,CI-IAM-ENTRA,Enterprise Analytics,Normal,Medium,Cloud Migration Control Board,Epic Platform Operations,Approved,true,,ServiceNow Change,CHG-MH-00013,Change Management,2026-06-04,0.84,true,
CHG-MH-00014,2026-03-26,2026-03-27,CI-SEC-CROWDSTRIKE,Clinical Documentation,Emergency,High,AI Governance Council,Integration Operations,Implemented,true,,ServiceNow Change,CHG-MH-00014,Change Management,2026-06-04,0.84,true,
CHG-MH-00015,2026-03-27,2026-03-28,CI-AWS-LANDING-ZONE,Revenue Cycle,Standard,Low,Clinical Change Advisory Board,Cloud Migration Factory,Scheduled,true,,ServiceNow Change,CHG-MH-00015,Change Management,2026-06-04,0.84,true,
CHG-MH-00016,2026-03-28,2026-03-29,CI-LEGACY-VM-001,Patient Access,Normal,Medium,Cloud Migration Control Board,Epic Platform Operations,Approved,false,,ServiceNow Change,CHG-MH-00016,Change Management,2026-06-04,0.84,true,
CHG-MH-00017,2026-03-29,2026-03-30,CI-LEGACY-VM-002,Claims,Emergency,High,AI Governance Council,Integration Operations,Implemented,true,,ServiceNow Change,CHG-MH-00017,Change Management,2026-06-04,0.84,true,
CHG-MH-00018,2026-03-30,2026-03-31,CI-LEGACY-VM-003,Care Management,Standard,Low,Clinical Change Advisory Board,Cloud Migration Factory,Scheduled,true,,ServiceNow Change,CHG-MH-00018,Change Management,2026-06-04,0.84,true,
CHG-MH-00019,2026-03-31,2026-04-01,CI-LEGACY-VM-004,Cloud Hosting,Normal,Medium,Cloud Migration Control Board,Epic Platform Operations,Approved,true,,ServiceNow Change,CHG-MH-00019,Change Management,2026-06-04,0.84,true,
