vendor_id,vendor_name,contract_id,contract_name,category,contract_owner,relationship_owner,start_date,end_date,annual_spend_usd,termination_notice_days,baa_required,security_review_status,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
VEN-EPIC,Epic Systems,CON-EPIC-CORE-2027,Epic Enterprise License and Hosting,Clinical Systems,Strategic Sourcing,Vendor and AMS Governance,2026-01-01,2028-12-31,28600000,120,false,Due,Contract repository,CON-EPIC-CORE-2027,Strategic Sourcing,2026-06-04,0.89,true,
VEN-AMS-EPIC,Redwood Clinical AMS,CON-AMS-EPIC-2026,Epic AMS Transition and Run Services,AMS - Epic,Strategic Sourcing,Vendor and AMS Governance,2026-01-01,2028-12-31,18400000,120,true,Current,Contract repository,CON-AMS-EPIC-2026,Strategic Sourcing,2026-06-04,0.89,true,
VEN-AMS-DATA,Sierra Data Operations,CON-AMS-DATA-2026,Data and Analytics AMS,AMS - Data Analytics,Strategic Sourcing,Vendor and AMS Governance,2026-01-01,2028-12-31,12600000,120,true,Current,Contract repository,CON-AMS-DATA-2026,Strategic Sourcing,2026-06-04,0.89,true,
VEN-AWS,Amazon Web Services,CON-AWS-EA-2027,AWS Enterprise Agreement,Cloud Infrastructure,Strategic Sourcing,Vendor and AMS Governance,2026-01-01,2028-12-31,48200000,120,true,Current,Contract repository,CON-AWS-EA-2027,Strategic Sourcing,2026-06-04,0.89,true,
VEN-ORACLE,Oracle,CON-ORACLE-ERP-2028,Oracle ERP Cloud,ERP and Finance,Strategic Sourcing,Vendor and AMS Governance,2026-01-01,2028-12-31,14300000,120,true,Current,Contract repository,CON-ORACLE-ERP-2028,Strategic Sourcing,2026-06-04,0.89,true,
VEN-WORKDAY,Workday,CON-WORKDAY-2028,Workday HCM,HCM,Strategic Sourcing,Vendor and AMS Governance,2026-01-01,2028-12-31,9200000,120,true,Current,Contract repository,CON-WORKDAY-2028,Strategic Sourcing,2026-06-04,0.89,true,
VEN-SNOW,ServiceNow,CON-SNOW-2028,ServiceNow ITSM and CMDB,ITSM / CMDB,Strategic Sourcing,Vendor and AMS Governance,2026-01-01,2028-12-31,7100000,120,true,Current,Contract repository,CON-SNOW-2028,Strategic Sourcing,2026-06-04,0.89,true,
VEN-DATABRICKS,Databricks,CON-DATABRICKS-2028,Lakehouse Platform,Data Platform,Strategic Sourcing,Vendor and AMS Governance,2026-01-01,2028-12-31,9800000,120,true,Current,Contract repository,CON-DATABRICKS-2028,Strategic Sourcing,2026-06-04,0.89,true,
VEN-MICROSOFT,Microsoft,CON-M365-2028,Microsoft 365 and Entra,Productivity and Identity,Strategic Sourcing,Vendor and AMS Governance,2026-01-01,2028-12-31,22400000,120,true,Current,Contract repository,CON-M365-2028,Strategic Sourcing,2026-06-04,0.89,true,
VEN-RHAPSODY,Rhapsody,CON-RHAPSODY-2027,Integration Engine,Integration,Strategic Sourcing,Vendor and AMS Governance,2026-01-01,2028-12-31,3600000,120,true,Current,Contract repository,CON-RHAPSODY-2027,Strategic Sourcing,2026-06-04,0.89,true,
VEN-COLLIBRA,Collibra,CON-COLLIBRA-2027,Data Governance Catalog,Data Governance,Strategic Sourcing,Vendor and AMS Governance,2026-01-01,2028-12-31,2900000,120,false,Due,Contract repository,CON-COLLIBRA-2027,Strategic Sourcing,2026-06-04,0.89,true,
