incident_id,opened_at,closed_at,ci_id,business_service,priority,severity,assignment_group,short_description,resolution_code,breach_sla,related_problem_id,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
INC-MH-00001,2026-02-01,2026-02-02,CI-APP-EPIC-CABOODLE,Revenue Cycle,P2,High,Integration Operations,Revenue Cycle disruption during AWS-hosted transition wave 1,Monitoring restored,false,,ServiceNow ITSM,INC-MH-00001,ITSM Stewardship,2026-06-04,0.82,true,
INC-MH-00002,2026-02-02,2026-02-03,CI-APP-EPIC-CLARITY,Patient Access,P3,Medium,Cloud Migration Factory,Patient Access disruption during AWS-hosted transition wave 2,Monitoring restored,false,PRB-MH-0003,ServiceNow ITSM,INC-MH-00002,ITSM Stewardship,2026-06-04,0.82,true,
INC-MH-00003,2026-02-03,2026-02-04,CI-APP-EPIC-MYCHART,Claims,P4,Low,Service Desk,Claims disruption during AWS-hosted transition wave 3,Monitoring restored,false,,ServiceNow ITSM,INC-MH-00003,ITSM Stewardship,2026-06-04,0.82,true,
INC-MH-00004,2026-02-04,2026-02-05,CI-APP-EPIC-RESOLUTE-HB,Care Management,P1,Critical,Epic Platform Operations,Care Management disruption during AWS-hosted transition wave 4,Monitoring restored,false,PRB-MH-0005,ServiceNow ITSM,INC-MH-00004,ITSM Stewardship,2026-06-04,0.82,true,
INC-MH-00005,2026-02-05,2026-02-06,CI-APP-EPIC-RESOLUTE-PB,Cloud Hosting,P2,High,Integration Operations,Cloud Hosting disruption during AWS-hosted transition wave 5,Monitoring restored,false,,ServiceNow ITSM,INC-MH-00005,ITSM Stewardship,2026-06-04,0.82,true,
INC-MH-00006,2026-02-06,2026-02-07,CI-INT-RHAPSODY,Enterprise Analytics,P3,Medium,Cloud Migration Factory,Enterprise Analytics disruption during AWS-hosted transition wave 6,Monitoring restored,false,PRB-MH-0007,ServiceNow ITSM,INC-MH-00006,ITSM Stewardship,2026-06-04,0.82,true,
INC-MH-00007,2026-02-07,,CI-API-FHIR-GATEWAY,Clinical Documentation,P4,Low,Service Desk,Clinical Documentation disruption during AWS-hosted transition wave 7,,false,,ServiceNow ITSM,INC-MH-00007,ITSM Stewardship,2026-06-04,0.82,true,
INC-MH-00008,2026-02-08,2026-02-09,CI-ERP-ORACLE,Revenue Cycle,P1,Critical,Epic Platform Operations,Revenue Cycle disruption during AWS-hosted transition wave 0,Monitoring restored,false,PRB-MH-0009,ServiceNow ITSM,INC-MH-00008,ITSM Stewardship,2026-06-04,0.82,true,
INC-MH-00009,2026-02-09,2026-02-10,CI-HCM-WORKDAY,Patient Access,P2,High,Integration Operations,Patient Access disruption during AWS-hosted transition wave 1,Monitoring restored,false,,ServiceNow ITSM,INC-MH-00009,ITSM Stewardship,2026-06-04,0.82,true,
INC-MH-00010,2026-02-10,2026-02-11,CI-ITSM-SERVICENOW,Claims,P3,Medium,Cloud Migration Factory,Claims disruption during AWS-hosted transition wave 2,Monitoring restored,false,PRB-MH-0011,ServiceNow ITSM,INC-MH-00010,ITSM Stewardship,2026-06-04,0.82,true,
INC-MH-00011,2026-02-11,2026-02-12,CI-DATA-DATABRICKS,Care Management,P4,Low,Service Desk,Care Management disruption during AWS-hosted transition wave 3,Monitoring restored,true,,ServiceNow ITSM,INC-MH-00011,ITSM Stewardship,2026-06-04,0.82,true,
INC-MH-00012,2026-02-12,2026-02-13,CI-DATA-COLLIBRA,Cloud Hosting,P1,Critical,Epic Platform Operations,Cloud Hosting disruption during AWS-hosted transition wave 4,Monitoring restored,false,PRB-MH-0013,ServiceNow ITSM,INC-MH-00012,ITSM Stewardship,2026-06-04,0.82,true,
