renewal_id,contract_id,vendor_id,renewal_date,notice_date,renewal_type,estimated_value_usd,sourcing_required,decision_owner,renewal_risk,status,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
REN-MH-001,CON-EPIC-CORE-2027,VEN-EPIC,2026-07-05,2026-05-06,Negotiated renewal,28600000,false,Strategic Sourcing,Medium,Planning,Contract repository,REN-MH-001,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-002,CON-AMS-EPIC-2026,VEN-AMS-EPIC,2026-07-10,2026-05-11,Competitive sourcing,18400000,true,Strategic Sourcing,High,In sourcing,Contract repository,REN-MH-002,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-003,CON-AMS-DATA-2026,VEN-AMS-DATA,2026-07-15,2026-05-16,Auto-renew,12600000,true,Strategic Sourcing,High,Open,Contract repository,REN-MH-003,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-004,CON-AWS-EA-2027,VEN-AWS,2026-07-20,2026-05-21,Negotiated renewal,48200000,true,Strategic Sourcing,Medium,Planning,Contract repository,REN-MH-004,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-005,CON-ORACLE-ERP-2028,VEN-ORACLE,2026-07-25,2026-05-26,Competitive sourcing,14300000,false,Strategic Sourcing,Medium,In sourcing,Contract repository,REN-MH-005,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-006,CON-WORKDAY-2028,VEN-WORKDAY,2026-07-30,2026-05-31,Auto-renew,9200000,false,Strategic Sourcing,Medium,Open,Contract repository,REN-MH-006,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-007,CON-SNOW-2028,VEN-SNOW,2026-08-04,2026-06-05,Negotiated renewal,7100000,false,Strategic Sourcing,Medium,Planning,Contract repository,REN-MH-007,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-008,CON-DATABRICKS-2028,VEN-DATABRICKS,2026-08-09,2026-06-10,Competitive sourcing,9800000,true,Strategic Sourcing,Medium,In sourcing,Contract repository,REN-MH-008,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-009,CON-M365-2028,VEN-MICROSOFT,2026-08-14,2026-06-15,Auto-renew,22400000,false,Strategic Sourcing,Medium,Open,Contract repository,REN-MH-009,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-010,CON-RHAPSODY-2027,VEN-RHAPSODY,2026-08-19,2026-06-20,Negotiated renewal,3600000,false,Strategic Sourcing,Medium,Planning,Contract repository,REN-MH-010,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-011,CON-COLLIBRA-2027,VEN-COLLIBRA,2026-08-24,2026-06-25,Competitive sourcing,2900000,false,Strategic Sourcing,Medium,In sourcing,Contract repository,REN-MH-011,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-012,CON-CROWDSTRIKE-2027,VEN-CROWDSTRIKE,2026-08-29,2026-06-30,Auto-renew,5100000,true,Strategic Sourcing,Medium,Open,Contract repository,REN-MH-012,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-013,CON-MH-013-2027,VEN-MH-013,2026-09-03,2026-07-05,Negotiated renewal,2499000,false,Strategic Sourcing,High,Planning,Contract repository,REN-MH-013,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-014,CON-MH-014-2027,VEN-MH-014,2026-09-08,2026-07-10,Competitive sourcing,2672000,false,Strategic Sourcing,Medium,In sourcing,Contract repository,REN-MH-014,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-015,CON-MH-015-2027,VEN-MH-015,2026-09-13,2026-07-15,Auto-renew,2845000,false,Strategic Sourcing,Medium,Open,Contract repository,REN-MH-015,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-016,CON-MH-016-2027,VEN-MH-016,2026-09-18,2026-07-20,Negotiated renewal,3018000,true,Strategic Sourcing,Medium,Planning,Contract repository,REN-MH-016,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-017,CON-MH-017-2027,VEN-MH-017,2026-09-23,2026-07-25,Competitive sourcing,3191000,false,Strategic Sourcing,Medium,In sourcing,Contract repository,REN-MH-017,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-018,CON-MH-018-2027,VEN-MH-018,2026-09-28,2026-07-30,Auto-renew,3364000,false,Strategic Sourcing,Medium,Open,Contract repository,REN-MH-018,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-019,CON-MH-019-2027,VEN-MH-019,2026-10-03,2026-08-04,Negotiated renewal,3537000,false,Strategic Sourcing,Medium,Planning,Contract repository,REN-MH-019,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-020,CON-MH-020-2027,VEN-MH-020,2026-10-08,2026-08-09,Competitive sourcing,3710000,true,Strategic Sourcing,Medium,In sourcing,Contract repository,REN-MH-020,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-021,CON-MH-021-2027,VEN-MH-021,2026-10-13,2026-08-14,Auto-renew,3883000,false,Strategic Sourcing,Medium,Open,Contract repository,REN-MH-021,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-022,CON-MH-022-2027,VEN-MH-022,2026-10-18,2026-08-19,Negotiated renewal,4056000,false,Strategic Sourcing,Medium,Planning,Contract repository,REN-MH-022,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-023,CON-MH-023-2027,VEN-MH-023,2026-10-23,2026-08-24,Competitive sourcing,4229000,false,Strategic Sourcing,Medium,In sourcing,Contract repository,REN-MH-023,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-024,CON-MH-024-2027,VEN-MH-024,2026-10-28,2026-08-29,Auto-renew,4402000,true,Strategic Sourcing,Medium,Open,Contract repository,REN-MH-024,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-025,CON-MH-025-2027,VEN-MH-025,2026-11-02,2026-09-03,Negotiated renewal,4575000,false,Strategic Sourcing,Medium,Planning,Contract repository,REN-MH-025,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-026,CON-MH-026-2027,VEN-MH-026,2026-11-07,2026-09-08,Competitive sourcing,4748000,false,Strategic Sourcing,High,In sourcing,Contract repository,REN-MH-026,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-027,CON-MH-027-2027,VEN-MH-027,2026-11-12,2026-09-13,Auto-renew,4921000,false,Strategic Sourcing,Medium,Open,Contract repository,REN-MH-027,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-028,CON-MH-028-2027,VEN-MH-028,2026-11-17,2026-09-18,Negotiated renewal,294000,true,Strategic Sourcing,Medium,Planning,Contract repository,REN-MH-028,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-029,CON-MH-029-2027,VEN-MH-029,2026-11-22,2026-09-23,Competitive sourcing,467000,false,Strategic Sourcing,Medium,In sourcing,Contract repository,REN-MH-029,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-030,CON-MH-030-2027,VEN-MH-030,2026-11-27,2026-09-28,Auto-renew,640000,false,Strategic Sourcing,Medium,Open,Contract repository,REN-MH-030,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-031,CON-MH-031-2027,VEN-MH-031,2026-12-02,2026-10-03,Negotiated renewal,813000,false,Strategic Sourcing,Medium,Planning,Contract repository,REN-MH-031,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-032,CON-MH-032-2027,VEN-MH-032,2026-12-07,2026-10-08,Competitive sourcing,986000,true,Strategic Sourcing,Medium,In sourcing,Contract repository,REN-MH-032,Strategic Sourcing,2026-06-04,0.84,true,
REN-MH-033,CON-MH-033-2027,VEN-MH-033,2026-12-12,2026-10-13,Auto-renew,1159000,false,Strategic Sourcing,Medium,Open,Contract repository,REN-MH-033,Strategic Sourcing,2026-06-04,0.84,true,
