problem_id,opened_at,closed_at,ci_id,business_service,priority,root_cause_category,known_error,status,owner,linked_incident_count,workaround_available,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
PRB-MH-0001,2026-01-22,,CI-APP-EPIC-CABOODLE,Revenue Cycle,P2,Epic interface backlog,false,Open,Cloud Migration Factory,3,true,ServiceNow ITSM,PRB-MH-0001,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0002,2026-01-23,,CI-APP-EPIC-CLARITY,Patient Access,P3,Data quality,false,Open,Epic Platform Operations,4,true,ServiceNow ITSM,PRB-MH-0002,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0003,2026-01-24,,CI-APP-EPIC-MYCHART,Claims,P1,Identity sync,false,Open,Data Quality Observability,5,false,ServiceNow ITSM,PRB-MH-0003,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0004,2026-01-25,,CI-APP-EPIC-RESOLUTE-HB,Care Management,P2,Vendor AMS transition,true,Open,Integration Operations,6,true,ServiceNow ITSM,PRB-MH-0004,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0005,2026-01-26,2026-03-27,CI-APP-EPIC-RESOLUTE-PB,Cloud Hosting,P3,Legacy batch dependency,false,Resolved,Cloud Migration Factory,7,true,ServiceNow ITSM,PRB-MH-0005,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0006,2026-01-27,,CI-INT-RHAPSODY,Enterprise Analytics,P1,AWS rehost performance,false,Open,Epic Platform Operations,8,false,ServiceNow ITSM,PRB-MH-0006,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0007,2026-01-28,,CI-API-FHIR-GATEWAY,Clinical Documentation,P2,Epic interface backlog,false,Open,Data Quality Observability,9,true,ServiceNow ITSM,PRB-MH-0007,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0008,2026-01-29,,CI-ERP-ORACLE,Revenue Cycle,P3,Data quality,true,Open,Integration Operations,10,true,ServiceNow ITSM,PRB-MH-0008,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0009,2026-01-30,,CI-HCM-WORKDAY,Patient Access,P1,Identity sync,false,Open,Cloud Migration Factory,11,false,ServiceNow ITSM,PRB-MH-0009,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0010,2026-01-31,2026-04-01,CI-ITSM-SERVICENOW,Claims,P2,Vendor AMS transition,false,Resolved,Epic Platform Operations,12,true,ServiceNow ITSM,PRB-MH-0010,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0011,2026-02-01,,CI-DATA-DATABRICKS,Care Management,P3,Legacy batch dependency,false,Open,Data Quality Observability,13,true,ServiceNow ITSM,PRB-MH-0011,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0012,2026-02-02,,CI-DATA-COLLIBRA,Cloud Hosting,P1,AWS rehost performance,true,Open,Integration Operations,14,false,ServiceNow ITSM,PRB-MH-0012,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0013,2026-02-03,,CI-IAM-ENTRA,Enterprise Analytics,P2,Epic interface backlog,false,Open,Cloud Migration Factory,15,true,ServiceNow ITSM,PRB-MH-0013,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0014,2026-02-04,,CI-SEC-CROWDSTRIKE,Clinical Documentation,P3,Data quality,false,Open,Epic Platform Operations,16,true,ServiceNow ITSM,PRB-MH-0014,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0015,2026-02-05,2026-04-06,CI-AWS-LANDING-ZONE,Revenue Cycle,P1,Identity sync,false,Resolved,Data Quality Observability,17,false,ServiceNow ITSM,PRB-MH-0015,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0016,2026-02-06,,CI-LEGACY-VM-001,Patient Access,P2,Vendor AMS transition,true,Open,Integration Operations,18,true,ServiceNow ITSM,PRB-MH-0016,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0017,2026-02-07,,CI-LEGACY-VM-002,Claims,P3,Legacy batch dependency,false,Open,Cloud Migration Factory,2,true,ServiceNow ITSM,PRB-MH-0017,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0018,2026-02-08,,CI-LEGACY-VM-003,Care Management,P1,AWS rehost performance,false,Open,Epic Platform Operations,3,false,ServiceNow ITSM,PRB-MH-0018,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0019,2026-02-09,,CI-LEGACY-VM-004,Cloud Hosting,P2,Epic interface backlog,false,Open,Data Quality Observability,4,true,ServiceNow ITSM,PRB-MH-0019,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0020,2026-02-10,2026-04-11,CI-LEGACY-VM-005,Enterprise Analytics,P3,Data quality,true,Resolved,Integration Operations,5,true,ServiceNow ITSM,PRB-MH-0020,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0021,2026-02-11,,CI-LEGACY-VM-006,Clinical Documentation,P1,Identity sync,false,Open,Cloud Migration Factory,6,false,ServiceNow ITSM,PRB-MH-0021,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0022,2026-02-12,,CI-LEGACY-VM-007,Revenue Cycle,P2,Vendor AMS transition,false,Open,Epic Platform Operations,7,true,ServiceNow ITSM,PRB-MH-0022,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0023,2026-02-13,,CI-LEGACY-VM-008,Patient Access,P3,Legacy batch dependency,false,Open,Data Quality Observability,8,true,ServiceNow ITSM,PRB-MH-0023,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0024,2026-02-14,,CI-LEGACY-VM-009,Claims,P1,AWS rehost performance,true,Open,Integration Operations,9,false,ServiceNow ITSM,PRB-MH-0024,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0025,2026-02-15,2026-04-16,CI-LEGACY-VM-010,Care Management,P2,Epic interface backlog,false,Resolved,Cloud Migration Factory,10,true,ServiceNow ITSM,PRB-MH-0025,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0026,2026-02-16,,CI-LEGACY-VM-011,Cloud Hosting,P3,Data quality,false,Open,Epic Platform Operations,11,true,ServiceNow ITSM,PRB-MH-0026,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0027,2026-02-17,,CI-LEGACY-VM-012,Enterprise Analytics,P1,Identity sync,false,Open,Data Quality Observability,12,false,ServiceNow ITSM,PRB-MH-0027,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0028,2026-02-18,,CI-LEGACY-VM-013,Clinical Documentation,P2,Vendor AMS transition,true,Open,Integration Operations,13,true,ServiceNow ITSM,PRB-MH-0028,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0029,2026-02-19,,CI-LEGACY-VM-014,Revenue Cycle,P3,Legacy batch dependency,false,Open,Cloud Migration Factory,14,true,ServiceNow ITSM,PRB-MH-0029,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0030,2026-02-20,2026-04-21,CI-LEGACY-VM-015,Patient Access,P1,AWS rehost performance,false,Resolved,Epic Platform Operations,15,false,ServiceNow ITSM,PRB-MH-0030,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0031,2026-02-21,,CI-LEGACY-VM-016,Claims,P2,Epic interface backlog,false,Open,Data Quality Observability,16,true,ServiceNow ITSM,PRB-MH-0031,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0032,2026-02-22,,CI-LEGACY-VM-017,Care Management,P3,Data quality,true,Open,Integration Operations,17,true,ServiceNow ITSM,PRB-MH-0032,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0033,2026-02-23,,CI-LEGACY-VM-018,Cloud Hosting,P1,Identity sync,false,Open,Cloud Migration Factory,18,false,ServiceNow ITSM,PRB-MH-0033,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0034,2026-02-24,,CI-LEGACY-VM-019,Enterprise Analytics,P2,Vendor AMS transition,false,Open,Epic Platform Operations,2,true,ServiceNow ITSM,PRB-MH-0034,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0035,2026-02-25,2026-04-26,CI-LEGACY-VM-020,Clinical Documentation,P3,Legacy batch dependency,false,Resolved,Data Quality Observability,3,true,ServiceNow ITSM,PRB-MH-0035,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0036,2026-02-26,,CI-LEGACY-VM-021,Revenue Cycle,P1,AWS rehost performance,true,Open,Integration Operations,4,false,ServiceNow ITSM,PRB-MH-0036,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0037,2026-02-27,,CI-LEGACY-VM-022,Patient Access,P2,Epic interface backlog,false,Open,Cloud Migration Factory,5,true,ServiceNow ITSM,PRB-MH-0037,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0038,2026-02-28,,CI-LEGACY-VM-023,Claims,P3,Data quality,false,Open,Epic Platform Operations,6,true,ServiceNow ITSM,PRB-MH-0038,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0039,2026-03-01,,CI-LEGACY-VM-024,Care Management,P1,Identity sync,false,Open,Data Quality Observability,7,false,ServiceNow ITSM,PRB-MH-0039,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0040,2026-03-02,2026-05-01,CI-LEGACY-VM-025,Cloud Hosting,P2,Vendor AMS transition,true,Resolved,Integration Operations,8,true,ServiceNow ITSM,PRB-MH-0040,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0041,2026-03-03,,CI-LEGACY-VM-026,Enterprise Analytics,P3,Legacy batch dependency,false,Open,Cloud Migration Factory,9,true,ServiceNow ITSM,PRB-MH-0041,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0042,2026-03-04,,CI-LEGACY-VM-027,Clinical Documentation,P1,AWS rehost performance,false,Open,Epic Platform Operations,10,false,ServiceNow ITSM,PRB-MH-0042,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0043,2026-03-05,,CI-LEGACY-VM-028,Revenue Cycle,P2,Epic interface backlog,false,Open,Data Quality Observability,11,true,ServiceNow ITSM,PRB-MH-0043,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0044,2026-03-06,,CI-LEGACY-VM-029,Patient Access,P3,Data quality,true,Open,Integration Operations,12,true,ServiceNow ITSM,PRB-MH-0044,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0045,2026-03-07,2026-05-06,CI-LEGACY-VM-030,Claims,P1,Identity sync,false,Resolved,Cloud Migration Factory,13,false,ServiceNow ITSM,PRB-MH-0045,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0046,2026-03-08,,CI-LEGACY-VM-031,Care Management,P2,Vendor AMS transition,false,Open,Epic Platform Operations,14,true,ServiceNow ITSM,PRB-MH-0046,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0047,2026-03-09,,CI-LEGACY-VM-032,Cloud Hosting,P3,Legacy batch dependency,false,Open,Data Quality Observability,15,true,ServiceNow ITSM,PRB-MH-0047,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0048,2026-03-10,,CI-LEGACY-VM-033,Enterprise Analytics,P1,AWS rehost performance,true,Open,Integration Operations,16,false,ServiceNow ITSM,PRB-MH-0048,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0049,2026-03-11,,CI-LEGACY-VM-034,Clinical Documentation,P2,Epic interface backlog,false,Open,Cloud Migration Factory,17,true,ServiceNow ITSM,PRB-MH-0049,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0050,2026-03-12,2026-05-11,CI-LEGACY-VM-035,Revenue Cycle,P3,Data quality,false,Resolved,Epic Platform Operations,18,true,ServiceNow ITSM,PRB-MH-0050,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0051,2026-03-13,,CI-LEGACY-VM-036,Patient Access,P1,Identity sync,false,Open,Data Quality Observability,2,false,ServiceNow ITSM,PRB-MH-0051,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0052,2026-03-14,,CI-LEGACY-VM-037,Claims,P2,Vendor AMS transition,true,Open,Integration Operations,3,true,ServiceNow ITSM,PRB-MH-0052,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0053,2026-03-15,,CI-LEGACY-VM-038,Care Management,P3,Legacy batch dependency,false,Open,Cloud Migration Factory,4,true,ServiceNow ITSM,PRB-MH-0053,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0054,2026-03-16,,CI-LEGACY-VM-039,Cloud Hosting,P1,AWS rehost performance,false,Open,Epic Platform Operations,5,false,ServiceNow ITSM,PRB-MH-0054,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0055,2026-03-17,2026-05-16,CI-LEGACY-VM-040,Enterprise Analytics,P2,Epic interface backlog,false,Resolved,Data Quality Observability,6,true,ServiceNow ITSM,PRB-MH-0055,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0056,2026-03-18,,CI-LEGACY-VM-041,Clinical Documentation,P3,Data quality,true,Open,Integration Operations,7,true,ServiceNow ITSM,PRB-MH-0056,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0057,2026-03-19,,CI-LEGACY-VM-042,Revenue Cycle,P1,Identity sync,false,Open,Cloud Migration Factory,8,false,ServiceNow ITSM,PRB-MH-0057,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0058,2026-03-20,,CI-LEGACY-VM-043,Patient Access,P2,Vendor AMS transition,false,Open,Epic Platform Operations,9,true,ServiceNow ITSM,PRB-MH-0058,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0059,2026-03-21,,CI-LEGACY-VM-044,Claims,P3,Legacy batch dependency,false,Open,Data Quality Observability,10,true,ServiceNow ITSM,PRB-MH-0059,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0060,2026-03-22,2026-05-21,CI-LEGACY-VM-045,Care Management,P1,AWS rehost performance,true,Resolved,Integration Operations,11,false,ServiceNow ITSM,PRB-MH-0060,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0061,2026-03-23,,CI-LEGACY-VM-046,Cloud Hosting,P2,Epic interface backlog,false,Open,Cloud Migration Factory,12,true,ServiceNow ITSM,PRB-MH-0061,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0062,2026-03-24,,CI-LEGACY-VM-047,Enterprise Analytics,P3,Data quality,false,Open,Epic Platform Operations,13,true,ServiceNow ITSM,PRB-MH-0062,ITSM Stewardship,2026-06-04,0.83,true,
PRB-MH-0063,2026-03-25,,CI-LEGACY-VM-048,Clinical Documentation,P1,Identity sync,false,Open,Data Quality Observability,14,false,ServiceNow ITSM,PRB-MH-0063,ITSM Stewardship,2026-06-04,0.83,true,
