facility_id,business_unit_id,facility_name,facility_type,region,service_line,bed_count,annual_encounters,revenue_owner,it_site_owner,critical_services,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
FAC-HOSP-001,BU-ACUTE,Meridian Central Valley Hospital 01,Hospital,Central Valley,Ambulatory,197,45100,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-001,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-002,BU-ACUTE,Meridian Bay Area Hospital 02,Hospital,Bay Area,Behavioral Health,214,48200,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-002,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-003,BU-ACUTE,Meridian Northern California Hospital 03,Hospital,Northern California,Oncology,231,51300,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-003,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-004,BU-ACUTE,Meridian Sierra Foothills Hospital 04,Hospital,Sierra Foothills,Cardiology,248,54400,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-004,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-005,BU-ACUTE,Meridian Sacramento Metro Hospital 05,Hospital,Sacramento Metro,Primary Care,265,57500,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-005,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-006,BU-ACUTE,Meridian Central Valley Hospital 06,Hospital,Central Valley,Post-Acute,282,60600,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-006,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-007,BU-ACUTE,Meridian Bay Area Hospital 07,Hospital,Bay Area,Acute Care,299,63700,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-007,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-008,BU-ACUTE,Meridian Northern California Hospital 08,Hospital,Northern California,Ambulatory,316,66800,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-008,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-009,BU-ACUTE,Meridian Sierra Foothills Hospital 09,Hospital,Sierra Foothills,Behavioral Health,333,69900,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-009,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-010,BU-ACUTE,Meridian Sacramento Metro Hospital 10,Hospital,Sacramento Metro,Oncology,350,73000,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-010,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-011,BU-ACUTE,Meridian Central Valley Hospital 11,Hospital,Central Valley,Cardiology,367,76100,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-011,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-012,BU-ACUTE,Meridian Bay Area Hospital 12,Hospital,Bay Area,Primary Care,384,79200,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-012,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-013,BU-ACUTE,Meridian Northern California Hospital 13,Hospital,Northern California,Post-Acute,401,82300,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-013,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-014,BU-ACUTE,Meridian Sierra Foothills Hospital 14,Hospital,Sierra Foothills,Acute Care,418,85400,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-014,Facilities Operations,2026-06-04,0.88,true,
FAC-HOSP-015,BU-ACUTE,Meridian Sacramento Metro Hospital 15,Hospital,Sacramento Metro,Ambulatory,435,88500,Regional CFO,Clinical Applications Operations,Epic|Identity|Network|ServiceNow|AWS Connectivity,Facilities master,FAC-HOSP-015,Facilities Operations,2026-06-04,0.88,true,
