ci_id,ci_name,ci_type,business_service,application_owner,technical_owner,support_group,criticality,hosting_model,environment,vendor_id,contract_id,data_classification,service_tier,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
CI-APP-EPIC-HYPERSPACE,Epic Hyperspace,Application,Clinical Documentation,Epic Platform Operations,Clinical Applications Operations,Clinical Applications Operations,Tier 1,Hybrid,Production,VEN-EPIC,CON-EPIC-CORE-2027,Restricted,Gold,ServiceNow CMDB,CI-APP-EPIC-HYPERSPACE,CMDB Stewardship,2026-06-04,0.9,true,
CI-APP-EPIC-CABOODLE,Epic Caboodle,Data Platform,Clinical Analytics,Epic Analytics,Cloud Data Platform,Cloud Data Platform,Tier 1,Hybrid,Production,VEN-EPIC,CON-EPIC-CORE-2027,Restricted,Gold,ServiceNow CMDB,CI-APP-EPIC-CABOODLE,CMDB Stewardship,2026-06-04,0.9,true,
CI-APP-EPIC-CLARITY,Epic Clarity,Database,Clinical Analytics,Epic Analytics,Database Operations,Database Operations,Tier 1,Hybrid,Production,VEN-EPIC,CON-EPIC-CORE-2027,Restricted,Gold,ServiceNow CMDB,CI-APP-EPIC-CLARITY,CMDB Stewardship,2026-06-04,0.9,true,
CI-APP-EPIC-MYCHART,Epic MyChart,Application,Patient Digital Experience,Digital Patient Experience,Clinical Applications Operations,Clinical Applications Operations,Tier 1,Hybrid,Production,VEN-EPIC,CON-EPIC-CORE-2027,Restricted,Gold,ServiceNow CMDB,CI-APP-EPIC-MYCHART,CMDB Stewardship,2026-06-04,0.9,true,
CI-APP-EPIC-RESOLUTE-HB,Epic Resolute Hospital Billing,Application,Revenue Cycle,Revenue Cycle Technology,Clinical Applications Operations,Clinical Applications Operations,Tier 1,Hybrid,Production,VEN-EPIC,CON-EPIC-CORE-2027,Restricted,Gold,ServiceNow CMDB,CI-APP-EPIC-RESOLUTE-HB,CMDB Stewardship,2026-06-04,0.9,true,
CI-APP-EPIC-RESOLUTE-PB,Epic Resolute Professional Billing,Application,Revenue Cycle,Revenue Cycle Technology,Clinical Applications Operations,Clinical Applications Operations,Tier 1,Hybrid,Production,VEN-EPIC,CON-EPIC-CORE-2027,Restricted,Gold,ServiceNow CMDB,CI-APP-EPIC-RESOLUTE-PB,CMDB Stewardship,2026-06-04,0.9,true,
CI-INT-RHAPSODY,Rhapsody Integration Engine,Integration,Clinical Integration,Integration Operations,Integration Engineering,Integration Engineering,Tier 1,Hybrid,Production,VEN-RHAPSODY,CON-RHAPSODY-2027,Restricted,Gold,ServiceNow CMDB,CI-INT-RHAPSODY,CMDB Stewardship,2026-06-04,0.9,true,
CI-API-FHIR-GATEWAY,FHIR API Gateway,Integration,Interoperability,Integration Operations,Cloud Platform Engineering,Cloud Platform Engineering,Tier 1,Hybrid,Production,VEN-AWS,CON-AWS-EA-2027,Restricted,Gold,ServiceNow CMDB,CI-API-FHIR-GATEWAY,CMDB Stewardship,2026-06-04,0.9,true,
CI-ERP-ORACLE,Oracle ERP Cloud,Application,Finance and Supply Chain,ERP Platform Operations,Enterprise Applications,Enterprise Applications,Tier 1,Hybrid,Production,VEN-ORACLE,CON-ORACLE-ERP-2028,Restricted,Gold,ServiceNow CMDB,CI-ERP-ORACLE,CMDB Stewardship,2026-06-04,0.9,true,
CI-HCM-WORKDAY,Workday HCM,Application,People Operations,HR Technology,Enterprise Applications,Enterprise Applications,Tier 1,Hybrid,Production,VEN-WORKDAY,CON-WORKDAY-2028,Restricted,Gold,ServiceNow CMDB,CI-HCM-WORKDAY,CMDB Stewardship,2026-06-04,0.9,true,
CI-ITSM-SERVICENOW,ServiceNow ITSM and CMDB,Application,IT Service Management,Service Management,ITSM and CMDB,ITSM and CMDB,Tier 1,Hybrid,Production,VEN-SNOW,CON-SNOW-2028,Restricted,Gold,ServiceNow CMDB,CI-ITSM-SERVICENOW,CMDB Stewardship,2026-06-04,0.9,true,
CI-DATA-DATABRICKS,Databricks Lakehouse,Data Platform,Enterprise Analytics,Cloud Data Platform,Data Engineering,Data Engineering,Tier 1,AWS-hosted,Production,VEN-DATABRICKS,CON-DATABRICKS-2028,Restricted,Gold,ServiceNow CMDB,CI-DATA-DATABRICKS,CMDB Stewardship,2026-06-04,0.9,true,
CI-DATA-COLLIBRA,Collibra Data Catalog,Data Governance,Data Governance,Data Governance and Quality,Data Governance,Data Governance,Tier 1,Hybrid,Production,VEN-COLLIBRA,CON-COLLIBRA-2027,Restricted,Gold,ServiceNow CMDB,CI-DATA-COLLIBRA,CMDB Stewardship,2026-06-04,0.9,true,
CI-IAM-ENTRA,Microsoft Entra ID,Identity,Identity and Access,Identity and Access Management,Cybersecurity Operations,Cybersecurity Operations,Tier 1,Hybrid,Production,VEN-MICROSOFT,CON-M365-2028,Restricted,Gold,ServiceNow CMDB,CI-IAM-ENTRA,CMDB Stewardship,2026-06-04,0.9,true,
CI-SEC-CROWDSTRIKE,CrowdStrike Falcon,Security,Endpoint Security,Cybersecurity Operations,Security Operations,Security Operations,Tier 1,Hybrid,Production,VEN-CROWDSTRIKE,CON-CROWDSTRIKE-2027,Restricted,Gold,ServiceNow CMDB,CI-SEC-CROWDSTRIKE,CMDB Stewardship,2026-06-04,0.9,true,
CI-AWS-LANDING-ZONE,AWS Landing Zone,Cloud Platform,Cloud Hosting,Cloud Migration Factory,Cloud Platform Engineering,Cloud Platform Engineering,Tier 1,AWS-hosted,Production,VEN-AWS,CON-AWS-EA-2027,Restricted,Gold,ServiceNow CMDB,CI-AWS-LANDING-ZONE,CMDB Stewardship,2026-06-04,0.9,true,
CI-LEGACY-VM-001,Revenue Cycle Legacy VM 001,Virtual Machine,Revenue Cycle,Revenue Cycle Owner,Cloud Migration Factory,Legacy VM Rehost Operations,Tier 2,AWS-hosted lift-and-shift VM,Production,VEN-AWS,CON-AWS-EA-2027,Internal,Silver,ServiceNow CMDB,CI-LEGACY-VM-001,CMDB Stewardship,2026-06-04,0.84,true,
