relationship_id,from_ci_id,to_ci_id,relationship_type,dependency_direction,integration_pattern,data_flow,criticality,recovery_dependency,known_gap,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
REL-MH-0001,CI-APP-EPIC-CABOODLE,CI-LEGACY-VM-005,feeds,from_to,Batch,FHIR API,Medium,false,,ServiceNow CMDB,REL-MH-0001,CMDB Stewardship,2026-06-04,0.82,true,
REL-MH-0002,CI-APP-EPIC-CLARITY,CI-LEGACY-VM-012,authenticates_with,from_to,Message queue,HL7 ADT,Medium,false,,ServiceNow CMDB,REL-MH-0002,CMDB Stewardship,2026-06-04,0.82,true,
REL-MH-0003,CI-APP-EPIC-MYCHART,CI-LEGACY-VM-019,hosted_on,from_to,Database replication,Claims EDI,Medium,false,,ServiceNow CMDB,REL-MH-0003,CMDB Stewardship,2026-06-04,0.82,true,
REL-MH-0004,CI-APP-EPIC-RESOLUTE-HB,CI-LEGACY-VM-026,monitored_by,from_to,File transfer,Financial batch,Medium,false,,ServiceNow CMDB,REL-MH-0004,CMDB Stewardship,2026-06-04,0.82,true,
REL-MH-0005,CI-APP-EPIC-RESOLUTE-PB,CI-LEGACY-VM-033,integrates_with,from_to,API,Telemetry,Medium,false,,ServiceNow CMDB,REL-MH-0005,CMDB Stewardship,2026-06-04,0.82,true,
REL-MH-0006,CI-INT-RHAPSODY,CI-LEGACY-VM-040,depends_on,from_to,Batch,Identity token,Medium,false,,ServiceNow CMDB,REL-MH-0006,CMDB Stewardship,2026-06-04,0.82,true,
REL-MH-0007,CI-API-FHIR-GATEWAY,CI-LEGACY-VM-047,feeds,from_to,Message queue,PHI batch,Medium,false,,ServiceNow CMDB,REL-MH-0007,CMDB Stewardship,2026-06-04,0.82,true,
REL-MH-0008,CI-ERP-ORACLE,CI-LEGACY-VM-054,authenticates_with,from_to,Database replication,FHIR API,High,false,,ServiceNow CMDB,REL-MH-0008,CMDB Stewardship,2026-06-04,0.82,true,
REL-MH-0009,CI-HCM-WORKDAY,CI-LEGACY-VM-061,hosted_on,from_to,File transfer,HL7 ADT,Medium,false,,ServiceNow CMDB,REL-MH-0009,CMDB Stewardship,2026-06-04,0.82,true,
REL-MH-0010,CI-ITSM-SERVICENOW,CI-LEGACY-VM-068,monitored_by,from_to,API,Claims EDI,Medium,false,,ServiceNow CMDB,REL-MH-0010,CMDB Stewardship,2026-06-04,0.82,true,
REL-MH-0011,CI-DATA-DATABRICKS,CI-LEGACY-VM-075,integrates_with,from_to,Batch,Financial batch,Medium,true,,ServiceNow CMDB,REL-MH-0011,CMDB Stewardship,2026-06-04,0.82,true,
REL-MH-0012,CI-DATA-COLLIBRA,CI-LEGACY-VM-082,depends_on,from_to,Message queue,Telemetry,Medium,false,,ServiceNow CMDB,REL-MH-0012,CMDB Stewardship,2026-06-04,0.82,true,
REL-MH-0013,CI-IAM-ENTRA,CI-LEGACY-VM-089,feeds,from_to,Database replication,Identity token,Medium,false,,ServiceNow CMDB,REL-MH-0013,CMDB Stewardship,2026-06-04,0.82,true,
