org_unit_id,person_or_group_id,name,role_title,reports_to_id,decision_domain,decision_right,approval_authority,delegated_to_id,escalation_path,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
ORG-EXEC,PERSON-CEO,Elena Martinez,President and Chief Executive Officer,PERSON-BOARD,Enterprise strategy,Approve,Approve authority for Enterprise strategy,,Executive Steering Committee,Workday,PERSON-CEO,People Operations,2026-06-04,0.92,true,
ORG-EXEC,PERSON-COO,Sarah O'Brien,Chief Operating Officer,PERSON-CEO,Care delivery operations,Approve,Approve authority for Care delivery operations,,Executive Steering Committee,Workday,PERSON-COO,People Operations,2026-06-04,0.92,true,
ORG-EXEC,PERSON-CFO,David Park,Chief Financial Officer,PERSON-CEO,Capital allocation and run cost,Approve,Approve authority for Capital allocation and run cost,,Executive Steering Committee,Workday,PERSON-CFO,People Operations,2026-06-04,0.92,true,
ORG-EXEC,PERSON-CDIO,Anita Krishnamurthy,Chief Digital and Information Officer,PERSON-CEO,"Digital, IT, and AI portfolio",Approve,"Approve authority for Digital, IT, and AI portfolio",,Executive Steering Committee,Workday,PERSON-CDIO,People Operations,2026-06-04,0.92,true,
ORG-EXEC,PERSON-CTO,Marcus Lee,Chief Technology Officer,PERSON-CDIO,Cloud and platform modernization,Approve,Approve authority for Cloud and platform modernization,,Executive Steering Committee,Workday,PERSON-CTO,People Operations,2026-06-04,0.92,true,
ORG-EXEC,PERSON-CDAO,Renee Walters,Chief Data and Analytics Officer,PERSON-CDIO,"Data, analytics, and AI enablement",Approve,"Approve authority for Data, analytics, and AI enablement",,Executive Steering Committee,Workday,PERSON-CDAO,People Operations,2026-06-04,0.92,true,
ORG-EXEC,PERSON-CISO,Daniel Reyes,Chief Information Security Officer,PERSON-CDIO,Security and cyber risk,Approve,Approve authority for Security and cyber risk,,Executive Steering Committee,Workday,PERSON-CISO,People Operations,2026-06-04,0.92,true,
ORG-EXEC,PERSON-CMO,Dr. Priya Shah,Chief Medical Officer,PERSON-CEO,Clinical quality and safety,Approve,Approve authority for Clinical quality and safety,,Executive Steering Committee,Workday,PERSON-CMO,People Operations,2026-06-04,0.92,true,
ORG-EXEC,PERSON-CNE,Robert Chen,Chief Nursing Executive,PERSON-COO,Nursing operations,Approve,Approve authority for Nursing operations,,Executive Steering Committee,Workday,PERSON-CNE,People Operations,2026-06-04,0.92,true,
ORG-EXEC,PERSON-CRO,Patricia Okafor,Chief Revenue Cycle Officer,PERSON-CFO,Revenue cycle performance,Approve,Approve authority for Revenue cycle performance,,Executive Steering Committee,Workday,PERSON-CRO,People Operations,2026-06-04,0.92,true,
ORG-EXEC,PERSON-HPLAN,Thomas Hartwell,"President, Meridian Health Plan",PERSON-CEO,Health plan operations,Approve,Approve authority for Health plan operations,,Executive Steering Committee,Workday,PERSON-HPLAN,People Operations,2026-06-04,0.92,true,
ORG-EXEC,PERSON-COMPLIANCE,Karen Mercer,Chief Compliance and Privacy Officer,PERSON-CEO,"Privacy, compliance, and audit",Approve,"Approve authority for Privacy, compliance, and audit",,Executive Steering Committee,Workday,PERSON-COMPLIANCE,People Operations,2026-06-04,0.92,true,
ORG-EXEC,PERSON-LEGAL,Rebecca Hollings,Chief Legal Officer,PERSON-CEO,Legal and contracting,Approve,Approve authority for Legal and contracting,,Executive Steering Committee,Workday,PERSON-LEGAL,People Operations,2026-06-04,0.92,true,
ORG-EXEC,PERSON-CHRO,Margaret Liu,Chief Human Resources Officer,PERSON-CEO,Workforce and labor,Approve,Approve authority for Workforce and labor,,Executive Steering Committee,Workday,PERSON-CHRO,People Operations,2026-06-04,0.92,true,
ORG-EXEC,PERSON-SUPPLY,Nora Vasquez,Chief Supply Chain and Sourcing Officer,PERSON-CFO,Supply chain and strategic sourcing,Approve,Approve authority for Supply chain and strategic sourcing,,Executive Steering Committee,Workday,PERSON-SUPPLY,People Operations,2026-06-04,0.92,true,
ORG-EXEC,PERSON-STRATEGY,Aiden Walsh,Chief Strategy and Transformation Officer,PERSON-CEO,Transformation portfolio,Approve,Approve authority for Transformation portfolio,,Executive Steering Committee,Workday,PERSON-STRATEGY,People Operations,2026-06-04,0.92,true,
ORG-GOVERNANCE,GROUP-AIGOV,AI Governance Council,Governance Body,PERSON-CDIO,AI Governance Council,Approve,Approve authority for AI Governance Council,,Executive Steering Committee,Workday,GROUP-AIGOV,People Operations,2026-06-04,0.92,true,
ORG-GOVERNANCE,GROUP-DATA-GOV,Data Governance Council,Governance Body,PERSON-CDIO,Data Governance Council,Approve,Approve authority for Data Governance Council,,Executive Steering Committee,Workday,GROUP-DATA-GOV,People Operations,2026-06-04,0.92,true,
ORG-GOVERNANCE,GROUP-CAB,Clinical Change Advisory Board,Governance Body,PERSON-CDIO,Clinical Change Advisory Board,Approve,Approve authority for Clinical Change Advisory Board,,Executive Steering Committee,Workday,GROUP-CAB,People Operations,2026-06-04,0.92,true,
ORG-GOVERNANCE,GROUP-CLOUD-CAB,Cloud Migration Control Board,Governance Body,PERSON-CDIO,Cloud Migration Control Board,Approve,Approve authority for Cloud Migration Control Board,,Executive Steering Committee,Workday,GROUP-CLOUD-CAB,People Operations,2026-06-04,0.92,true,
ORG-GOVERNANCE,GROUP-AMS,AMS Transition Governance Forum,Governance Body,PERSON-CDIO,AMS Transition Governance Forum,Approve,Approve authority for AMS Transition Governance Forum,,Executive Steering Committee,Workday,GROUP-AMS,People Operations,2026-06-04,0.92,true,
ORG-GOVERNANCE,GROUP-FINOPS,Cloud FinOps Council,Governance Body,PERSON-CDIO,Cloud FinOps Council,Approve,Approve authority for Cloud FinOps Council,,Executive Steering Committee,Workday,GROUP-FINOPS,People Operations,2026-06-04,0.92,true,
