risk_id,risk_title,risk_type,control_id,policy_id,owner,severity,likelihood,status,linked_ci_ids,linked_vendor_ids,remediation_due_date,evidence_required,source_system,source_record_id,source_owner,last_validated_date,confidence,evidence_usable,notes_gaps
RISK-MH-0001,Epic AMS transition knowledge gap 001,Compliance,CTRL-MH-002,POL-MH-002,CDAO,Medium,Possible,Mitigating,CI-APP-EPIC-CABOODLE|CI-HCM-WORKDAY,VEN-AMS-EPIC|VEN-WORKDAY,2026-05-02,"Control evidence, owner attestation, run-cost and continuity proof",Risk register,RISK-MH-0001,Risk and Compliance,2026-06-04,0.83,true,
RISK-MH-0002,Data analytics AMS scope ambiguity 002,Financial,CTRL-MH-003,POL-MH-003,CTO,Critical,Unlikely,Accepted with controls,CI-APP-EPIC-CLARITY|CI-LEGACY-VM-003,VEN-AMS-DATA|VEN-COLLIBRA,2026-05-03,"Control evidence, owner attestation, run-cost and continuity proof",Risk register,RISK-MH-0002,Risk and Compliance,2026-06-04,0.83,true,
RISK-MH-0003,PHI control evidence missing after migration 003,Clinical Safety,CTRL-MH-004,POL-MH-004,CFO,High,Likely,Open,CI-APP-EPIC-MYCHART|CI-LEGACY-VM-012,VEN-AWS|VEN-MH-016,2026-05-04,"Control evidence, owner attestation, run-cost and continuity proof",Risk register,RISK-MH-0003,Risk and Compliance,2026-06-04,0.83,true,
RISK-MH-0004,Cloud run cost exceeds baseline 004,Sourcing,CTRL-MH-005,POL-MH-005,AI Governance Council,Medium,Possible,Mitigating,CI-APP-EPIC-RESOLUTE-HB|CI-LEGACY-VM-021,VEN-ORACLE|VEN-MH-021,2026-05-05,"Control evidence, owner attestation, run-cost and continuity proof",Risk register,RISK-MH-0004,Risk and Compliance,2026-06-04,0.83,true,
RISK-MH-0005,Integration backlog affects clinical continuity 005,Operational,CTRL-MH-006,POL-MH-006,CISO,Critical,Unlikely,Accepted with controls,CI-APP-EPIC-RESOLUTE-PB|CI-LEGACY-VM-030,VEN-WORKDAY|VEN-MH-026,2026-05-06,"Control evidence, owner attestation, run-cost and continuity proof",Risk register,RISK-MH-0005,Risk and Compliance,2026-06-04,0.83,true,
RISK-MH-0006,CDAO stewardship capacity constraint 006,Compliance,CTRL-MH-007,POL-MH-007,CDAO,High,Likely,Open,CI-INT-RHAPSODY|CI-LEGACY-VM-039,VEN-SNOW|VEN-MH-031,2026-05-07,"Control evidence, owner attestation, run-cost and continuity proof",Risk register,RISK-MH-0006,Risk and Compliance,2026-06-04,0.83,true,
RISK-MH-0007,BAA chain incomplete for AI workflow 007,Financial,CTRL-MH-008,POL-MH-008,CTO,Medium,Possible,Mitigating,CI-API-FHIR-GATEWAY|CI-LEGACY-VM-048,VEN-DATABRICKS|VEN-MH-036,2026-05-08,"Control evidence, owner attestation, run-cost and continuity proof",Risk register,RISK-MH-0007,Risk and Compliance,2026-06-04,0.83,true,
RISK-MH-0008,AWS-hosted workload not modernized 008,Clinical Safety,CTRL-MH-009,POL-MH-009,CFO,Critical,Unlikely,Accepted with controls,CI-ERP-ORACLE|CI-LEGACY-VM-057,VEN-MICROSOFT|VEN-MH-041,2026-05-09,"Control evidence, owner attestation, run-cost and continuity proof",Risk register,RISK-MH-0008,Risk and Compliance,2026-06-04,0.83,true,
RISK-MH-0009,Epic AMS transition knowledge gap 009,Sourcing,CTRL-MH-010,POL-MH-010,AI Governance Council,High,Likely,Open,CI-HCM-WORKDAY|CI-LEGACY-VM-066,VEN-RHAPSODY|VEN-MH-046,2026-05-10,"Control evidence, owner attestation, run-cost and continuity proof",Risk register,RISK-MH-0009,Risk and Compliance,2026-06-04,0.83,true,
RISK-MH-0010,Data analytics AMS scope ambiguity 010,Operational,CTRL-MH-011,POL-MH-011,CISO,Medium,Possible,Mitigating,CI-ITSM-SERVICENOW|CI-LEGACY-VM-075,VEN-COLLIBRA|VEN-MH-051,2026-05-11,"Control evidence, owner attestation, run-cost and continuity proof",Risk register,RISK-MH-0010,Risk and Compliance,2026-06-04,0.83,true,
RISK-MH-0011,PHI control evidence missing after migration 011,Compliance,CTRL-MH-012,POL-MH-012,CDAO,Critical,Unlikely,Accepted with controls,CI-DATA-DATABRICKS|CI-LEGACY-VM-084,VEN-CROWDSTRIKE|VEN-MH-056,2026-05-12,"Control evidence, owner attestation, run-cost and continuity proof",Risk register,RISK-MH-0011,Risk and Compliance,2026-06-04,0.83,true,
RISK-MH-0012,Cloud run cost exceeds baseline 012,Financial,CTRL-MH-013,POL-MH-013,CTO,High,Likely,Open,CI-DATA-COLLIBRA|CI-LEGACY-VM-093,VEN-MH-013|VEN-MH-061,2026-05-13,"Control evidence, owner attestation, run-cost and continuity proof",Risk register,RISK-MH-0012,Risk and Compliance,2026-06-04,0.83,true,
RISK-MH-0013,Integration backlog affects clinical continuity 013,Clinical Safety,CTRL-MH-014,POL-MH-014,CFO,Medium,Possible,Mitigating,CI-IAM-ENTRA|CI-LEGACY-VM-102,VEN-MH-014|VEN-MH-066,2026-05-14,"Control evidence, owner attestation, run-cost and continuity proof",Risk register,RISK-MH-0013,Risk and Compliance,2026-06-04,0.83,true,
RISK-MH-0014,CDAO stewardship capacity constraint 014,Sourcing,CTRL-MH-015,POL-MH-015,AI Governance Council,Critical,Unlikely,Accepted with controls,CI-SEC-CROWDSTRIKE|CI-LEGACY-VM-111,VEN-MH-015|VEN-MH-071,2026-05-15,"Control evidence, owner attestation, run-cost and continuity proof",Risk register,RISK-MH-0014,Risk and Compliance,2026-06-04,0.83,true,
RISK-MH-0015,BAA chain incomplete for AI workflow 015,Operational,CTRL-MH-016,POL-MH-016,CISO,High,Likely,Open,CI-AWS-LANDING-ZONE|CI-LEGACY-VM-120,VEN-MH-016|VEN-MH-076,2026-05-16,"Control evidence, owner attestation, run-cost and continuity proof",Risk register,RISK-MH-0015,Risk and Compliance,2026-06-04,0.83,true,
RISK-MH-0016,AWS-hosted workload not modernized 016,Compliance,CTRL-MH-017,POL-MH-017,CDAO,Medium,Possible,Mitigating,CI-LEGACY-VM-001|CI-LEGACY-VM-129,VEN-MH-017|VEN-MH-081,2026-05-17,"Control evidence, owner attestation, run-cost and continuity proof",Risk register,RISK-MH-0016,Risk and Compliance,2026-06-04,0.83,true,
