tenant_key,node_key,node_type,node_name,source_entity_key,evidence_id,confidence,active_candidate_status
first-capital-financial,FCF-NODE-00001,system,FS Demo entity 0001,FCF-ENT-00001,FCF-EVID-00001,high,candidate
first-capital-financial,FCF-NODE-00002,function,FS Demo entity 0002,FCF-ENT-00002,FCF-EVID-00002,medium,candidate
first-capital-financial,FCF-NODE-00003,data_asset,FS Demo entity 0003,FCF-ENT-00003,FCF-EVID-00003,medium,candidate
first-capital-financial,FCF-NODE-00004,vendor,FS Demo entity 0004,FCF-ENT-00004,FCF-EVID-00004,high,candidate
first-capital-financial,FCF-NODE-00005,program,FS Demo entity 0005,FCF-ENT-00005,FCF-EVID-00005,high,candidate
first-capital-financial,FCF-NODE-00006,control,FS Demo entity 0006,FCF-ENT-00006,FCF-EVID-00006,medium,candidate
first-capital-financial,FCF-NODE-00007,metric,FS Demo entity 0007,FCF-ENT-00007,FCF-EVID-00007,medium,candidate
first-capital-financial,FCF-NODE-00008,system,FS Demo entity 0008,FCF-ENT-00008,FCF-EVID-00008,high,candidate
first-capital-financial,FCF-NODE-00009,function,FS Demo entity 0009,FCF-ENT-00009,FCF-EVID-00009,high,candidate
first-capital-financial,FCF-NODE-00010,data_asset,FS Demo entity 0010,FCF-ENT-00010,FCF-EVID-00010,medium,candidate
first-capital-financial,FCF-NODE-00011,vendor,FS Demo entity 0011,FCF-ENT-00011,FCF-EVID-00011,medium,candidate
first-capital-financial,FCF-NODE-00012,program,FS Demo entity 0012,FCF-ENT-00012,FCF-EVID-00012,high,candidate
first-capital-financial,FCF-NODE-00013,control,FS Demo entity 0013,FCF-ENT-00013,FCF-EVID-00013,high,candidate
first-capital-financial,FCF-NODE-00014,metric,FS Demo entity 0014,FCF-ENT-00014,FCF-EVID-00014,medium,candidate
first-capital-financial,FCF-NODE-00015,system,FS Demo entity 0015,FCF-ENT-00015,FCF-EVID-00015,medium,candidate
first-capital-financial,FCF-NODE-00016,function,FS Demo entity 0016,FCF-ENT-00016,FCF-EVID-00016,high,candidate
first-capital-financial,FCF-NODE-00017,data_asset,FS Demo entity 0017,FCF-ENT-00017,FCF-EVID-00017,high,candidate
first-capital-financial,FCF-NODE-00018,vendor,FS Demo entity 0018,FCF-ENT-00018,FCF-EVID-00018,medium,candidate
first-capital-financial,FCF-NODE-00019,program,FS Demo entity 0019,FCF-ENT-00019,FCF-EVID-00019,medium,candidate
first-capital-financial,FCF-NODE-00020,control,FS Demo entity 0020,FCF-ENT-00020,FCF-EVID-00020,high,candidate
first-capital-financial,FCF-NODE-00021,metric,FS Demo entity 0021,FCF-ENT-00021,FCF-EVID-00021,high,candidate
first-capital-financial,FCF-NODE-00022,system,FS Demo entity 0022,FCF-ENT-00022,FCF-EVID-00022,medium,candidate
first-capital-financial,FCF-NODE-00023,function,FS Demo entity 0023,FCF-ENT-00023,FCF-EVID-00023,medium,candidate
first-capital-financial,FCF-NODE-00024,data_asset,FS Demo entity 0024,FCF-ENT-00024,FCF-EVID-00024,high,candidate
first-capital-financial,FCF-NODE-00025,vendor,retail banking capability 001 entity 0025,FCF-ENT-00025,FCF-EVID-00601,high,candidate
first-capital-financial,FCF-NODE-00026,program,commercial banking capability 002 entity 0026,FCF-ENT-00026,FCF-EVID-00602,medium,candidate
first-capital-financial,FCF-NODE-00027,control,wealth advisory capability 003 entity 0027,FCF-ENT-00027,FCF-EVID-00603,medium,candidate
first-capital-financial,FCF-NODE-00028,metric,mortgage lending capability 004 entity 0028,FCF-ENT-00028,FCF-EVID-00604,high,candidate
first-capital-financial,FCF-NODE-00029,system,cards and payments capability 005 entity 0029,FCF-ENT-00029,FCF-EVID-00605,high,candidate
first-capital-financial,FCF-NODE-00030,function,treasury services capability 006 entity 0030,FCF-ENT-00030,FCF-EVID-00606,medium,candidate
first-capital-financial,FCF-NODE-00031,data_asset,fraud operations capability 007 entity 0031,FCF-ENT-00031,FCF-EVID-00607,medium,candidate
first-capital-financial,FCF-NODE-00032,vendor,AML and KYC capability 008 entity 0032,FCF-ENT-00032,FCF-EVID-00608,high,candidate
first-capital-financial,FCF-NODE-00033,program,risk and compliance capability 009 entity 0033,FCF-ENT-00033,FCF-EVID-00609,high,candidate
first-capital-financial,FCF-NODE-00034,control,branch operations capability 010 entity 0034,FCF-ENT-00034,FCF-EVID-00610,medium,candidate
first-capital-financial,FCF-NODE-00035,metric,contact center capability 011 entity 0035,FCF-ENT-00035,FCF-EVID-00611,medium,candidate
first-capital-financial,FCF-NODE-00036,system,digital banking capability 012 entity 0036,FCF-ENT-00036,FCF-EVID-00612,high,candidate
