tenant_key,gap_key,dimension_key,record_key,gap_type,gap_description,blocked_decision,evidence_needed,confidence,active_candidate_status
first-capital-financial,FCF-GAP-00001,00_enterprise_profile,FCF-00-00001,missing_owner,model risk management requires evidence validation before active use.,Digital Banking Modernization,FCF-EVID-00001; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00002,00_enterprise_profile,FCF-00-00002,missing_baseline,fair lending and bias requires evidence validation before active use.,Payments Platform Resilience,FCF-EVID-00002; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00003,00_enterprise_profile,FCF-00-00003,missing_lineage,explainability requires evidence validation before active use.,Fraud and Financial Crimes Transformation,FCF-EVID-00003; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00004,00_enterprise_profile,FCF-00-00004,missing_contract_evidence,GLBA privacy requires evidence validation before active use.,Core Banking Simplification,FCF-EVID-00004; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00005,00_enterprise_profile,FCF-00-00005,missing_control_attestation,PCI DSS requires evidence validation before active use.,Data Governance and Lakehouse Foundation,FCF-EVID-00005; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00006,00_enterprise_profile,FCF-00-00006,missing_owner,data retention requires evidence validation before active use.,Regulatory Reporting Automation,FCF-EVID-00006; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00007,00_enterprise_profile,FCF-00-00007,missing_baseline,access controls requires evidence validation before active use.,Contact Center Experience Transformation,FCF-EVID-00007; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00008,00_enterprise_profile,FCF-00-00008,missing_lineage,audit logging requires evidence validation before active use.,Cloud Resilience and Zero Trust,FCF-EVID-00008; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00009,00_enterprise_profile,FCF-00-00009,missing_contract_evidence,customer consent requires evidence validation before active use.,Branch Workforce Productivity,FCF-EVID-00009; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00010,00_enterprise_profile,FCF-00-00010,missing_control_attestation,regulatory reporting accuracy requires evidence validation before active use.,Wealth Advisor Desktop Modernization,FCF-EVID-00010; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00011,00_enterprise_profile,FCF-00-00011,missing_owner,operational resilience requires evidence validation before active use.,Model Risk and AI Governance,FCF-EVID-00011; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00012,00_enterprise_profile,FCF-00-00012,missing_baseline,third-party risk requires evidence validation before active use.,Finance and GL Modernization,FCF-EVID-00012; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00013,00_enterprise_profile,FCF-00-00013,missing_lineage,cyber risk requires evidence validation before active use.,Fraud alert triage copilot,FCF-EVID-00013; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00014,00_enterprise_profile,FCF-00-00014,missing_contract_evidence,fraud loss requires evidence validation before active use.,AML investigation summarization,FCF-EVID-00014; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00015,00_enterprise_profile,FCF-00-00015,missing_control_attestation,vendor concentration requires evidence validation before active use.,Contact center agent assist,FCF-EVID-00015; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00016,00_enterprise_profile,FCF-00-00016,missing_owner,cloud exit and resilience requires evidence validation before active use.,Personalized digital banking insights,FCF-EVID-00016; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00017,00_enterprise_profile,FCF-00-00017,missing_baseline,model risk management requires evidence validation before active use.,Loan document intake automation,FCF-EVID-00017; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00018,00_enterprise_profile,FCF-00-00018,missing_lineage,fair lending and bias requires evidence validation before active use.,Regulatory change impact analyzer,FCF-EVID-00018; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00019,00_enterprise_profile,FCF-00-00019,missing_contract_evidence,explainability requires evidence validation before active use.,Wealth advisor research assistant,FCF-EVID-00019; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00020,00_enterprise_profile,FCF-00-00020,missing_control_attestation,GLBA privacy requires evidence validation before active use.,Collections prioritization assistant,FCF-EVID-00020; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00021,00_enterprise_profile,FCF-00-00021,missing_owner,PCI DSS requires evidence validation before active use.,Branch workforce knowledge assistant,FCF-EVID-00021; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00022,00_enterprise_profile,FCF-00-00022,missing_baseline,data retention requires evidence validation before active use.,IT incident and change-risk copilot,FCF-EVID-00022; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00023,00_enterprise_profile,FCF-00-00023,missing_lineage,access controls requires evidence validation before active use.,Model risk documentation assistant,FCF-EVID-00023; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00024,00_enterprise_profile,FCF-00-00024,missing_contract_evidence,audit logging requires evidence validation before active use.,Finance close anomaly detection,FCF-EVID-00024; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00025,01_business_functions,FCF-01-00001,missing_control_attestation,customer consent requires evidence validation before active use.,Digital Banking Modernization,FCF-EVID-00601; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00026,01_business_functions,FCF-01-00002,missing_owner,regulatory reporting accuracy requires evidence validation before active use.,Payments Platform Resilience,FCF-EVID-00602; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00027,01_business_functions,FCF-01-00003,missing_baseline,operational resilience requires evidence validation before active use.,Fraud and Financial Crimes Transformation,FCF-EVID-00603; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00028,01_business_functions,FCF-01-00004,missing_lineage,third-party risk requires evidence validation before active use.,Core Banking Simplification,FCF-EVID-00604; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00029,01_business_functions,FCF-01-00005,missing_contract_evidence,cyber risk requires evidence validation before active use.,Data Governance and Lakehouse Foundation,FCF-EVID-00605; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00030,01_business_functions,FCF-01-00006,missing_control_attestation,fraud loss requires evidence validation before active use.,Regulatory Reporting Automation,FCF-EVID-00606; source file; owner; baseline; control status,medium,candidate
first-capital-financial,FCF-GAP-00031,01_business_functions,FCF-01-00007,missing_owner,vendor concentration requires evidence validation before active use.,Contact Center Experience Transformation,FCF-EVID-00607; source file; owner; baseline; control status,medium,candidate
