tenant_key,evidence_id,source_file,source_row,evidence_type,evidence_status,checksum,active_candidate_status
first-capital-financial,FCF-EVID-00001,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/00_enterprise_profile.csv,2,synthetic source template,candidate_resolves_locally,15c89b9fd355d8304c2781ea7097d114fa16b02019e5f5275b1149425a5065ee,candidate
first-capital-financial,FCF-EVID-00002,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/00_enterprise_profile.csv,3,synthetic interview excerpt,candidate_resolves_locally,aa53949b138fa27abb6905bb856a4ce4fc83c8ee898ddb515d85df1932c8cdab,candidate
first-capital-financial,FCF-EVID-00003,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/00_enterprise_profile.csv,4,synthetic finance baseline,candidate_resolves_locally,37ea30ab6b5307724d1a661d47c79e734cfa9f36257cc78e0b3104f15cbb57a0,candidate
first-capital-financial,FCF-EVID-00004,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/00_enterprise_profile.csv,5,synthetic risk-control register,candidate_resolves_locally,6975316e2cbb978746d77c2f0b2b5aac9fef77ab99d069adaa934ff538a65efc,candidate
first-capital-financial,FCF-EVID-00005,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/00_enterprise_profile.csv,6,synthetic vendor obligation register,candidate_resolves_locally,a26202dc41540732acd21dcf6fc4d54417d55efffc972be24ec1ace1dccb9f1c,candidate
first-capital-financial,FCF-EVID-00006,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/00_enterprise_profile.csv,7,synthetic operational metric register,candidate_resolves_locally,337e07137d1c4baee53f918290f59c87729f253a06c058b6e6cc0be83726e3d3,candidate
first-capital-financial,FCF-EVID-00007,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/00_enterprise_profile.csv,8,synthetic source template,candidate_resolves_locally,11478138286eebb8fc59c2262a521fb24819dce02ba004d3e9d0a7bfcf8ffbd2,candidate
first-capital-financial,FCF-EVID-00008,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/00_enterprise_profile.csv,9,synthetic interview excerpt,candidate_resolves_locally,9267fe2ee9010d14f2f4baba6bda647093a680027ff1ccfe4665bc8e0096cfc5,candidate
first-capital-financial,FCF-EVID-00009,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/00_enterprise_profile.csv,10,synthetic finance baseline,candidate_resolves_locally,9989425466bd6cf1daa3edfe98275eb69491391f5e1be4272ed404865fde9fe6,candidate
first-capital-financial,FCF-EVID-00010,datasets/tenant-inputs/candidates/first-capital-financial/rich-synthetic-2026-07-v3/00_enterprise_profile.csv,11,synthetic risk-control register,candidate_resolves_locally,6c3d7e0adeec8ef295be2510900b95891858ce5c326769d0e3987dada976ed83,candidate
