change_id,implemented_at,team_id,affected_app_id,risk,outcome,notes
MR-CHG-001,2026-02-01,TEAM-MR-EPIC-CLINICAL,MR-APP-EPIC-HYPERSPACE,low,successful,90-day change sample.
MR-CHG-002,2026-02-02,TEAM-MR-EPIC-RC,MR-APP-EPIC-COSMOS,medium,successful,90-day change sample.
MR-CHG-003,2026-02-03,TEAM-MR-EPIC-ANC,MR-APP-WILLOW,high,rollback,90-day change sample.
MR-CHG-004,2026-02-04,TEAM-MR-EPIC-OR-ED,MR-APP-ASAP,low,incident_linked,90-day change sample.
MR-CHG-005,2026-02-05,TEAM-MR-INTEGRATION,MR-APP-RADIANT,medium,successful,90-day change sample.
MR-CHG-006,2026-02-06,TEAM-MR-INFRA,MR-APP-RESOLUTE-PB,high,successful,90-day change sample.
MR-CHG-007,2026-02-07,TEAM-MR-SECURITY,MR-APP-VISAGE-7,low,rollback,90-day change sample.
MR-CHG-008,2026-02-08,TEAM-MR-DATA-AI,MR-APP-SUNQUEST-SUTTER,medium,incident_linked,90-day change sample.
MR-CHG-009,2026-02-09,TEAM-MR-DIGITAL,MR-APP-LAWSON-HCM,high,successful,90-day change sample.
MR-CHG-010,2026-02-10,TEAM-MR-POPHEALTH,MR-APP-WORKDAY-SCM,low,successful,90-day change sample.
MR-CHG-011,2026-02-11,TEAM-MR-RESEARCH,MR-APP-INNOVACCER,medium,rollback,90-day change sample.
MR-CHG-012,2026-02-12,TEAM-MR-CORP-IT,MR-APP-PHREESIA,high,incident_linked,90-day change sample.
MR-CHG-013,2026-02-13,TEAM-MR-WORKFORCE,MR-APP-QGENDA,low,successful,90-day change sample.
MR-CHG-014,2026-02-14,TEAM-MR-IMAGING,MR-APP-HEALTHSTREAM,medium,successful,90-day change sample.
MR-CHG-015,2026-02-15,TEAM-MR-PMO,MR-APP-TEMPUS,high,rollback,90-day change sample.
MR-CHG-016,2026-02-16,TEAM-MR-SERVICE,MR-APP-PURE,low,incident_linked,90-day change sample.
MR-CHG-017,2026-02-17,TEAM-MR-EPIC-CLINICAL,MR-APP-SPLUNK,medium,successful,90-day change sample.
MR-CHG-018,2026-02-18,TEAM-MR-EPIC-RC,MR-APP-OKTA,high,successful,90-day change sample.
MR-CHG-019,2026-02-19,TEAM-MR-EPIC-ANC,MR-APP-EPIC-CANTO,low,rollback,90-day change sample.
MR-CHG-020,2026-02-20,TEAM-MR-EPIC-OR-ED,MR-APP-EPIC-TRANSFER-CENTER,medium,incident_linked,90-day change sample.
MR-CHG-021,2026-02-21,TEAM-MR-INTEGRATION,MR-APP-EPIC-ROVER-2,high,successful,90-day change sample.
MR-CHG-022,2026-02-22,TEAM-MR-INFRA,MR-APP-ROCHE-COBAS-IT,low,successful,90-day change sample.
MR-CHG-023,2026-02-23,TEAM-MR-SECURITY,MR-APP-SECTRA-EDUCATION-PORTAL,medium,rollback,90-day change sample.
MR-CHG-024,2026-02-24,TEAM-MR-DATA-AI,MR-APP-ROCHE-COBAS-IT-2,high,incident_linked,90-day change sample.
MR-CHG-025,2026-02-25,TEAM-MR-DIGITAL,MR-APP-FINTHRIVE-CONTRACT-MANAGER,low,successful,90-day change sample.
MR-CHG-026,2026-02-26,TEAM-MR-POPHEALTH,MR-APP-CODING-AUDIT-WORKBENCH,medium,successful,90-day change sample.
MR-CHG-027,2026-02-27,TEAM-MR-RESEARCH,MR-APP-FINTHRIVE-CONTRACT-MANAGER-2,high,rollback,90-day change sample.
MR-CHG-028,2026-02-28,TEAM-MR-CORP-IT,MR-APP-SIGNIFY-INTEGRATION,low,incident_linked,90-day change sample.
MR-CHG-029,2026-02-01,TEAM-MR-WORKFORCE,MR-APP-ARCADIA-LEGACY-ANALYTICS-2,medium,successful,90-day change sample.
MR-CHG-030,2026-02-02,TEAM-MR-IMAGING,MR-APP-COUPA-PROCUREMENT-PILOT,high,successful,90-day change sample.
MR-CHG-031,2026-02-03,TEAM-MR-PMO,MR-APP-SMARTSHEET-PMO,low,rollback,90-day change sample.
