function_id,function_name,domain,leadership_owner_person_id,leadership_owner_name,headcount_total_fte,headcount_onshore_fte,headcount_offshore_fte,headcount_contractor_fte,fy2026_budget_usd,fy2026_capex_share_usd,fy2026_opex_share_usd,systems_owned_count,key_systems_summary,industry_benchmark_summary,notes
function:apex:data-analytics,Data & Analytics,IT — Data,person:apex:sterling-park-aboagye,Sterling Park-Aboagye,410,220,175,15,145000000,22000000,123000000,18,"Snowflake EDW, Adobe Experience Platform, customer CDP, Tableau, dbt, Databricks under eval, merchandising/customer/supply-chain analytics marts",Retail benchmark: $120-160M for an $80-120B retailer with merchandising + customer + supply chain analytics depth.,Larger offshore mix typical for retail (cost arb on commodity reporting work).
function:apex:infrastructure-cloud,Infrastructure & Cloud,IT — Infrastructure,person:apex:raj-patel,Raj Patel,680,295,365,20,185000000,28000000,157000000,24,"AWS primary, Azure for store apps, GCP for analytics burst, store networking, DC ops, e-commerce platform infra",Retail IT infra typically 0.25-0.35% of EE (625-875 for 250k EE). Offshore-heavy.,"1,976-store SD-WAN migration in progress; e-commerce uptime is critical."
function:apex:application-services,Application Services,IT — Applications,person:apex:diana-lopez,Diana Lopez,1450,580,845,25,325000000,48000000,277000000,58,"Merchandising apps (JDA/Oracle Retail), POS, ERP (SAP), Workday, e-commerce, supply chain apps, store back-office",Largest IT function; retail-typical mix of in-house product engineering + offshore sustainment.,"Includes merchandising platform team, e-commerce engineering, store systems, ERP, supply chain apps."
function:apex:information-security,Information Security,IT — Cyber,person:apex:sarah-whitfield,Sarah Whitfield (CISO),220,168,42,10,78500000,12500000,66000000,16,"Okta, CyberArk, CrowdStrike, Palo Alto, Splunk, Proofpoint, store-level POS skimming detection, organized retail crime intel","Retail cyber typically 4-6% of IT FTE (180-270 for 4,500). PCI-DSS compliance heavy.","Includes IAM, SOC, security architecture, third-party risk, PCI compliance ops, organized retail crime intel."
function:apex:enterprise-architecture,Enterprise Architecture,IT — Architecture,person:apex:linda-mwangi,Linda Mwangi,58,48,8,2,14500000,2800000,11700000,0,"Architecture review board; merchandising, customer/digital, supply chain, store-systems architecture practices",Retail EA team typically 50-80 at this scale.,"Owns merch platform decisions, e-commerce/store unification, RFID architecture."
function:apex:digital-ecommerce,Digital & E-commerce Tech,IT — Digital,person:apex:priya-iyer,Priya Iyer,385,220,155,10,112000000,18500000,93500000,12,"E-commerce platform, mobile app, marketplace integration, checkout, search/browse, AR features",Retail e-commerce engineering typically 8-12% of IT FTE.,GMV growth + conversion rate are P&L-anchored metrics.
function:apex:data-engineering,Data Engineering & Platform,IT — Data,person:apex:james-wright,James Wright,180,95,80,5,38500000,5800000,32700000,14,"Snowflake, Tableau, dbt, Fivetran, real-time event processing, customer-360 platform engineering",Sub-function under CDO Stratham; ~5% of IT FTE.,Platform layer that data analytics function consumes.
function:apex:store-technology,Store Technology,IT — Stores,person:apex:vacant-store-tech,OPEN — Acting: Brandon Hayes,385,285,92,8,78500000,14500000,64000000,14,"POS, store back-office, inventory at-store, RFID, self-checkout, store networking",Retail store tech 6-10% of IT FTE; high field-support component.,Position OPEN; acting interim Brandon Hayes. Self-checkout deployment + RFID rollout in flight.
function:apex:ai-emerging-tech,AI & Emerging Tech,IT — AI,person:apex:elena-fischer,Elena Fischer,38,28,8,2,15500000,4500000,11000000,6,"AI workforce scheduling pilot, demand sensing AI, loyalty next-best-offer, shadow AI inventory ops",Emerging function; retail typically 25-50 FTE at this scale.,AI Governance Council operations; shadow AI cleanup focus.
function:apex:epmo-program-mgmt,Enterprise PMO & AI Portfolio,IT — Governance,person:apex:daniel-okeke,Daniel Okeke,45,38,5,2,8500000,0,8500000,2,"ServiceNow Strategic Portfolio, AI program tracking, transformation portfolio reporting",Retail PMO typically 30-60 FTE at this scale.,Coordinates active strategic moves portfolio.
