reg_id,regulator,obligation,affected_apps,evidence_required
FCF-REG-001,OCC,Remediate core data-lineage MRA,FCF-APP-FIS-HORIZON|FCF-APP-SNOWFLAKE,"lineage attestation, accountable owner signoff, and control testing"
FCF-REG-002,FinCEN/OCC,BSA AML case management remediation,FCF-APP-NICE-ACTIMIZE|FCF-APP-FENERGO-KYC,"case quality sample, alert tuning evidence, staffing model, and escalation history"
FCF-REG-003,Federal Reserve,SR 11-7 model-risk management for AI-assisted decisions,FCF-APP-DATABRICKS|FCF-APP-NICE-ACTIMIZE,"model inventory, independent validation, monitoring, and use limitation evidence"
FCF-REG-004,Federal banking regulators,GLBA safeguarding of customer information,FCF-APP-MOBILE-BANKING|FCF-APP-SALESFORCE-FSC,"access review, encryption control, vendor control, and incident response evidence"
FCF-REG-005,FFIEC,Operational resilience for critical payments,FCF-APP-FEDWIRE-ACH|FCF-APP-FEDNOW-RTP,"resilience tier, RTO/RPO test, failover evidence, and dependency map"
FCF-REG-006,OCC,Third-party risk concentration management,FCF-APP-FIS-HORIZON|FCF-APP-HOGAN-LOANS,"exit plan, concentration analysis, contract term review, and board reporting"
FCF-REG-007,CFPB,Digital account-opening adverse-action traceability,FCF-APP-ONLINE-ACCOUNT-OPENING|FCF-APP-FENERGO-KYC,"decision reason code audit, customer notice sample, and KYC workflow trace"
FCF-REG-008,FINRA,Wealth advisor supervision and client note retention,FCF-APP-SALESFORCE-FSC,"supervision review, retention policy, exception report, and surveillance evidence"
FCF-REG-009,SEC,Books and records retention for investment advisory workflows,FCF-APP-SALESFORCE-FSC|FCF-APP-WORKDAY-HCM,"retention configuration, legal hold evidence, and archival retrieval test"
FCF-REG-010,PCI DSS,Card payment data protection,FCF-APP-FEDWIRE-ACH|FCF-APP-FEDNOW-RTP,"segmentation evidence, tokenization control, quarterly scan, and remediation log"
FCF-REG-011,SOX,Finance close and access controls,FCF-APP-SAP-ECC|FCF-APP-ORACLE-EBS-REMNANTS,"ITGC control evidence, access recertification, batch reconciliation, and change approval"
FCF-REG-012,NYDFS,Cybersecurity program and incident reporting,FCF-APP-SPLUNK|FCF-APP-CROWDSTRIKE,"monitoring coverage, incident drill, vulnerability remediation, and board attestation"
FCF-REG-013,OCC,Quarterly access recertification for regulated platform,FCF-APP-CORE-BANKING-085|FCF-APP-CORE-BANKING-133,"owner attestation, exception list, sampled evidence, and remediation owner"
FCF-REG-014,FFIEC,Evidence retention for critical change window,FCF-APP-CYBERSECURITY-092|FCF-APP-MODEL-RISK-144,"change ticket, rollback evidence, testing signoff, and production validation"
FCF-REG-015,Federal Reserve,Vendor due-diligence refresh and AI data-use attestation,FCF-APP-DIGITAL-BANKING-099|FCF-APP-CONTACT-CENTER-155,"contract clause, security review, data-flow boundary, and exit readiness evidence"
FCF-REG-016,CFPB,Customer-impact incident postmortem and remediation proof,FCF-APP-BRANCH-ATM-106|FCF-APP-BRANCH-ATM-166,"timeline, impact assessment, root cause, corrective action, and control validation"
FCF-REG-017,FinCEN,Data-quality control attestation for executive/regulatory report,FCF-APP-WEALTH-113|FCF-APP-ERP-FINANCE-177,"lineage extract, reconciliation sample, data steward signoff, and issue register"
FCF-REG-018,Internal Audit,Operational resilience dependency review,FCF-APP-MODEL-RISK-120|FCF-APP-FENERGO-KYC,"dependency map, DR test, RTO/RPO evidence, and unresolved risk acceptance"
FCF-REG-019,OCC,Quarterly access recertification for regulated platform,FCF-APP-DATA-PLATFORM-127|FCF-APP-SPLUNK,"owner attestation, exception list, sampled evidence, and remediation owner"
FCF-REG-020,FFIEC,Evidence retention for critical change window,FCF-APP-PAYMENTS-134|FCF-APP-FINANCIAL-CRIMES-030,"change ticket, rollback evidence, testing signoff, and production validation"
