vendor_id,vendor_name,category,owned_by,annual_contract_value_usd,renewal_date,criticality,license_or_unit_basis,commercial_risk,evidence_id,source_file,source_row,value_source
MER-VEN-001,Epic,clinical_ai_or_ehr,Chief Medical Officer,1200000,2026-07-05,high,enterprise subscription,renewal before evidence gate,MER-EVID-001,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,2,tenant_file
MER-VEN-002,Databricks,clinical_ai_or_ehr,Chief Health Plan Officer,2275000,2026-08-06,high,per user / per provider,normal,MER-EVID-002,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,3,tenant_file
MER-VEN-003,AWS,clinical_ai_or_ehr,Chief Digital & Information Officer,3350000,2026-09-07,high,usage plus platform,normal,MER-EVID-003,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,4,tenant_file
MER-VEN-004,Microsoft/Nuance,clinical_ai_or_ehr,CFO,4425000,2026-10-08,high,enterprise subscription,normal,MER-EVID-004,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,5,tenant_file
MER-VEN-005,Abridge,clinical_ai_or_ehr,Chief Operating Officer,5500000,2026-11-09,high,per user / per provider,overlapping capability,MER-EVID-005,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,6,tenant_file
MER-VEN-006,Suki,clinical_ai_or_ehr,Chief Nursing Officer,6575000,2026-12-10,high,usage plus platform,renewal before evidence gate,MER-EVID-006,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,7,tenant_file
MER-VEN-007,Genesys,payer_platform_or_integration,Chief Compliance Officer,7650000,2026-07-11,high,enterprise subscription,normal,MER-EVID-007,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,8,tenant_file
MER-VEN-008,Salesforce,payer_platform_or_integration,Chief Customer Experience Officer,8725000,2026-08-12,high,per user / per provider,normal,MER-EVID-008,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,9,tenant_file
MER-VEN-009,Change Healthcare,payer_platform_or_integration,Chief Medical Officer,9800000,2026-09-13,high,usage plus platform,overlapping capability,MER-EVID-009,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,10,tenant_file
MER-VEN-010,Optum,payer_platform_or_integration,Chief Health Plan Officer,10875000,2026-10-14,high,enterprise subscription,normal,MER-EVID-010,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,11,tenant_file
MER-VEN-011,HealthEdge,payer_platform_or_integration,Chief Digital & Information Officer,11950000,2026-11-15,high,per user / per provider,renewal before evidence gate,MER-EVID-011,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,12,tenant_file
MER-VEN-012,TriZetto,payer_platform_or_integration,CFO,13025000,2026-12-16,high,usage plus platform,normal,MER-EVID-012,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,13,tenant_file
MER-VEN-013,MuleSoft,payer_platform_or_integration,Chief Operating Officer,14100000,2026-07-17,high,enterprise subscription,overlapping capability,MER-EVID-001,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,14,tenant_file
MER-VEN-014,Informatica,data_and_analytics,Chief Nursing Officer,15175000,2026-08-18,high,per user / per provider,normal,MER-EVID-002,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,15,tenant_file
MER-VEN-015,Tableau,data_and_analytics,Chief Compliance Officer,16250000,2026-09-19,high,usage plus platform,normal,MER-EVID-003,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,16,tenant_file
MER-VEN-016,SAS,data_and_analytics,Chief Customer Experience Officer,17325000,2026-10-20,high,enterprise subscription,renewal before evidence gate,MER-EVID-004,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,17,tenant_file
MER-VEN-017,Collibra,data_and_analytics,Chief Medical Officer,18400000,2026-11-21,high,per user / per provider,overlapping capability,MER-EVID-005,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,18,tenant_file
MER-VEN-018,ServiceNow,data_and_analytics,Chief Health Plan Officer,19475000,2026-12-22,high,usage plus platform,normal,MER-EVID-006,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,19,tenant_file
MER-VEN-019,Okta,security,Chief Digital & Information Officer,20550000,2026-07-23,medium,enterprise subscription,normal,MER-EVID-007,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,20,tenant_file
MER-VEN-020,CrowdStrike,security,CFO,21625000,2026-08-24,medium,per user / per provider,normal,MER-EVID-008,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,21,tenant_file
MER-VEN-021,Zscaler,security,Chief Operating Officer,22700000,2026-09-05,medium,usage plus platform,renewal before evidence gate,MER-EVID-009,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,22,tenant_file
MER-VEN-022,Workday,security,Chief Nursing Officer,23775000,2026-10-06,medium,enterprise subscription,normal,MER-EVID-010,family-4-financial-commercial/F11_vendors-contracts-licenses.csv,23,tenant_file
