tenant_key,line_id,budget_area,function_or_platform,owner_role,owner_team_id,spend_type,budget_fy26_usd,run_budget_fy26_usd,change_budget_fy26_usd,ai_data_budget_fy26_usd,capex_budget_fy26_usd,opex_budget_fy26_usd,labor_pct,vendor_pct,cloud_infra_pct,budget_pressure,amount_type,view,is_rollup_of,basis,period,formula,formula_version,source_file,source_row,value_source,notes
meridian-health,MER-BUD-001,Office of CDIO,,Chief Digital & Information Officer,,,38130000,25420000,12710000,3280000,11439000,26691000,32,38,18,run cost crowding out change,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:30pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,2,tenant_file,
meridian-health,MER-BUD-002,Epic and Clinical Systems,,VP Clinical Platforms,,,174840000,116560000,58280000,20680000,61194000,113646000,36,43,22,within plan,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:35pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,3,tenant_file,
meridian-health,MER-BUD-003,Health Plan Core and Claims Platforms,,VP Health Plan Technology,,,132060000,88040000,44020000,19880000,55465200,76594800,40,48,26,within plan,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:42pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,4,tenant_file,
meridian-health,MER-BUD-004,Data Platform Migration Office,,Chief Data Officer,,,117180000,78120000,39060000,52920000,32810400,84369600,44,53,30,Databricks migration spend must show phased value,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:28pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,5,tenant_file,
meridian-health,MER-BUD-005,Integration and Interoperability,,VP Integration,,,72540000,48360000,24180000,8580000,21762000,50778000,48,38,18,run cost crowding out change,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:30pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,6,tenant_file,
meridian-health,MER-BUD-006,Contact Center and CRM Platforms,,VP Patient Experience Tech,,,64170000,42780000,21390000,9660000,17967600,46202400,32,43,22,within plan,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:28pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,7,tenant_file,
meridian-health,MER-BUD-007,"Finance, ERP and Reporting",,VP Corporate Systems,,,57660000,38440000,19220000,4960000,20181000,37479000,36,48,26,within plan,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:35pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,8,tenant_file,
meridian-health,MER-BUD-008,"Security, Privacy and Resilience",,CISO,,,143220000,95480000,47740000,16940000,25779600,117440400,40,53,30,within plan,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:18pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,9,tenant_file,
meridian-health,MER-BUD-009,Cloud and Infrastructure,,VP Infrastructure,,,154380000,102920000,51460000,23240000,43226400,111153600,44,38,18,run cost crowding out change,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:28pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,10,tenant_file,
meridian-health,MER-BUD-010,ServiceNow and IT Operations,,VP IT Operations,,,48360000,32240000,16120000,4160000,8704800,39655200,48,43,22,within plan,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:18pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,11,tenant_file,
meridian-health,MER-BUD-011,AI Governance and Automation Office,,Chief Data Officer,,,35340000,23560000,11780000,4180000,14842800,20497200,32,48,26,within plan,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:42pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,12,tenant_file,
meridian-health,MER-BUD-012,Developer Experience and DevSecOps,,VP Engineering,,,31620000,21080000,10540000,4760000,5691600,25928400,36,53,30,within plan,none,it_budget,,committed,fy26,synthetic_capex_opex_split_v1:18pct_capex,tower_standardized_v1,family-4-financial-commercial/F12_it-budget-financials.csv,13,tenant_file,
