tool,month,weekly_active_users,minutes_saved,satisfaction_0_10
DAX Copilot,2025-07,490,16800,6.1
DAX Copilot,2025-08,602,19600,6.2
DAX Copilot,2025-09,714,22400,6.3
DAX Copilot,2025-10,826,25200,6.3
DAX Copilot,2025-11,938,28000,6.4
DAX Copilot,2025-12,1050,30800,6.5
Abridge,2025-07,63,2340,6.4
Abridge,2025-08,77,2700,6.5
Abridge,2025-09,92,3060,6.6
Abridge,2025-10,106,3420,6.7
Abridge,2025-11,121,3780,6.8
Abridge,2025-12,135,4140,6.8
Suki,2025-07,31,1260,6.8
Suki,2025-08,39,1440,6.9
Suki,2025-09,46,1620,7
Suki,2025-10,53,1800,7
Suki,2025-11,60,1980,7.1
Suki,2025-12,68,2160,7.2
Epic Art,2025-07,735,31500,7.1
Epic Art,2025-08,903,35700,7.2
Epic Art,2025-09,1071,39900,7.3
Epic Art,2025-10,1239,44100,7.4
Epic Art,2025-11,1407,48300,7.5
Epic Art,2025-12,1575,52500,7.5
Epic Cosmos,2025-07,77,3520,6.1
Epic Cosmos,2025-08,95,3960,6.2
Epic Cosmos,2025-09,112,4400,6.3
Epic Cosmos,2025-10,130,4840,6.3
Epic Cosmos,2025-11,147,5280,6.4
Epic Cosmos,2025-12,165,5720,6.5
Innovaccer Copilot,2025-07,119,5780,6.4
Innovaccer Copilot,2025-08,146,6460,6.5
Innovaccer Copilot,2025-09,173,7140,6.6
Innovaccer Copilot,2025-10,201,7820,6.7
Innovaccer Copilot,2025-11,228,8500,6.8
Innovaccer Copilot,2025-12,255,9180,6.8
Microsoft 365 Copilot E5,2025-07,1470,75600,6.8
Microsoft 365 Copilot E5,2025-08,1806,84000,6.9
Microsoft 365 Copilot E5,2025-09,2142,92400,7
Microsoft 365 Copilot E5,2025-10,2478,100800,7
Microsoft 365 Copilot E5,2025-11,2814,109200,7.1
Microsoft 365 Copilot E5,2025-12,3150,117600,7.2
GitHub Copilot Business,2025-07,147,7980,7.1
GitHub Copilot Business,2025-08,181,8820,7.2
GitHub Copilot Business,2025-09,214,9660,7.3
GitHub Copilot Business,2025-10,248,10500,7.4
GitHub Copilot Business,2025-11,281,11340,7.5
GitHub Copilot Business,2025-12,315,12180,7.5
Glean,2025-07,210,12000,6.1
Glean,2025-08,258,13200,6.2
Glean,2025-09,306,14400,6.3
Glean,2025-10,354,15600,6.3
Glean,2025-11,402,16800,6.4
Glean,2025-12,450,18000,6.5
Notion AI,2025-07,63,3780,6.4
Notion AI,2025-08,77,4140,6.5
Notion AI,2025-09,92,4500,6.6
Notion AI,2025-10,106,4860,6.7
Notion AI,2025-11,121,5220,6.8
Notion AI,2025-12,135,5580,6.8
Hippocratic AI,2025-07,0,0,6.8
Hippocratic AI,2025-08,0,0,6.9
Hippocratic AI,2025-09,0,0,7
Hippocratic AI,2025-10,0,0,7
Hippocratic AI,2025-11,0,0,7.1
Hippocratic AI,2025-12,0,0,7.2
Augmedix,2025-07,14,920,7.1
Augmedix,2025-08,17,1000,7.2
Augmedix,2025-09,20,1080,7.3
Augmedix,2025-10,24,1160,7.4
Augmedix,2025-11,27,1240,7.5
Augmedix,2025-12,30,1320,7.5
ChatGPT Enterprise,2025-07,28,1920,6.1
ChatGPT Enterprise,2025-08,34,2080,6.2
ChatGPT Enterprise,2025-09,41,2240,6.3
ChatGPT Enterprise,2025-10,47,2400,6.3
ChatGPT Enterprise,2025-11,54,2560,6.4
ChatGPT Enterprise,2025-12,60,2720,6.5
Azure OpenAI gpt-4o,2025-07,9,625,6.4
Azure OpenAI gpt-4o,2025-08,11,675,6.5
Azure OpenAI gpt-4o,2025-09,13,725,6.6
Azure OpenAI gpt-4o,2025-10,15,775,6.7
Azure OpenAI gpt-4o,2025-11,17,825,6.8
Azure OpenAI gpt-4o,2025-12,19,875,6.8
Visage 7 AI overlays,2025-07,33,2470,6.8
Visage 7 AI overlays,2025-08,41,2660,6.9
Visage 7 AI overlays,2025-09,48,2850,7
Visage 7 AI overlays,2025-10,56,3040,7
Visage 7 AI overlays,2025-11,64,3230,7.1
Visage 7 AI overlays,2025-12,71,3420,7.2
Aidoc stroke triage,2025-07,4,324,7.1
Aidoc stroke triage,2025-08,5,348,7.2
Aidoc stroke triage,2025-09,6,372,7.3
Aidoc stroke triage,2025-10,7,396,7.4
Aidoc stroke triage,2025-11,8,420,7.5
Aidoc stroke triage,2025-12,9,444,7.5
Rad AI,2025-07,3,224,6.1
Rad AI,2025-08,3,240,6.2
Rad AI,2025-09,4,256,6.3
Rad AI,2025-10,5,272,6.3
Rad AI,2025-11,5,288,6.4
Rad AI,2025-12,6,304,6.5
Stryker Mako planning,2025-07,21,1740,6.4
Stryker Mako planning,2025-08,26,1860,6.5
Stryker Mako planning,2025-09,31,1980,6.6
Stryker Mako planning,2025-10,35,2100,6.7
Stryker Mako planning,2025-11,40,2220,6.8
Stryker Mako planning,2025-12,45,2340,6.8
