tool,vendor,use_case,status,users,data_class,policy_notes
DAX Copilot,Nuance/Microsoft,Ambient documentation,Scale,1400,phi,HIPAA/BAA and model-risk review required for clinical use.
Abridge,Abridge,Ambient specialty pilot,Pilot,180,phi,HIPAA/BAA and model-risk review required for clinical use.
Suki,Suki AI,Ambient limited pilot,Pilot,90,phi,HIPAA/BAA and model-risk review required for clinical use.
Epic Art,Epic,In-basket draft replies,Scale,2100,phi,HIPAA/BAA and model-risk review required for clinical use.
Epic Cosmos,Epic,Cohort and research insights,Pilot,220,phi,HIPAA/BAA and model-risk review required for clinical use.
Innovaccer Copilot,Innovaccer,Care manager workflows,Pilot,340,phi,HIPAA/BAA and model-risk review required for clinical use.
Microsoft 365 Copilot E5,Microsoft,Non-clinical productivity,Scale,4200,confidential,HIPAA/BAA and model-risk review required for clinical use.
GitHub Copilot Business,Microsoft,Developer productivity,Scale,420,confidential,HIPAA/BAA and model-risk review required for clinical use.
Glean,Glean,Enterprise search,Pilot,600,confidential,HIPAA/BAA and model-risk review required for clinical use.
Notion AI,Notion,Documentation,Pilot,180,confidential,HIPAA/BAA and model-risk review required for clinical use.
Hippocratic AI,Hippocratic AI,Patient outreach,Paused,0,confidential,HIPAA/BAA and model-risk review required for clinical use.
Augmedix,Augmedix,Ambient legacy contract,Wind-down,40,confidential,HIPAA/BAA and model-risk review required for clinical use.
ChatGPT Enterprise,OpenAI,Researcher allowance,Pilot,80,confidential,HIPAA/BAA and model-risk review required for clinical use.
Azure OpenAI gpt-4o,Microsoft,Internal RAG,Build,25,confidential,HIPAA/BAA and model-risk review required for clinical use.
Visage 7 AI overlays,Visage,Imaging AI viewer,Scale,95,phi,HIPAA/BAA and model-risk review required for clinical use.
Aidoc stroke triage,Aidoc,Imaging AI,Pilot,12,phi,HIPAA/BAA and model-risk review required for clinical use.
Rad AI,Rad AI,Report impressions,Pilot,8,phi,HIPAA/BAA and model-risk review required for clinical use.
Stryker Mako planning,Stryker,OR planning,Scale,60,phi,HIPAA/BAA and model-risk review required for clinical use.
