tenantKey,relationshipId,sourceRowNumber,rawRelationshipType,normalizedRelationshipType,fromObjectType,fromObjectName,fromNodeId,toObjectType,toObjectName,toNodeId,evidenceBasis,confidence,knownGaps,quarantineReasons,disposition
meridian-health,MER-12-606A70B686,2,uses,USES,business_function,clinical_ehr,,application_system,Epic Hyperspace,,MER-V3-EVID-0040,high,Relationship is planning-grade and needs source-owner validation before board-grade use.,unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
meridian-health,MER-12-E56ADAFFE6,3,owns_technology_for,,workforce_role,Clinical Platforms,,application_system,Epic Hyperspace,,MER-V3-EVID-0040,high,Relationship is planning-grade and needs source-owner validation before board-grade use.,unknown-relationship-type:owns_technology_for; unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
meridian-health,MER-12-FEB2DE760A,4,supports,SUPPORTS,vendor_contract,MER-VEN-EPIC,,application_system,Epic Hyperspace,,MER-V3-EVID-0040,high,Relationship is planning-grade and needs source-owner validation before board-grade use.,unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
meridian-health,MER-12-F3C3A3BFAB,5,uses_data_domain,,application_system,Epic Hyperspace,,data_asset,encounters,,MER-V3-EVID-0040,high,Relationship is planning-grade and needs source-owner validation before board-grade use.,unknown-relationship-type:uses_data_domain; unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
meridian-health,MER-12-392F7FA050,6,uses_data_domain,,application_system,Epic Hyperspace,,data_asset,orders,,MER-V3-EVID-0040,high,Relationship is planning-grade and needs source-owner validation before board-grade use.,unknown-relationship-type:uses_data_domain; unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
meridian-health,MER-12-F99F418104,7,uses_data_domain,,application_system,Epic Hyperspace,,data_asset,results,,MER-V3-EVID-0040,high,Relationship is planning-grade and needs source-owner validation before board-grade use.,unknown-relationship-type:uses_data_domain; unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
meridian-health,MER-12-35F1D0A3DE,8,uses_data_domain,,application_system,Epic Hyperspace,,data_asset,clinical workflows,,MER-V3-EVID-0040,high,Relationship is planning-grade and needs source-owner validation before board-grade use.,unknown-relationship-type:uses_data_domain; unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
meridian-health,MER-12-C5F0A8C30C,9,integrates_with,,application_system,Epic Hyperspace,,application_system,Epic Bridges,,MER-V3-EVID-0040,high,Relationship is planning-grade and needs source-owner validation before board-grade use.,unknown-relationship-type:integrates_with; unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
meridian-health,MER-12-0231FCDA46,10,integrates_with,,application_system,Epic Hyperspace,,application_system,Clarity,,MER-V3-EVID-0040,high,Relationship is planning-grade and needs source-owner validation before board-grade use.,unknown-relationship-type:integrates_with; unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
meridian-health,MER-12-8247374A18,11,integrates_with,,application_system,Epic Hyperspace,,application_system,Caboodle,,MER-V3-EVID-0040,high,Relationship is planning-grade and needs source-owner validation before board-grade use.,unknown-relationship-type:integrates_with; unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
meridian-health,MER-12-A1F468B03D,12,uses,USES,business_function,clinical_reporting_repository,,application_system,Epic Clarity,,MER-V3-EVID-0041,high,Relationship is planning-grade and needs source-owner validation before board-grade use.,unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
meridian-health,MER-12-0AD9ED8880,13,owns_technology_for,,workforce_role,Epic Analytics,,application_system,Epic Clarity,,MER-V3-EVID-0041,high,Relationship is planning-grade and needs source-owner validation before board-grade use.,unknown-relationship-type:owns_technology_for; unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
meridian-health,MER-12-22A08FA611,14,supports,SUPPORTS,vendor_contract,MER-VEN-EPIC,,application_system,Epic Clarity,,MER-V3-EVID-0041,high,Relationship is planning-grade and needs source-owner validation before board-grade use.,unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
meridian-health,MER-12-2EC8AE6931,15,uses_data_domain,,application_system,Epic Clarity,,data_asset,clinical reporting,,MER-V3-EVID-0041,high,Relationship is planning-grade and needs source-owner validation before board-grade use.,unknown-relationship-type:uses_data_domain; unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
meridian-health,MER-12-7CD3823DDB,16,uses_data_domain,,application_system,Epic Clarity,,data_asset,encounter data,,MER-V3-EVID-0041,high,Relationship is planning-grade and needs source-owner validation before board-grade use.,unknown-relationship-type:uses_data_domain; unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
meridian-health,MER-12-87A5ED6B93,17,uses_data_domain,,application_system,Epic Clarity,,data_asset,quality extracts,,MER-V3-EVID-0041,high,Relationship is planning-grade and needs source-owner validation before board-grade use.,unknown-relationship-type:uses_data_domain; unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
meridian-health,MER-12-E13111B54D,18,integrates_with,,application_system,Epic Clarity,,application_system,SQL Server extracts,,MER-V3-EVID-0041,high,Relationship is planning-grade and needs source-owner validation before board-grade use.,unknown-relationship-type:integrates_with; unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
meridian-health,MER-12-06F08A91CE,19,integrates_with,,application_system,Epic Clarity,,application_system,Caboodle,,MER-V3-EVID-0041,high,Relationship is planning-grade and needs source-owner validation before board-grade use.,unknown-relationship-type:integrates_with; unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
meridian-health,MER-12-01B075D0F6,20,integrates_with,,application_system,Epic Clarity,,application_system,Tableau,,MER-V3-EVID-0041,high,Relationship is planning-grade and needs source-owner validation before board-grade use.,unknown-relationship-type:integrates_with; unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
meridian-health,MER-12-E49CC71AA6,21,uses,USES,business_function,clinical_warehouse,,application_system,Epic Caboodle,,MER-V3-EVID-0042,high,Relationship is planning-grade and needs source-owner validation before board-grade use.,unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
meridian-health,MER-12-F5095EFDB6,22,owns_technology_for,,workforce_role,Epic Analytics,,application_system,Epic Caboodle,,MER-V3-EVID-0042,high,Relationship is planning-grade and needs source-owner validation before board-grade use.,unknown-relationship-type:owns_technology_for; unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
meridian-health,MER-12-FB543B272B,23,supports,SUPPORTS,vendor_contract,MER-VEN-EPIC,,application_system,Epic Caboodle,,MER-V3-EVID-0042,high,Relationship is planning-grade and needs source-owner validation before board-grade use.,unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
meridian-health,MER-12-8172E86FBD,24,uses_data_domain,,application_system,Epic Caboodle,,data_asset,curated Epic clinical model,,MER-V3-EVID-0042,high,Relationship is planning-grade and needs source-owner validation before board-grade use.,unknown-relationship-type:uses_data_domain; unresolved-from-node; unresolved-to-node,quarantined-no-graph-materialization
