mapping_id,app_id,capability_id,support_type,process_area,user_count,module
FCF-SFM-001,FCF-APP-FIS-HORIZON,FCF-CAP-02,primary,Core deposit system of record,2100,core deposits and DDA
FCF-SFM-002,FCF-APP-FIS-HORIZON,FCF-CAP-03,secondary,Consumer lending account servicing,380,consumer loan servicing
FCF-SFM-003,FCF-APP-HOGAN-LOANS,FCF-CAP-04,primary,Commercial loan servicing platform of record,280,commercial credit
FCF-SFM-004,FCF-APP-FEDWIRE-ACH,FCF-CAP-05,primary,Wire and ACH payment execution platform,1400,payment processing
FCF-SFM-005,FCF-APP-FEDNOW-RTP,FCF-CAP-05,secondary,Real-time payment gateway (FedNow/RTP),220,instant payments
FCF-SFM-006,FCF-APP-SALESFORCE-FSC,FCF-CAP-01,secondary,CRM used in onboarding and relationship management,840,prospect and client CRM
FCF-SFM-007,FCF-APP-SALESFORCE-FSC,FCF-CAP-08,primary,Wealth advisor CRM and relationship platform,480,wealth CRM
FCF-SFM-008,FCF-APP-NCINO,FCF-CAP-04,primary,Commercial loan origination workflow,280,commercial origination
FCF-SFM-009,FCF-APP-NICE-ACTIMIZE,FCF-CAP-06,primary,Transaction monitoring and AML case management,420,AML analysts
FCF-SFM-010,FCF-APP-FENERGO-KYC,FCF-CAP-06,secondary,KYC onboarding and client lifecycle management,420,compliance and KYC
FCF-SFM-011,FCF-APP-MUREX-TREASURY,FCF-CAP-09,primary,"ALM, derivatives, and liquidity management",180,treasury analysts
FCF-SFM-012,FCF-APP-SAP-ECC,FCF-CAP-10,secondary,General ledger and regulatory financial reporting,340,finance and accounting
FCF-SFM-013,FCF-APP-SNOWFLAKE,FCF-CAP-13,primary,Enterprise data warehouse for analytics and ML,380,data analysts
FCF-SFM-014,FCF-APP-DATABRICKS,FCF-CAP-13,secondary,AI/ML feature engineering and model training,160,data scientists
FCF-SFM-015,FCF-APP-DATABRICKS,FCF-CAP-07,secondary,Fraud and credit model development,95,model risk analysts
FCF-SFM-016,FCF-APP-MOBILE-BANKING,FCF-CAP-11,primary,Primary digital banking channel (mobile),7200,retail clients
FCF-SFM-017,FCF-APP-ONLINE-ACCT-OPEN,FCF-CAP-01,primary,Digital account opening and onboarding,1800,new account applicants
FCF-SFM-018,FCF-APP-PEGA-CASE,FCF-CAP-12,secondary,Operations case management for deposits/loans,420,ops processing team
FCF-SFM-019,FCF-APP-SERVICENOW,FCF-CAP-14,secondary,"ITSM, change management, and GRC evidence store",1200,technology staff
FCF-SFM-020,FCF-APP-SPLUNK,FCF-CAP-15,primary,"SIEM, audit log, and regulatory evidence platform",80,security team
FCF-SFM-021,FCF-APP-CROWDSTRIKE,FCF-CAP-15,secondary,Endpoint and identity protection,80,security team
FCF-SFM-022,FCF-APP-BROADRIDGE,FCF-CAP-08,secondary,Wealth trade processing and statement generation,480,wealth advisors
FCF-SFM-023,FCF-APP-WORKDAY-HCM,FCF-CAP-14,secondary,"HR, payroll, and workforce data platform",14200,all employees
