capability_id,capability_name,business_function,value_stream,ai_maturity,description
FCF-CAP-01,Customer Onboarding,FCF-BF-RETAIL,Digital Onboarding,2,Digital account opening and KYC verification
FCF-CAP-02,Consumer Deposit Management,FCF-BF-RETAIL,Core Deposits,4,"DDA, savings, CD, MMA origination and servicing"
FCF-CAP-03,Consumer Lending Origination,FCF-BF-RETAIL,Consumer Lending,3,"Mortgage, auto, personal loan origination"
FCF-CAP-04,Commercial Loan Origination,FCF-BF-COMMBK,Commercial Lending,2,Middle-market credit underwriting and approval
FCF-CAP-05,Payment Processing,FCF-BF-OPS,Payments,4,"ACH, wire, card, RTP, FedNow payment execution"
FCF-CAP-06,AML & Financial Crimes,FCF-BF-RISK,Risk Management,2,"Transaction monitoring, case management, SAR filing"
FCF-CAP-07,Credit Underwriting & MRM,FCF-BF-RISK,Risk Management,2,"Credit assessment, model risk validation, scoring"
FCF-CAP-08,Wealth Advisory Services,FCF-BF-WEALTH,Wealth Management,3,"Portfolio management, trust, financial planning"
FCF-CAP-09,Treasury & ALM,FCF-BF-TREASURY,Capital Markets,2,"Liquidity management, interest rate risk, hedging"
FCF-CAP-10,Regulatory Reporting,FCF-BF-RISK,Compliance,1,"Call report, FR Y-9C, HMDA, CRA, BSA reporting"
FCF-CAP-11,Digital Banking & Servicing,FCF-BF-DIGITAL,Digital Channels,2,"Mobile, online banking, customer self-service"
FCF-CAP-12,Contact Center Servicing,FCF-BF-OPS,Client Service,3,"Inbound/outbound customer interactions, case resolution"
FCF-CAP-13,Data & Analytics,FCF-BF-TECH,Data Platform,2,"Enterprise data lake, BI reporting, ML feature store"
FCF-CAP-14,Technology Delivery,FCF-BF-TECH,Engineering,1,"Software development, release management, DevOps"
FCF-CAP-15,Cybersecurity & IAM,FCF-BF-TECH,Security,2,"Identity, access, threat detection, incident response"
