function_id,function_name,executive_owner_role,head_count,description
FCF-BF-RETAIL,Retail Banking,EVP Retail Banking,6800,"Core deposits, consumer lending, branch and digital channels"
FCF-BF-COMMBK,Commercial Banking,EVP Commercial Banking,2100,"Middle-market and large corporate lending, treasury services"
FCF-BF-WEALTH,Wealth & Private Banking,SVP Wealth Management,680,"HNW advisory, trust, investments, private banking"
FCF-BF-TREASURY,Treasury & Capital Markets,Treasurer,420,"ALM, liquidity, derivatives, correspondent banking"
FCF-BF-RISK,Risk & Compliance,Chief Risk Officer,940,"Credit, market, operational, AML/BSA, model risk, regulatory"
FCF-BF-FINANCE,Finance & Accounting,CFO,580,"Financial reporting, FP&A, tax, investor relations"
FCF-BF-OPS,Operations,COO,1680,"Deposit, loan, payment, and servicing operations"
FCF-BF-TECH,Technology,CIO,2240,"IT delivery, infrastructure, architecture, security, data"
FCF-BF-DIGITAL,Digital & Marketing,Chief Digital Officer,560,"Digital channels, marketing, customer experience"
FCF-BF-HR,Human Resources,CHRO,280,"Talent, learning, workforce planning, compensation"
