initiative_id,vendor_or_tool,ytd_spend_usd,annual_budget_usd,contract_value_usd,renewal_date,unit_economic_note
MER-AI-001,Epic,10230000,16740000,1200000,2026-07-05,Scale only after evidence gate
MER-AI-002,Databricks,5376000,8442000,2275000,2026-08-06,Within portfolio threshold
MER-AI-003,AWS,8906000,13542000,3350000,2026-09-07,Within portfolio threshold
MER-AI-004,Microsoft/Nuance,11152000,16524000,4425000,2026-10-08,Within portfolio threshold
MER-AI-005,Abridge,9464000,9360000,5500000,2026-11-09,Scale only after evidence gate
MER-AI-006,Suki,8360000,15276000,6575000,2026-12-10,Within portfolio threshold
MER-AI-007,Genesys,7040000,12210000,7650000,2026-07-11,Within portfolio threshold
MER-AI-008,Salesforce,4526000,7533000,8725000,2026-08-12,Within portfolio threshold
MER-AI-009,Change Healthcare,7708000,8460000,9800000,2026-09-13,Scale only after evidence gate
MER-AI-010,Optum,6552000,7236000,10875000,2026-10-14,Within portfolio threshold
MER-AI-011,HealthEdge,2970000,5994000,11950000,2026-11-15,Within portfolio threshold
MER-AI-012,TriZetto,2432000,4617000,13025000,2026-12-16,Within portfolio threshold
MER-AI-013,MuleSoft,13578000,16740000,14100000,2026-07-17,Scale only after evidence gate
MER-AI-014,Informatica,6888000,8442000,15175000,2026-08-18,Within portfolio threshold
