tenant_key,display_name,target_table,planned_rows,write_status
first-capital-financial,FS Demo,intelligence_v7.tenant_pack_runs,1,dry_run_not_written
first-capital-financial,FS Demo,intelligence_v7.source_files,20,dry_run_not_written
first-capital-financial,FS Demo,public.enterprise_context_sources,20,dry_run_not_written
first-capital-financial,FS Demo,public.enterprise_context_source_files,20,dry_run_not_written
first-capital-financial,FS Demo,public.data_ingestion_runs,1,dry_run_not_written
first-capital-financial,FS Demo,public.pilot_ingestion_file_manifests,20,dry_run_not_written
first-capital-financial,FS Demo,public.pilot_ingestion_load_commits,1,dry_run_not_written
first-capital-financial,FS Demo,intelligence_v7.business_records,4840,dry_run_not_written
first-capital-financial,FS Demo,intelligence_v7.record_fields,9680,dry_run_not_written
first-capital-financial,FS Demo,public.enterprise_context_records,4840,dry_run_not_written
first-capital-financial,FS Demo,public.enterprise_context_facts,9680,dry_run_not_written
first-capital-financial,FS Demo,public.enterprise_context_evidence,140,dry_run_not_written
first-capital-financial,FS Demo,public.enterprise_context_quality_issues,2100,dry_run_not_written
first-capital-financial,FS Demo,public.enterprise_context_stewardship_tasks,2100,dry_run_not_written
first-capital-financial,FS Demo,intelligence_v7.derived_intelligence_quality_reports,1,dry_run_not_written
first-capital-financial,FS Demo,intelligence_v7.module_readiness_scores,5,dry_run_not_written
first-capital-financial,FS Demo,public.home_expected_fields,19,dry_run_not_written
first-capital-financial,FS Demo,intelligence_v7.graph_nodes,1600,dry_run_not_written
first-capital-financial,FS Demo,intelligence_v7.relationship_edges,2600,dry_run_not_written
first-capital-financial,FS Demo,public.enterprise_context_relationships,2600,dry_run_not_written
first-capital-financial,FS Demo,public.enterprise_graph_nodes,1600,dry_run_not_written
first-capital-financial,FS Demo,public.enterprise_graph_edges,2600,dry_run_not_written
first-capital-financial,FS Demo,public.enterprise_context_chunks,4600,dry_run_not_written
first-capital-financial,FS Demo,public.enterprise_context_chunk_queue,4600,dry_run_not_written
first-capital-financial,FS Demo,public.governed_object_readiness,4600,dry_run_not_written
first-capital-financial,FS Demo,cio_tower.source_registry,20,dry_run_not_written
first-capital-financial,FS Demo,cio_tower.entities,1100,dry_run_not_written
first-capital-financial,FS Demo,cio_tower.facts,9680,dry_run_not_written
first-capital-financial,FS Demo,cio_tower.relationships,2600,dry_run_not_written
first-capital-financial,FS Demo,cio_tower.measures,80,dry_run_not_written
first-capital-financial,FS Demo,cio_tower.measure_results,80,dry_run_not_written
first-capital-financial,FS Demo,cio_tower.question_contracts,12,dry_run_not_written
first-capital-financial,FS Demo,cio_tower.validation_runs,1,dry_run_not_written
first-capital-financial,FS Demo,cio_tower.validation_results,12,dry_run_not_written
first-capital-financial,FS Demo,public.program_origination_drafts,12,dry_run_not_written
first-capital-financial,FS Demo,public.generated_artifacts,24,dry_run_not_written
first-capital-financial,FS Demo,public.source_context_receipts,12,dry_run_not_written
first-capital-financial,FS Demo,public.source_contract_evidence_manifests,12,dry_run_not_written
first-capital-financial,FS Demo,public.source_contract_evidence_rows,120,dry_run_not_written
first-capital-financial,FS Demo,public.admin_datasets,1,dry_run_not_written
first-capital-financial,FS Demo,public.admin_dataset_quality,1,dry_run_not_written
first-capital-financial,FS Demo,public.admin_blockers,5,dry_run_not_written
first-capital-financial,FS Demo,public.admin_audit_log,1,dry_run_not_written
