tenant_key,display_name,source_template_file,requested_alias,rows,status
first-capital-financial,FS Demo,00_enterprise_profile.csv,00_enterprise_profile.csv,24,pass
first-capital-financial,FS Demo,01_business_functions.csv,01_business_functions.csv,300,pass
first-capital-financial,FS Demo,02_org_ownership.csv,02_org_ownership.csv,260,pass
first-capital-financial,FS Demo,03_workforce_roles.csv,03_workforce_roles.csv,260,pass
first-capital-financial,FS Demo,04_applications_systems.csv,04_applications_systems.csv,360,pass
first-capital-financial,FS Demo,05_data_assets_integrations.csv,05_data_assets_integrations.csv,360,pass
first-capital-financial,FS Demo,06_infrastructure_platforms.csv,06_infrastructure_platforms.csv,240,pass
first-capital-financial,FS Demo,07_vendors_contracts.csv,07_vendors_contracts.csv,300,pass
first-capital-financial,FS Demo,08_spend_value.csv,08_it_budget_spend_value.csv,76,pass
first-capital-financial,FS Demo,09_programs_initiatives.csv,09_programs_initiatives.csv,300,pass
first-capital-financial,FS Demo,10_ai_automation_use_cases.csv,10_ai_automation_use_cases.csv,300,pass
first-capital-financial,FS Demo,11_risks_controls.csv,11_risks_controls.csv,340,pass
first-capital-financial,FS Demo,12_relationships.csv,12_relationships.csv,380,pass
first-capital-financial,FS Demo,13_evidence_sources.csv,13_evidence_sources.csv,140,pass
first-capital-financial,FS Demo,14_metrics_outcomes.csv,14_metrics_outcomes.csv,300,pass
first-capital-financial,FS Demo,15_industry_context_patterns.csv,15_industry_context_patterns.csv,220,pass
first-capital-financial,FS Demo,16_expert_lenses.csv,16_expert_lenses.csv,160,pass
first-capital-financial,FS Demo,17_service_scope_managed_services.csv,17_managed_services_scope.csv,220,pass
first-capital-financial,FS Demo,18_operational_process_evidence.csv,18_operational_process_evidence.csv,300,pass
