team_or_product,deployment_frequency_before,deployment_frequency_after,lead_time_before_days,lead_time_after_days,change_failure_before_pct,change_failure_after_pct,mttr_before_hours,mttr_after_hours
Treasury,2/month,4/month,31,18,18,11,14,7
Treasury controls,3/month,5/month,30,17,19,12,15,8
FP&A,4/month,6/month,29,16,20,13,16,9
Finance,5/month,7/month,28,15,21,14,17,10
IT Operations,2/month,8/month,27,14,22,15,18,11
Finance,3/month,9/month,26,13,23,11,19,7
Procurement,4/month,10/month,25,18,18,12,20,8
Treasury,5/month,4/month,24,17,19,13,21,9
Productivity,2/month,5/month,23,16,20,14,22,10
Developer productivity,3/month,6/month,31,15,21,15,23,11
