agent_id,agent_name,business_process,work_items_resolved,deflection_pct,exception_rate_pct,human_escalation_pct,approval_status,risk_note
LAK-AGENT-001,Kyriba global cash and payments rollout agent/workflow,Treasury,900,12,4.8,22.0,restricted,SOX/control evidence and source citation gap
LAK-AGENT-002,Treasury bank connectivity control evidence agent/workflow,Treasury controls,1610,14,5.5,21.2,approved_pilot,integration and master-data defect backlog
LAK-AGENT-003,Liquidity forecasting automation agent/workflow,FP&A,2320,16,6.2,20.4,approved_pilot,value measurement needs CFO/Treasurer signoff
LAK-AGENT-004,Automated close and finance reporting semantic layer agent/workflow,Finance,3030,18,6.9,19.6,review_required,SOX/control evidence and source citation gap
LAK-AGENT-005,ServiceNow finance support agent agent/workflow,IT Operations,3740,20,7.6,18.8,approved_pilot,integration and master-data defect backlog
LAK-AGENT-006,Finance AI narrative and variance explainer agent/workflow,Finance,4450,22,8.3,18.0,restricted,value measurement needs CFO/Treasurer signoff
LAK-AGENT-007,Supplier working-capital analytics agent/workflow,Procurement,5160,24,9.0,17.2,review_required,SOX/control evidence and source citation gap
LAK-AGENT-008,Kyriba rollout assistant and defect triage agent/workflow,Treasury,5870,26,9.7,16.4,approved_pilot,integration and master-data defect backlog
LAK-AGENT-009,M365 Copilot finance rollout agent/workflow,Productivity,6580,28,10.4,15.6,approved_pilot,value measurement needs CFO/Treasurer signoff
LAK-AGENT-010,Codex/Claude developer productivity for finance integrations agent/workflow,Developer productivity,7290,30,11.1,14.8,review_required,SOX/control evidence and source citation gap
