action_id,action_title,priority,derived_from,decision_owner,next_decision_date,expected_impact_usd
APX-ACT-001,at_risk decision for Retail lakehouse and customer inventory graph,P0,APX-INIT-001,Chief Data Officer,2026-07-28,83000000
APX-ACT-002,scale_candidate decision for AI demand forecasting and replenishment,P0,APX-INIT-002,Chief Merchandising Officer,2026-08-28,51000000
APX-ACT-003,hold_until_evidence decision for Store labor scheduling optimization,P0,APX-INIT-003,COO,2026-09-28,42000000
APX-ACT-004,at_risk decision for Shrink anomaly detection,P1,APX-INIT-004,Chief Risk Officer,2026-10-28,61200000
APX-ACT-005,scale_candidate decision for Search and personalization AI,P1,APX-INIT-005,Chief Digital Officer,2026-11-28,42000000
APX-ACT-006,hold_until_evidence decision for Retail media measurement clean room,P1,APX-INIT-006,Chief Marketing Officer,2026-07-28,34000000
APX-ACT-007,scale_candidate decision for BOPIS exception prediction,P1,APX-INIT-007,Chief Supply Chain Officer,2026-08-28,26600000
APX-ACT-008,at_risk decision for Returns fraud triage,P1,APX-INIT-008,Chief Risk Officer,2026-09-28,22800000
APX-ACT-009,scale_candidate decision for Finance margin bridge automation,P1,APX-INIT-009,CFO,2026-10-28,18200000
APX-ACT-010,hold_until_evidence decision for ServiceNow store support agent,P1,APX-INIT-010,VP IT Operations,2026-11-28,15600000
