evidence_item_id,initiative_id,source_file,source_locator,source_timestamp,review_state,confidence
APX-EVID-001,APX-INIT-001,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section-1,2026-06-18,review_required,0.72
APX-EVID-002,APX-INIT-002,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section-2,2026-06-18,approved,0.73
APX-EVID-003,APX-INIT-003,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section-3,2026-06-18,approved,0.74
APX-EVID-004,APX-INIT-004,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section-4,2026-06-18,approved,0.75
APX-EVID-005,APX-INIT-005,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section-5,2026-06-18,approved,0.76
APX-EVID-006,APX-INIT-006,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section-6,2026-06-18,review_required,0.77
APX-EVID-007,APX-INIT-007,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section-7,2026-06-18,approved,0.78
APX-EVID-008,APX-INIT-008,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section-8,2026-06-18,approved,0.79
APX-EVID-009,APX-INIT-009,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section-9,2026-06-18,approved,0.72
APX-EVID-010,APX-INIT-010,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section-10,2026-06-18,approved,0.73
APX-EVID-011,APX-INIT-011,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section-11,2026-06-18,review_required,0.74
APX-EVID-012,APX-INIT-012,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section-12,2026-06-18,approved,0.75
APX-EVID-013,APX-INIT-013,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section-13,2026-06-18,approved,0.76
APX-EVID-014,APX-INIT-014,source-docs/Apex_Retail_AI_Portfolio_and_Value_Readout_SYNTHETIC.md,section-14,2026-06-18,approved,0.77
