templateId,phase,label,clientPurpose,fileFormat,recommendedSessionType,recommendedAudience,supportedBuildingBlocks,requiredSections,parsedOutputTypes,nextPhaseInputsCreated,sampleQuestions,lakeshore_legal_example
"p2_current_state_interview_guide","P2","Current-State Interview Guide","Run structured interviews to capture how the work happens today and where it breaks.","DOCX","interview","Business sponsor; Legal Operations Lead; Business process owner","Process redesign; Human-in-the-loop agent; Controls / governance / risk model","How work enters and is triaged; Where work waits and gets approved; Exceptions and escalations","process_map; current_state_finding; control_requirement","currentWorkflowWithPainPoints; humanApprovalCheckpoints","Where does a request enter? | Who approves, and when? | Where do exceptions happen?","Contract requests arrive by email, form, and shared folder; triage is manual and inconsistent."
"p2_process_walkthrough","P2","Process Walkthrough Template","Map the end-to-end current-state workflow with handoffs and cycle time.","DOCX","workshop","Business process owner; Legal Operations Lead","Process redesign; Workflow automation","Workflow stages and handoffs; Cycle time and queue points","process_map; current_state_finding; baseline_metric","currentWorkflowWithPainPoints; towerMetricCandidates","What are the stages from intake to close? | Where does work queue and age?","Average review cycle time is 31.6 days with a P90 of 52 days."
"p2_systems_data_inventory","P2","Systems and Data Inventory Template","Inventory the systems and data involved, and identify the system of record.","XLSX","working_session","IT / CLM owner; Data owner","Data readiness / remediation; System / platform implementation","Systems in scope; Required data fields and gaps; Source of truth and ownership","systems_inventory; current_state_finding; data_gap; control_requirement","requiredFieldContract; controlBoundaries","Which fields are missing? | Which system is the source of truth? | Who owns data quality?","81.5% of requests arrive missing at least one required intake field; obligation ownership is unreliable."
"p2_pain_root_cause_summary","P2","Pain-Point and Root-Cause Workshop Summary","Synthesize pain points into root-cause candidates the solution must address.","DOCX","workshop","Business sponsor; Legal Operations Lead; Business process owner","Process redesign; Data readiness / remediation; Human-in-the-loop agent","Pain points by stage; Root-cause candidates; Open questions","current_state_finding; root_cause","openQuestionsForSolutionDesign; currentWorkflowWithPainPoints","What is the real root cause, not the symptom? | What is out of scope?","Root cause is incomplete intake and inconsistent triage — not attorney capacity."
"p2_business_appetite_for_change","P2","Business Appetite for Change Template","Capture how much change and disruption the business is ready to absorb.","DOCX","interview","Business sponsor; Finance / value owner","Process redesign; Value tracking / operating cadence","Appetite for workflow disruption; Value expectations and proof bar","change_appetite; current_state_finding; value_assumption","towerMetricCandidates; openQuestionsForSolutionDesign","How much change can the team absorb in phase one? | What proof do you need before scaling?","Phase one should minimize workflow disruption; hard savings require finance attestation."
"p2_current_state_final_review","P2","Current-State Final Review Template","The client-reviewed, confirmed current-state view that P3 designs against.","DOCX","final_review","Business sponsor; Legal / compliance reviewer","Process redesign; Data readiness / remediation; Controls / governance / risk model; Value tracking / operating cadence","Confirmed current-state truth; Confirmed baselines; Confirmed control boundaries","current_state_finding; baseline_metric; control_requirement","currentWorkflowWithPainPoints; requiredFieldContract; controlBoundaries; towerMetricCandidates; openQuestionsForSolutionDesign","Do we agree on what is happening today and what is broken?","Client-confirmed: intake quality and handoffs are the constraint; attorney approval stays for non-standard terms."
"p3_solution_options_canvas","P3","Solution Options Canvas","Lay out 2–3 realistic solution options before committing to architecture.","DOCX","workshop","Business sponsor; IT / CLM owner; Legal Operations Lead","Process redesign; AI-assisted decision support; Workflow automation; System / platform implementation","Option definitions; Fit to current-state findings","solution_option","deferredOptions; architectureConstraints","What are the practical options? | Which is realistic for phase one?","A: process-first cleanup · B: CLM-embedded assisted triage & obligation extraction · C: cross-system orchestration layer."
"p3_tradeoff_matrix","P3","Pros / Cons and Tradeoff Matrix","Compare options on value, risk, readiness, and effort.","XLSX","decision_review","Business sponsor; Finance / value owner; IT / CLM owner","AI-assisted decision support; Controls / governance / risk model; Value tracking / operating cadence","Tradeoffs by option; Readiness impact","tradeoff; architecture_constraint","deferredOptions; valueAssumptionsToValidate","What do we accept and give up with each option?","Option B balances speed, adoption, control, and measurable value; C is high integration risk before baseline proof."
"p3_human_ai_work_split","P3","Human + AI Work Split Template","Define exactly what AI does versus what humans decide and approve.","DOCX","working_session","Legal Operations Lead; Legal / compliance reviewer","Human-in-the-loop agent; AI-assisted decision support; Controls / governance / risk model","What AI recommends; Where humans approve","human_ai_split; control_requirement","controlRequirements","What can AI do alone? | Where must a human approve?","AI suggests risk tier and missing info; attorney approves non-standard terms. No autonomous approval."
"p3_architecture_constraints","P3","Architecture Constraints Template","Capture the constraints the target architecture must respect.","DOCX","working_session","IT / CLM owner; Information Security","System / platform implementation; Controls / governance / risk model; Data readiness / remediation","Systems and integration constraints; Security / privilege constraints","architecture_constraint; control_requirement","architectureConstraints; controlRequirements","Can the current platform support this? | What must be fenced?","Embed in the existing CLM; preserve privilege and privacy boundaries; no new platform in phase one."
