event_id,event_type,product_family_id,severity,opened_at,capa_id,audit_reference
NST-QMS-001,Complaint trend,NST-PF-002,low,2026-02-03,CAPA-0001,AUD-0001
NST-QMS-002,FDA 483 observation,NST-PF-003,low,2026-03-03,CAPA-0002,AUD-0002
NST-QMS-003,EU MDR remediation,NST-PF-004,low,2026-04-03,CAPA-0003,AUD-0003
NST-QMS-004,Design history gap,NST-PF-005,medium,2026-05-03,CAPA-0004,AUD-0004
NST-QMS-005,CAPA,NST-PF-006,low,2026-06-03,CAPA-0005,AUD-0005
NST-QMS-006,Complaint trend,NST-PF-007,low,2026-07-03,CAPA-0006,AUD-0006
NST-QMS-007,FDA 483 observation,NST-PF-008,low,2026-08-03,CAPA-0007,AUD-0007
NST-QMS-008,EU MDR remediation,NST-PF-009,medium,2026-09-03,CAPA-0008,AUD-0008
NST-QMS-009,Design history gap,NST-PF-010,high,2026-10-03,CAPA-0009,AUD-0009
NST-QMS-010,CAPA,NST-PF-011,low,2026-11-03,CAPA-0010,AUD-0010
NST-QMS-011,Complaint trend,NST-PF-012,low,2026-12-03,CAPA-0011,AUD-0011
NST-QMS-012,FDA 483 observation,NST-PF-013,medium,2026-01-03,CAPA-0012,AUD-0012
NST-QMS-013,EU MDR remediation,NST-PF-014,low,2026-02-03,CAPA-0013,AUD-0013
NST-QMS-014,Design history gap,NST-PF-015,low,2026-03-03,CAPA-0014,AUD-0014
NST-QMS-015,CAPA,NST-PF-016,low,2026-04-03,CAPA-0015,AUD-0015
NST-QMS-016,Complaint trend,NST-PF-017,medium,2026-05-03,CAPA-0016,AUD-0016
NST-QMS-017,FDA 483 observation,NST-PF-018,low,2026-06-03,CAPA-0017,AUD-0017
NST-QMS-018,EU MDR remediation,NST-PF-019,high,2026-07-03,CAPA-0018,AUD-0018
NST-QMS-019,Design history gap,NST-PF-020,low,2026-08-03,CAPA-0019,AUD-0019
NST-QMS-020,CAPA,NST-PF-021,medium,2026-09-03,CAPA-0020,AUD-0020
NST-QMS-021,Complaint trend,NST-PF-022,low,2026-10-03,CAPA-0021,AUD-0021
NST-QMS-022,FDA 483 observation,NST-PF-023,low,2026-11-03,CAPA-0022,AUD-0022
NST-QMS-023,EU MDR remediation,NST-PF-024,low,2026-12-03,CAPA-0023,AUD-0023
NST-QMS-024,Design history gap,NST-PF-025,medium,2026-01-03,CAPA-0024,AUD-0024
NST-QMS-025,CAPA,NST-PF-026,low,2026-02-03,CAPA-0025,AUD-0025
NST-QMS-026,Complaint trend,NST-PF-027,low,2026-03-03,CAPA-0026,AUD-0026
NST-QMS-027,FDA 483 observation,NST-PF-028,high,2026-04-03,CAPA-0027,AUD-0027
NST-QMS-028,EU MDR remediation,NST-PF-029,medium,2026-05-03,CAPA-0028,AUD-0028
NST-QMS-029,Design history gap,NST-PF-030,low,2026-06-03,CAPA-0029,AUD-0029
NST-QMS-030,CAPA,NST-PF-031,low,2026-07-03,CAPA-0030,AUD-0030
