tenant_key,source_system,source_object,source_record_id,extract_job_id,extract_timestamp,as_of_date,contract_id,supplier_id,po_number,po_line_id,release_number,ordered_amount_usd,received_amount_usd,approval_state,contract_reference_present,unmatched_exception_state,approver_role,receiving_state,row_hash
skyharbor_global,Coupa,Purchase order line and receiving export,POREC-CTR-090-1,extract-po-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,SUP-SALESFORCE-US-001,PO-CTR-090-1,POL-CTR-090-1,1,2900000,2320000,approved,true,,VP Strategic Sourcing,partial_receipt,496ea96db939bc8e13c0dd3c8c0832942208b7770d16eadad58b202c2a374d63
skyharbor_global,Coupa,Purchase order line and receiving export,POREC-CTR-090-2,extract-po-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,SUP-SALESFORCE-US-001,PO-CTR-090-2,POL-CTR-090-2,2,3153750,2610000,approved,true,,VP Strategic Sourcing,received,c691ea719374a66a55dfe7eb824dd0635de0b99703a144399efae2c28a834f64
skyharbor_global,Coupa,Purchase order line and receiving export,POREC-CTR-090-3,extract-po-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,SUP-SALESFORCE-US-001,PO-CTR-090-3,POL-CTR-090-3,3,3407500,2900000,approved,true,,VP Strategic Sourcing,received,3f3b1ac38d6de986568022f769d8beac671bae0af42f54082b4a46d561a383e6
skyharbor_global,Coupa,Purchase order line and receiving export,POREC-CTR-090-4,extract-po-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,SUP-SALESFORCE-US-001,PO-CTR-090-4,POL-CTR-090-4,4,3661250,2320000,approved,true,,VP Strategic Sourcing,received,1a3b71903375981087599c30a44fcc18a5173d233c7ce73a4a35edc45330808c
skyharbor_global,Coupa,Purchase order line and receiving export,POREC-CTR-090-5,extract-po-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,SUP-SALESFORCE-US-001,PO-CTR-090-1,POL-CTR-090-5,5,2900000,2610000,approved,true,,VP Strategic Sourcing,received,623406eadb9c79bfda3e29df152125610cd0aaa41db11c77b31748e6a3494b16
skyharbor_global,Coupa,Purchase order line and receiving export,POREC-CTR-090-6,extract-po-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,SUP-SALESFORCE-US-001,PO-CTR-090-2,POL-CTR-090-6,6,3153750,2900000,approved,true,,VP Strategic Sourcing,partial_receipt,69c49abb5fbbbd83c1ad7c1487bd3fe4dc6c7f701c19fe63d17ec1a35e864be2
skyharbor_global,Coupa,Purchase order line and receiving export,POREC-CTR-090-7,extract-po-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,SUP-SALESFORCE-US-001,PO-CTR-090-3,POL-CTR-090-7,7,3407500,2320000,approved,true,,VP Strategic Sourcing,received,87af8e27fc5f0b87e2c6956704b9b9c8a636aa30d828ba3869dd87cbdc2c7fbe
skyharbor_global,Coupa,Purchase order line and receiving export,POREC-CTR-090-8,extract-po-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-090,SUP-SALESFORCE-US-001,PO-CTR-090-4,POL-CTR-090-8,8,3661250,2610000,approved,true,,VP Strategic Sourcing,received,bdebacb1e454e074b479a6f65852aca12d2f1cf8e9dc284aad21af7658478955
skyharbor_global,Coupa,Purchase order line and receiving export,POREC-CTR-061-1,extract-po-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,SUP-MICROSOFT-US-001,PO-CTR-061-1,POL-CTR-061-1,1,2386666.67,1909333.33,approved,true,,Technology Category Lead,partial_receipt,8b08deede6e29b7e8089658e6256a2df2fb990e2e61c0ddcb7d5cd0e20e6d336
skyharbor_global,Coupa,Purchase order line and receiving export,POREC-CTR-061-2,extract-po-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,SUP-MICROSOFT-US-001,PO-CTR-061-2,POL-CTR-061-2,2,2595500,2148000,approved,true,,Technology Category Lead,received,d9d2a36e5d74aa018a282c25932f84e8a4e46547fe3969059af9e9f21ef44e74
skyharbor_global,Coupa,Purchase order line and receiving export,POREC-CTR-061-3,extract-po-reconciled-v2-001,2027-06-30T21:00:00Z,2027-06-30,CTR-061,SUP-MICROSOFT-US-001,PO-CTR-061-3,POL-CTR-061-3,3,2804333.33,2386666.67,approved,true,,Technology Category Lead,received,97879c3fceb35fa29cbbff645ef12602ce6c829a7c07b3dcc2c8661d39f626e4
