tenant_key,contract_id,contract_archetype,evidence_class,applicability_state,required_for_stage,reason,current_availability,freshness_state,review_state,owner_role,next_request
skyharbor_global,CTR-090,enterprise_saas,contract_register,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-090,enterprise_saas,supplier_master,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-090,enterprise_saas,document_inventory,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-090,enterprise_saas,clause_extraction,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-090,enterprise_saas,pricing_schedule,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-090,enterprise_saas,ap_invoice_line,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-090,enterprise_saas,po_line,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-090,enterprise_saas,sla_event,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-090,enterprise_saas,usage_entitlement,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-090,enterprise_saas,cloud_billing,not_applicable,,Cloud evidence is not applicable to this SaaS-only golden scenario.,not_applicable,not_applicable,accepted,,
skyharbor_global,CTR-090,enterprise_saas,vms_rate_card,conditional,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-090,enterprise_saas,renewal_negotiation,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-090,enterprise_saas,finance_realization,required,value_proven,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-090,enterprise_saas,evidence_linkage,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-090,enterprise_saas,fact_assertion,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-090,enterprise_saas,fact_conflict,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-090,enterprise_saas,review_decision,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-090,enterprise_saas,opportunity_case,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-090,enterprise_saas,opportunity_calculation,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
skyharbor_global,CTR-090,enterprise_saas,case_lifecycle,required,action_ready,Required to prove Vantage Customer Platform Agreement at production depth.,received,current,accepted,VP Strategic Sourcing,Continue monthly/on-change refresh and review deltas.
