tenant_key,contract_id,opportunity_id,calculation_run_id,input_name,input_value_numeric,input_value_text,input_unit,source_record_id,source_system,inclusion_state,review_state,input_rank
skyharbor_global,CTR-090,OP-CTR-090-RECOVERY-001,CALC-OP-CTR-090-RECOVERY-001,ap_rate_variance_line,99370,AP-CTR-090-2026-07-1,USD,AP-CTR-090-2026-07-1,SAP S/4HANA,included,accepted,1
skyharbor_global,CTR-090,OP-CTR-090-RECOVERY-001,CALC-OP-CTR-090-RECOVERY-001,ap_rate_variance_line,16729.16,AP-CTR-090-2026-09-4,USD,AP-CTR-090-2026-09-4,SAP S/4HANA,included,accepted,2
skyharbor_global,CTR-090,OP-CTR-090-RECOVERY-001,CALC-OP-CTR-090-RECOVERY-001,ap_rate_variance_line,55440,AP-CTR-090-2026-10-3,USD,AP-CTR-090-2026-10-3,SAP S/4HANA,included,accepted,3
skyharbor_global,CTR-090,OP-CTR-090-RECOVERY-001,CALC-OP-CTR-090-RECOVERY-001,ap_rate_variance_line,56452.8,AP-CTR-090-2026-11-2,USD,AP-CTR-090-2026-11-2,SAP S/4HANA,included,accepted,4
skyharbor_global,CTR-090,OP-CTR-090-RECOVERY-001,CALC-OP-CTR-090-RECOVERY-001,ap_rate_variance_line,99750,AP-CTR-090-2026-12-1,USD,AP-CTR-090-2026-12-1,SAP S/4HANA,included,accepted,5
skyharbor_global,CTR-090,OP-CTR-090-RECOVERY-001,CALC-OP-CTR-090-RECOVERY-001,ap_rate_variance_line,16729.16,AP-CTR-090-2027-02-4,USD,AP-CTR-090-2027-02-4,SAP S/4HANA,included,accepted,6
skyharbor_global,CTR-090,OP-CTR-090-RECOVERY-001,CALC-OP-CTR-090-RECOVERY-001,ap_rate_variance_line,55440,AP-CTR-090-2027-03-3,USD,AP-CTR-090-2027-03-3,SAP S/4HANA,included,accepted,7
skyharbor_global,CTR-090,OP-CTR-090-RECOVERY-001,CALC-OP-CTR-090-RECOVERY-001,ap_rate_variance_line,56948,AP-CTR-090-2027-04-2,USD,AP-CTR-090-2027-04-2,SAP S/4HANA,included,accepted,8
skyharbor_global,CTR-090,OP-CTR-090-RECOVERY-001,CALC-OP-CTR-090-RECOVERY-001,ap_rate_variance_line,100130,AP-CTR-090-2027-05-1,USD,AP-CTR-090-2027-05-1,SAP S/4HANA,included,accepted,9
skyharbor_global,CTR-090,OP-CTR-090-RECOVERY-001,CALC-OP-CTR-090-RECOVERY-001,sla_credit_gap_event,15104.17,SLAEVT-CTR-090-2026-07-1,USD,SLAEVT-CTR-090-2026-07-1,ServiceNow,included,accepted,10
