tenant_key,new_event_control_id,originating_learning_pattern_id,originating_contract_id,target_stage,generated_requirement,supplier_response_obligation,evaluation_criterion,bafo_ask,contract_term_handoff,value_measurement_rule,review_state
skyharbor_global,NEC-LEARN-CTR-090-quantity_uom_required,LEARN-CTR-090-quantity_uom_required,CTR-090,scope,Require native quantity/UOM and service period for every priced line.,quantity_uom_required_response_field,Evidence-backed commercial controllability,Supplier must close quantity_uom_required before BAFO selection.,quantity_uom_required clause with evidence obligation and remedy.,No realized value without periodized Finance proof.,review_ready
skyharbor_global,NEC-LEARN-CTR-090-auto_credit_sla,LEARN-CTR-090-auto_credit_sla,CTR-090,rfp,"Define SLA fee base, exclusion logic, claim owner, and automatic credit method.",auto_credit_sla_response_field,Evidence-backed commercial controllability,Supplier must close auto_credit_sla before BAFO selection.,auto_credit_sla clause with evidence obligation and remedy.,No realized value without periodized Finance proof.,review_ready
skyharbor_global,NEC-LEARN-CTR-090-usage_true_down,LEARN-CTR-090-usage_true_down,CTR-090,scope,Require active/inactive usage reporting and true-down economics.,usage_true_down_response_field,Evidence-backed commercial controllability,Supplier must close usage_true_down before BAFO selection.,usage_true_down clause with evidence obligation and remedy.,No realized value without periodized Finance proof.,review_ready
skyharbor_global,NEC-LEARN-CTR-090-cloud_forecast_control,LEARN-CTR-090-cloud_forecast_control,CTR-090,scope,"Require cloud commitment forecast, tag quality, and overage approval controls.",cloud_forecast_control_response_field,Evidence-backed commercial controllability,Supplier must close cloud_forecast_control before BAFO selection.,cloud_forecast_control clause with evidence obligation and remedy.,No realized value without periodized Finance proof.,review_ready
skyharbor_global,NEC-LEARN-CTR-090-pricing_supersession,LEARN-CTR-090-pricing_supersession,CTR-090,pricing,Require explicit superseded/current pricing and amendment precedence.,pricing_supersession_response_field,Evidence-backed commercial controllability,Supplier must close pricing_supersession before BAFO selection.,pricing_supersession clause with evidence obligation and remedy.,No realized value without periodized Finance proof.,review_ready
skyharbor_global,NEC-LEARN-CTR-090-po_coverage,LEARN-CTR-090-po_coverage,CTR-090,scope,Require PO-to-contract coverage and exception approval evidence.,po_coverage_response_field,Evidence-backed commercial controllability,Supplier must close po_coverage before BAFO selection.,po_coverage clause with evidence obligation and remedy.,No realized value without periodized Finance proof.,review_ready
skyharbor_global,NEC-LEARN-CTR-090-finance_measurement,LEARN-CTR-090-finance_measurement,CTR-090,value,Lock Finance baseline and periodized realization method before selection.,finance_measurement_response_field,Evidence-backed commercial controllability,Supplier must close finance_measurement before BAFO selection.,finance_measurement clause with evidence obligation and remedy.,No realized value without periodized Finance proof.,review_ready
skyharbor_global,NEC-LEARN-CTR-090-exit_assistance,LEARN-CTR-090-exit_assistance,CTR-090,scope,"Require transition assistance, data portability, KT, and milestone acceptance.",exit_assistance_response_field,Evidence-backed commercial controllability,Supplier must close exit_assistance before BAFO selection.,exit_assistance clause with evidence obligation and remedy.,No realized value without periodized Finance proof.,review_ready
skyharbor_global,NEC-LEARN-CTR-061-quantity_uom_required,LEARN-CTR-061-quantity_uom_required,CTR-061,scope,Require native quantity/UOM and service period for every priced line.,quantity_uom_required_response_field,Evidence-backed commercial controllability,Supplier must close quantity_uom_required before BAFO selection.,quantity_uom_required clause with evidence obligation and remedy.,No realized value without periodized Finance proof.,diagnosis_learning_only
skyharbor_global,NEC-LEARN-CTR-061-auto_credit_sla,LEARN-CTR-061-auto_credit_sla,CTR-061,rfp,"Define SLA fee base, exclusion logic, claim owner, and automatic credit method.",auto_credit_sla_response_field,Evidence-backed commercial controllability,Supplier must close auto_credit_sla before BAFO selection.,auto_credit_sla clause with evidence obligation and remedy.,No realized value without periodized Finance proof.,diagnosis_learning_only
skyharbor_global,NEC-LEARN-CTR-061-usage_true_down,LEARN-CTR-061-usage_true_down,CTR-061,scope,Require active/inactive usage reporting and true-down economics.,usage_true_down_response_field,Evidence-backed commercial controllability,Supplier must close usage_true_down before BAFO selection.,usage_true_down clause with evidence obligation and remedy.,No realized value without periodized Finance proof.,diagnosis_learning_only
skyharbor_global,NEC-LEARN-CTR-061-cloud_forecast_control,LEARN-CTR-061-cloud_forecast_control,CTR-061,scope,"Require cloud commitment forecast, tag quality, and overage approval controls.",cloud_forecast_control_response_field,Evidence-backed commercial controllability,Supplier must close cloud_forecast_control before BAFO selection.,cloud_forecast_control clause with evidence obligation and remedy.,No realized value without periodized Finance proof.,diagnosis_learning_only
skyharbor_global,NEC-LEARN-CTR-061-pricing_supersession,LEARN-CTR-061-pricing_supersession,CTR-061,pricing,Require explicit superseded/current pricing and amendment precedence.,pricing_supersession_response_field,Evidence-backed commercial controllability,Supplier must close pricing_supersession before BAFO selection.,pricing_supersession clause with evidence obligation and remedy.,No realized value without periodized Finance proof.,diagnosis_learning_only
skyharbor_global,NEC-LEARN-CTR-061-po_coverage,LEARN-CTR-061-po_coverage,CTR-061,scope,Require PO-to-contract coverage and exception approval evidence.,po_coverage_response_field,Evidence-backed commercial controllability,Supplier must close po_coverage before BAFO selection.,po_coverage clause with evidence obligation and remedy.,No realized value without periodized Finance proof.,diagnosis_learning_only
skyharbor_global,NEC-LEARN-CTR-061-finance_measurement,LEARN-CTR-061-finance_measurement,CTR-061,value,Lock Finance baseline and periodized realization method before selection.,finance_measurement_response_field,Evidence-backed commercial controllability,Supplier must close finance_measurement before BAFO selection.,finance_measurement clause with evidence obligation and remedy.,No realized value without periodized Finance proof.,diagnosis_learning_only
skyharbor_global,NEC-LEARN-CTR-061-exit_assistance,LEARN-CTR-061-exit_assistance,CTR-061,scope,"Require transition assistance, data portability, KT, and milestone acceptance.",exit_assistance_response_field,Evidence-backed commercial controllability,Supplier must close exit_assistance before BAFO selection.,exit_assistance clause with evidence obligation and remedy.,No realized value without periodized Finance proof.,diagnosis_learning_only
