template_id,name,category,phase,format,status,owner,last_updated,description
tpl:meridian:001,Clinical AI vendor RFP,Healthcare sourcing,P1,xlsx,active,person:meridian:linda-howard,2026-04-20,"Healthcare-specific sourcing template with BAA, HIPAA, FDA/AI, and clinical safety language."
tpl:meridian:002,EHR-adjacent SaaS RFP,Healthcare sourcing,P2,docx,active,person:meridian:linda-howard,2026-04-20,"Healthcare-specific sourcing template with BAA, HIPAA, FDA/AI, and clinical safety language."
tpl:meridian:003,Population health platform RFP,Healthcare sourcing,P3,md,active,person:meridian:linda-howard,2026-04-20,"Healthcare-specific sourcing template with BAA, HIPAA, FDA/AI, and clinical safety language."
tpl:meridian:004,Care management vendor RFP,Healthcare sourcing,P0,xlsx,active,person:meridian:linda-howard,2026-04-20,"Healthcare-specific sourcing template with BAA, HIPAA, FDA/AI, and clinical safety language."
tpl:meridian:005,Plan core-admin RFP,Healthcare sourcing,P1,docx,active,person:meridian:linda-howard,2026-04-20,"Healthcare-specific sourcing template with BAA, HIPAA, FDA/AI, and clinical safety language."
tpl:meridian:006,Medical device AI evaluation,Healthcare sourcing,P2,md,active,person:meridian:linda-howard,2026-04-20,"Healthcare-specific sourcing template with BAA, HIPAA, FDA/AI, and clinical safety language."
tpl:meridian:007,BAA AI addendum,Healthcare sourcing,P3,xlsx,active,person:meridian:linda-howard,2026-04-20,"Healthcare-specific sourcing template with BAA, HIPAA, FDA/AI, and clinical safety language."
tpl:meridian:008,Model risk vendor questionnaire,Healthcare sourcing,P0,docx,active,person:meridian:linda-howard,2026-04-20,"Healthcare-specific sourcing template with BAA, HIPAA, FDA/AI, and clinical safety language."
tpl:meridian:009,FDA SaMD checklist,Healthcare sourcing,P1,md,active,person:meridian:linda-howard,2026-04-20,"Healthcare-specific sourcing template with BAA, HIPAA, FDA/AI, and clinical safety language."
tpl:meridian:010,HIPAA security questionnaire,Healthcare sourcing,P2,xlsx,active,person:meridian:linda-howard,2026-04-20,"Healthcare-specific sourcing template with BAA, HIPAA, FDA/AI, and clinical safety language."
tpl:meridian:011,HEDIS vendor RFP,Healthcare sourcing,P3,docx,active,person:meridian:linda-howard,2026-04-20,"Healthcare-specific sourcing template with BAA, HIPAA, FDA/AI, and clinical safety language."
tpl:meridian:012,STAR quality vendor RFP,Healthcare sourcing,P0,md,active,person:meridian:linda-howard,2026-04-20,"Healthcare-specific sourcing template with BAA, HIPAA, FDA/AI, and clinical safety language."
tpl:meridian:013,Prior auth vendor scorecard,Healthcare sourcing,P1,xlsx,active,person:meridian:linda-howard,2026-04-20,"Healthcare-specific sourcing template with BAA, HIPAA, FDA/AI, and clinical safety language."
tpl:meridian:014,RCM automation RFP,Healthcare sourcing,P2,docx,active,person:meridian:linda-howard,2026-04-20,"Healthcare-specific sourcing template with BAA, HIPAA, FDA/AI, and clinical safety language."
tpl:meridian:015,Cloud BAA template,Healthcare sourcing,P3,md,active,person:meridian:linda-howard,2026-04-20,"Healthcare-specific sourcing template with BAA, HIPAA, FDA/AI, and clinical safety language."
tpl:meridian:016,Data residency addendum,Healthcare sourcing,P0,xlsx,active,person:meridian:linda-howard,2026-04-20,"Healthcare-specific sourcing template with BAA, HIPAA, FDA/AI, and clinical safety language."
tpl:meridian:017,PHI retention addendum,Healthcare sourcing,P1,docx,active,person:meridian:linda-howard,2026-04-20,"Healthcare-specific sourcing template with BAA, HIPAA, FDA/AI, and clinical safety language."
tpl:meridian:018,Interoperability checklist,Healthcare sourcing,P2,md,active,person:meridian:linda-howard,2026-04-20,"Healthcare-specific sourcing template with BAA, HIPAA, FDA/AI, and clinical safety language."
tpl:meridian:019,Info blocking checklist,Healthcare sourcing,P3,xlsx,active,person:meridian:linda-howard,2026-04-20,"Healthcare-specific sourcing template with BAA, HIPAA, FDA/AI, and clinical safety language."
tpl:meridian:020,Clinical change readiness checklist,Healthcare sourcing,P0,docx,active,person:meridian:linda-howard,2026-04-20,"Healthcare-specific sourcing template with BAA, HIPAA, FDA/AI, and clinical safety language."
tpl:meridian:021,Cyber review packet,Healthcare sourcing,P1,md,active,person:meridian:linda-howard,2026-04-20,"Healthcare-specific sourcing template with BAA, HIPAA, FDA/AI, and clinical safety language."
tpl:meridian:022,Exit assistance schedule,Healthcare sourcing,P2,xlsx,active,person:meridian:linda-howard,2026-04-20,"Healthcare-specific sourcing template with BAA, HIPAA, FDA/AI, and clinical safety language."
