risk_id,initiative_id,risk_type,severity,control_status,owner_role,mitigation,evidence_id
SHA-RISK-001-1,SHA-INIT-001,model_governance,high,approved,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0001
SHA-RISK-001-2,SHA-INIT-001,privacy_consent,medium,conditional,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0002
SHA-RISK-001-3,SHA-INIT-001,safety_operational,low,review_required,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0003
SHA-RISK-001-4,SHA-INIT-001,vendor_contract,high,blocked,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0004
SHA-RISK-001-5,SHA-INIT-001,data_quality,medium,approved,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0005
SHA-RISK-002-1,SHA-INIT-002,model_governance,medium,conditional,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0002
SHA-RISK-002-2,SHA-INIT-002,privacy_consent,low,review_required,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0003
SHA-RISK-002-3,SHA-INIT-002,safety_operational,high,blocked,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0004
SHA-RISK-002-4,SHA-INIT-002,vendor_contract,medium,approved,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0005
SHA-RISK-002-5,SHA-INIT-002,data_quality,low,conditional,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0006
SHA-RISK-003-1,SHA-INIT-003,model_governance,low,review_required,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0003
SHA-RISK-003-2,SHA-INIT-003,privacy_consent,high,blocked,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0004
SHA-RISK-003-3,SHA-INIT-003,safety_operational,medium,approved,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0005
SHA-RISK-003-4,SHA-INIT-003,vendor_contract,low,conditional,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0006
SHA-RISK-003-5,SHA-INIT-003,data_quality,high,review_required,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0007
SHA-RISK-004-1,SHA-INIT-004,model_governance,high,blocked,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0004
SHA-RISK-004-2,SHA-INIT-004,privacy_consent,medium,approved,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0005
SHA-RISK-004-3,SHA-INIT-004,safety_operational,low,conditional,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0006
SHA-RISK-004-4,SHA-INIT-004,vendor_contract,high,review_required,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0007
SHA-RISK-004-5,SHA-INIT-004,data_quality,medium,blocked,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0008
SHA-RISK-005-1,SHA-INIT-005,model_governance,medium,approved,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0005
SHA-RISK-005-2,SHA-INIT-005,privacy_consent,low,conditional,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0006
SHA-RISK-005-3,SHA-INIT-005,safety_operational,high,review_required,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0007
SHA-RISK-005-4,SHA-INIT-005,vendor_contract,medium,blocked,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0008
SHA-RISK-005-5,SHA-INIT-005,data_quality,low,approved,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0001
SHA-RISK-006-1,SHA-INIT-006,model_governance,low,conditional,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0006
SHA-RISK-006-2,SHA-INIT-006,privacy_consent,high,review_required,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0007
SHA-RISK-006-3,SHA-INIT-006,safety_operational,medium,blocked,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0008
SHA-RISK-006-4,SHA-INIT-006,vendor_contract,low,approved,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0001
SHA-RISK-006-5,SHA-INIT-006,data_quality,high,conditional,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0002
SHA-RISK-007-1,SHA-INIT-007,model_governance,high,review_required,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0007
SHA-RISK-007-2,SHA-INIT-007,privacy_consent,medium,blocked,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0008
SHA-RISK-007-3,SHA-INIT-007,safety_operational,low,approved,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0001
SHA-RISK-007-4,SHA-INIT-007,vendor_contract,high,conditional,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0002
SHA-RISK-007-5,SHA-INIT-007,data_quality,medium,review_required,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0003
SHA-RISK-008-1,SHA-INIT-008,model_governance,medium,blocked,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0008
SHA-RISK-008-2,SHA-INIT-008,privacy_consent,low,approved,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0001
SHA-RISK-008-3,SHA-INIT-008,safety_operational,high,conditional,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0002
SHA-RISK-008-4,SHA-INIT-008,vendor_contract,medium,review_required,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0003
SHA-RISK-008-5,SHA-INIT-008,data_quality,low,blocked,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0004
SHA-RISK-009-1,SHA-INIT-009,model_governance,low,approved,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0001
SHA-RISK-009-2,SHA-INIT-009,privacy_consent,high,conditional,Chief Legal Officer,"Mitigation required for privacy_consent: evidence, owner, and approval before scale",EVID-SHA-0002
SHA-RISK-009-3,SHA-INIT-009,safety_operational,medium,review_required,Chief Safety Officer,"Mitigation required for safety_operational: evidence, owner, and approval before scale",EVID-SHA-0003
SHA-RISK-009-4,SHA-INIT-009,vendor_contract,low,blocked,CDAO,"Mitigation required for vendor_contract: evidence, owner, and approval before scale",EVID-SHA-0004
SHA-RISK-009-5,SHA-INIT-009,data_quality,high,approved,AI Governance Lead,"Mitigation required for data_quality: evidence, owner, and approval before scale",EVID-SHA-0005
SHA-RISK-010-1,SHA-INIT-010,model_governance,high,conditional,CISO,"Mitigation required for model_governance: evidence, owner, and approval before scale",EVID-SHA-0002
