spend_id,initiative_id,vendor_or_internal,spend_category,fy26_budget_usd,actual_ytd_usd,renewal_or_gate_date,unit_economics,notes
SHA-SPEND-001-1,SHA-INIT-001,internal,labor,900000,420000,2026-01-28,FTE-month,Spend line for IROPS Agentic Recovery Cockpit
SHA-SPEND-001-2,SHA-INIT-001,AWS,vendor_license,1800000,840000,2026-02-28,seat/month,Spend line for IROPS Agentic Recovery Cockpit
SHA-SPEND-001-3,SHA-INIT-001,Teradata,cloud_infra,2700000,1260000,2026-03-28,compute-hour,Spend line for IROPS Agentic Recovery Cockpit
SHA-SPEND-001-4,SHA-INIT-001,SAS,si_services,3600000,1680000,2026-04-28,SOW milestone,Spend line for IROPS Agentic Recovery Cockpit
SHA-SPEND-002-1,SHA-INIT-002,internal,labor,1075000,515000,2026-02-28,FTE-month,Spend line for Delta-style Digital Concierge
SHA-SPEND-002-2,SHA-INIT-002,Teradata,vendor_license,2150000,1030000,2026-03-28,seat/month,Spend line for Delta-style Digital Concierge
SHA-SPEND-002-3,SHA-INIT-002,SAS,cloud_infra,3225000,1545000,2026-04-28,compute-hour,Spend line for Delta-style Digital Concierge
SHA-SPEND-002-4,SHA-INIT-002,SAP,si_services,4300000,2060000,2026-05-28,SOW milestone,Spend line for Delta-style Digital Concierge
SHA-SPEND-003-1,SHA-INIT-003,internal,labor,1250000,610000,2026-03-28,FTE-month,Spend line for Enterprise CDP Selection and Identity Graph
SHA-SPEND-003-2,SHA-INIT-003,SAS,vendor_license,2500000,1220000,2026-04-28,seat/month,Spend line for Enterprise CDP Selection and Identity Graph
SHA-SPEND-003-3,SHA-INIT-003,SAP,cloud_infra,3750000,1830000,2026-05-28,compute-hour,Spend line for Enterprise CDP Selection and Identity Graph
SHA-SPEND-003-4,SHA-INIT-003,Salesforce,si_services,5000000,2440000,2026-06-28,SOW milestone,Spend line for Enterprise CDP Selection and Identity Graph
SHA-SPEND-004-1,SHA-INIT-004,internal,labor,1425000,705000,2026-04-28,FTE-month,Spend line for Mainframe API and Event Bridge
SHA-SPEND-004-2,SHA-INIT-004,SAP,vendor_license,2850000,1410000,2026-05-28,seat/month,Spend line for Mainframe API and Event Bridge
SHA-SPEND-004-3,SHA-INIT-004,Salesforce,cloud_infra,4275000,2115000,2026-06-28,compute-hour,Spend line for Mainframe API and Event Bridge
SHA-SPEND-004-4,SHA-INIT-004,Adobe,si_services,5700000,2820000,2026-07-28,SOW milestone,Spend line for Mainframe API and Event Bridge
SHA-SPEND-005-1,SHA-INIT-005,internal,labor,1600000,800000,2026-05-28,FTE-month,Spend line for Teradata Vantage Workload Rationalization
SHA-SPEND-005-2,SHA-INIT-005,Salesforce,vendor_license,3200000,1600000,2026-06-28,seat/month,Spend line for Teradata Vantage Workload Rationalization
SHA-SPEND-005-3,SHA-INIT-005,Adobe,cloud_infra,4800000,2400000,2026-07-28,compute-hour,Spend line for Teradata Vantage Workload Rationalization
SHA-SPEND-005-4,SHA-INIT-005,ServiceNow,si_services,6400000,3200000,2026-08-28,SOW milestone,Spend line for Teradata Vantage Workload Rationalization
SHA-SPEND-006-1,SHA-INIT-006,internal,labor,1775000,895000,2026-06-28,FTE-month,Spend line for Crew Recovery Optimization
SHA-SPEND-006-2,SHA-INIT-006,Adobe,vendor_license,3550000,1790000,2026-07-28,seat/month,Spend line for Crew Recovery Optimization
SHA-SPEND-006-3,SHA-INIT-006,ServiceNow,cloud_infra,5325000,2685000,2026-08-28,compute-hour,Spend line for Crew Recovery Optimization
SHA-SPEND-006-4,SHA-INIT-006,Informatica,si_services,7100000,3580000,2026-09-28,SOW milestone,Spend line for Crew Recovery Optimization
SHA-SPEND-007-1,SHA-INIT-007,internal,labor,1950000,990000,2026-07-28,FTE-month,Spend line for Baggage Exception Prediction
SHA-SPEND-007-2,SHA-INIT-007,ServiceNow,vendor_license,3900000,1980000,2026-08-28,seat/month,Spend line for Baggage Exception Prediction
SHA-SPEND-007-3,SHA-INIT-007,Informatica,cloud_infra,5850000,2970000,2026-09-28,compute-hour,Spend line for Baggage Exception Prediction
SHA-SPEND-007-4,SHA-INIT-007,Tableau,si_services,7800000,3960000,2026-10-28,SOW milestone,Spend line for Baggage Exception Prediction
SHA-SPEND-008-1,SHA-INIT-008,internal,labor,2125000,1085000,2026-08-28,FTE-month,Spend line for MRO Predictive Maintenance Agent
SHA-SPEND-008-2,SHA-INIT-008,Informatica,vendor_license,4250000,2170000,2026-09-28,seat/month,Spend line for MRO Predictive Maintenance Agent
SHA-SPEND-008-3,SHA-INIT-008,Tableau,cloud_infra,6375000,3255000,2026-10-28,compute-hour,Spend line for MRO Predictive Maintenance Agent
