vendor_id,vendor_name,category,owned_by,annual_contract_value_usd,renewal_date,criticality,license_or_unit_basis,commercial_risk,evidence_id
FC-VEN-001,FIS,cards_payments,Treasurer,16300000,2026-07-06,low,enterprise subscription,normal,FC-EVID-028
FC-VEN-002,Fiserv,core_platform,Chief Financial Officer,21200000,2026-04-15,high,per user / per seat,normal,FC-EVID-009
FC-VEN-003,Temenos,cards_payments,Chief Risk Officer,6500000,2026-12-13,high,consumption / usage,normal,FC-EVID-002
FC-VEN-004,Thought Machine,channels_crm,Head of Consumer Banking,17500000,2026-12-23,high,enterprise subscription,normal,FC-EVID-023
FC-VEN-005,TSYS,channels_crm,Head of Cards & Payments,26200000,2026-05-02,high,consumption / usage,normal,FC-EVID-026
FC-VEN-006,Mastercard,risk_aml_ai,Chief Risk Officer,2200000,2026-07-23,low,enterprise subscription,normal,FC-EVID-012
FC-VEN-007,Visa DPS,finance_erp,Head of Commercial Banking,9000000,2026-11-02,high,consumption / usage,normal,FC-EVID-007
FC-VEN-008,Marqeta,finance_erp,Head of Wealth Management,18300000,2026-09-06,low,per transaction,concentration risk,FC-EVID-017
FC-VEN-009,ACI Worldwide,data_ai_platform,Head of Commercial Banking,24300000,2026-02-26,medium,per user / per seat,normal,FC-EVID-029
FC-VEN-010,Volante,finance_erp,Chief Risk Officer,12800000,2026-02-02,high,consumption / usage,auto-renew exposure,FC-EVID-019
FC-VEN-011,NICE Actimize,cards_payments,Head of Commercial Banking,19600000,2026-07-22,high,enterprise subscription,normal,FC-EVID-025
FC-VEN-012,SAS,infra_security,Head of Consumer Banking,19300000,2026-11-24,high,enterprise subscription,normal,FC-EVID-017
FC-VEN-013,Feedzai,infra_security,Treasurer,13300000,2026-06-04,high,enterprise subscription,normal,FC-EVID-039
FC-VEN-014,Featurespace,channels_crm,Head of Consumer Banking,15700000,2026-04-20,high,per user / per seat,renewal before evidence gate,FC-EVID-029
FC-VEN-015,Moody's,finance_erp,Head of Wealth Management,2300000,2026-01-19,medium,per user / per seat,normal,FC-EVID-028
FC-VEN-016,Numerix,data_ai_platform,Head of Commercial Banking,10900000,2026-05-23,low,consumption / usage,normal,FC-EVID-034
FC-VEN-017,Murex,channels_crm,Treasurer,7200000,2026-12-10,high,per user / per seat,normal,FC-EVID-039
FC-VEN-018,Calypso,data_ai_platform,Chief Financial Officer,27800000,2026-07-16,low,consumption / usage,normal,FC-EVID-016
FC-VEN-019,Kyriba,infra_security,Head of Cards & Payments,19800000,2026-09-22,high,consumption / usage,auto-renew exposure,FC-EVID-022
FC-VEN-020,Salesforce,cards_payments,Head of Wealth Management,2100000,2026-09-13,low,consumption / usage,normal,FC-EVID-036
FC-VEN-021,Microsoft,risk_aml_ai,Head of Wealth Management,17800000,2026-10-23,high,consumption / usage,normal,FC-EVID-012
FC-VEN-022,Pega,core_platform,Head of Wealth Management,11400000,2026-08-01,low,consumption / usage,normal,FC-EVID-017
FC-VEN-023,Backbase,data_ai_platform,Head of Consumer Banking,11000000,2026-02-20,low,consumption / usage,normal,FC-EVID-015
FC-VEN-024,Databricks,risk_aml_ai,Chief Financial Officer,12300000,2026-05-11,high,enterprise subscription,normal,FC-EVID-035
FC-VEN-025,Snowflake,core_platform,Head of Consumer Banking,300000,2026-08-15,low,consumption / usage,normal,FC-EVID-024
FC-VEN-026,Collibra,risk_aml_ai,Head of Consumer Banking,21700000,2026-08-16,medium,enterprise subscription,normal,FC-EVID-009
FC-VEN-027,dbt Labs,channels_crm,Treasurer,27300000,2026-05-25,low,per transaction,normal,FC-EVID-029
FC-VEN-028,Addepar,data_ai_platform,Chief Financial Officer,6900000,2026-04-15,high,consumption / usage,normal,FC-EVID-040
FC-VEN-029,BlackRock,data_ai_platform,Treasurer,25400000,2026-11-20,high,per transaction,normal,FC-EVID-013
FC-VEN-030,Envestnet,finance_erp,Head of Consumer Banking,15100000,2026-01-19,low,per transaction,normal,FC-EVID-012
FC-VEN-031,Charles River,finance_erp,Head of Cards & Payments,11600000,2026-08-03,low,consumption / usage,normal,FC-EVID-036
FC-VEN-032,nCino,finance_erp,Head of Wealth Management,15900000,2026-08-04,high,enterprise subscription,normal,FC-EVID-004
FC-VEN-033,Blend,risk_aml_ai,Chief Risk Officer,20000000,2026-12-15,low,enterprise subscription,normal,FC-EVID-021
FC-VEN-034,Q2,infra_security,Head of Consumer Banking,4200000,2026-03-24,high,per user / per seat,concentration risk,FC-EVID-032
FC-VEN-035,Alkami,finance_erp,Chief Risk Officer,1900000,2026-09-13,high,enterprise subscription,normal,FC-EVID-032
FC-VEN-036,SAP,finance_erp,Head of Wealth Management,26700000,2026-11-18,high,enterprise subscription,normal,FC-EVID-007
FC-VEN-037,Oracle,finance_erp,Treasurer,4600000,2026-03-18,low,per user / per seat,normal,FC-EVID-028
FC-VEN-038,Workday,core_platform,Head of Consumer Banking,16500000,2026-01-14,high,per transaction,normal,FC-EVID-002
FC-VEN-039,BlackLine,infra_security,Chief Financial Officer,13300000,2026-05-13,high,consumption / usage,normal,FC-EVID-007
FC-VEN-040,ServiceNow,data_ai_platform,Treasurer,13300000,2026-10-27,high,consumption / usage,normal,FC-EVID-012
FC-VEN-041,Datadog,data_ai_platform,Treasurer,12800000,2026-06-17,medium,per transaction,normal,FC-EVID-017
FC-VEN-042,Splunk,channels_crm,Head of Cards & Payments,22300000,2026-03-25,high,consumption / usage,normal,FC-EVID-016
FC-VEN-043,PagerDuty,infra_security,Head of Cards & Payments,9300000,2026-07-14,medium,enterprise subscription,price escalation,FC-EVID-017
FC-VEN-044,CrowdStrike,data_ai_platform,Treasurer,3900000,2026-01-11,low,per user / per seat,normal,FC-EVID-034
FC-VEN-045,Genesys,infra_security,Head of Cards & Payments,18400000,2026-05-28,high,enterprise subscription,price escalation,FC-EVID-018
FC-VEN-046,Nuance,finance_erp,Head of Consumer Banking,12000000,2026-05-27,low,enterprise subscription,normal,FC-EVID-017
FC-VEN-047,OpenAI,cards_payments,Head of Consumer Banking,27200000,2026-10-21,low,enterprise subscription,normal,FC-EVID-039
FC-VEN-048,Anthropic,channels_crm,Chief Financial Officer,6600000,2026-07-28,medium,enterprise subscription,normal,FC-EVID-038
FC-VEN-049,AWS,data_ai_platform,Head of Commercial Banking,14400000,2026-07-04,high,per transaction,normal,FC-EVID-025
FC-VEN-050,GitHub,finance_erp,Head of Consumer Banking,4100000,2026-08-27,low,per transaction,normal,FC-EVID-016
FC-VEN-051,FIS (Module 2),cards_payments,Treasurer,21800000,2026-09-22,high,consumption / usage,normal,FC-EVID-011
FC-VEN-052,Fiserv (BU 2),channels_crm,Head of Cards & Payments,11000000,2026-12-01,high,per transaction,concentration risk,FC-EVID-006
FC-VEN-053,Temenos (Region 2),channels_crm,Treasurer,11400000,2026-11-01,medium,enterprise subscription,normal,FC-EVID-015
FC-VEN-054,Thought Machine (Region 2),data_ai_platform,Head of Consumer Banking,27100000,2026-03-22,high,per transaction,price escalation,FC-EVID-001
FC-VEN-055,TSYS (Module 2),cards_payments,Head of Consumer Banking,15000000,2026-07-20,high,per user / per seat,normal,FC-EVID-011
FC-VEN-056,Mastercard (Module 2),cards_payments,Chief Risk Officer,10100000,2026-03-01,high,per transaction,normal,FC-EVID-027
FC-VEN-057,Visa DPS (BU 2),core_platform,Treasurer,15200000,2026-07-03,high,per transaction,normal,FC-EVID-017
FC-VEN-058,Marqeta (Module 2),cards_payments,Chief Risk Officer,4200000,2026-07-05,medium,per transaction,normal,FC-EVID-006
