tenant_key,initiative_id,metric_basis,value_basis,promised_benefit_usd,measured_value_usd,unrealized_or_blocked_value_usd,confidence,evidence_status,measurement_method,finance_attested,evidence_id,amount_type,view,is_rollup_of,basis,period,formula,formula_version,source_file,source_row,value_source,notes
first-capital-financial,FC-AI-001,projected:cost_takeout,,47000000,0,47000000,low,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,2,tenant_file,
first-capital-financial,FC-AI-001,observed:cycle_time,,47000000,0,47000000,low,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,3,tenant_file,
first-capital-financial,FC-AI-001,validated:loss_avoidance,,47000000,0,47000000,medium,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,4,tenant_file,
first-capital-financial,FC-AI-002,projected:cost_takeout,,12000000,0,12000000,high,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,5,tenant_file,
first-capital-financial,FC-AI-002,observed:cycle_time,,12000000,0,12000000,high,source_backed,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,6,tenant_file,
first-capital-financial,FC-AI-002,validated:loss_avoidance,,12000000,0,12000000,high,source_backed,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,7,tenant_file,
first-capital-financial,FC-AI-003,projected:cost_takeout,,38000000,0,38000000,high,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,8,tenant_file,
first-capital-financial,FC-AI-003,observed:cycle_time,,38000000,0,38000000,high,source_backed,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,9,tenant_file,
first-capital-financial,FC-AI-003,validated:loss_avoidance,,38000000,0,38000000,high,source_backed,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,10,tenant_file,
first-capital-financial,FC-AI-004,projected:cost_takeout,,41000000,0,41000000,medium,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,11,tenant_file,
first-capital-financial,FC-AI-004,observed:cycle_time,,41000000,0,41000000,medium,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,12,tenant_file,
first-capital-financial,FC-AI-004,validated:loss_avoidance,,41000000,0,41000000,medium,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,13,tenant_file,
first-capital-financial,FC-AI-005,projected:cost_takeout,,27000000,0,27000000,high,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,14,tenant_file,
first-capital-financial,FC-AI-005,observed:cycle_time,,27000000,0,27000000,high,source_backed,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,15,tenant_file,
first-capital-financial,FC-AI-005,validated:loss_avoidance,,27000000,0,27000000,high,source_backed,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,16,tenant_file,
first-capital-financial,FC-AI-006,projected:cost_takeout,,30000000,0,30000000,high,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,17,tenant_file,
first-capital-financial,FC-AI-006,observed:cycle_time,,30000000,0,30000000,high,source_backed,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,18,tenant_file,
first-capital-financial,FC-AI-006,validated:loss_avoidance,,30000000,0,30000000,high,source_backed,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,19,tenant_file,
first-capital-financial,FC-AI-007,projected:cost_takeout,,17000000,0,17000000,medium,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,20,tenant_file,
first-capital-financial,FC-AI-007,observed:cycle_time,,17000000,96687,16903313,medium,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,21,tenant_file,
first-capital-financial,FC-AI-007,validated:loss_avoidance,,17000000,58012,16941988,medium,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,22,tenant_file,
first-capital-financial,FC-AI-008,projected:cost_takeout,,37000000,0,37000000,medium,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,23,tenant_file,
first-capital-financial,FC-AI-008,observed:cycle_time,,37000000,1208161,35791839,medium,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,24,tenant_file,
first-capital-financial,FC-AI-008,validated:loss_avoidance,,37000000,724897,36275103,medium,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,25,tenant_file,
first-capital-financial,FC-AI-009,projected:cost_takeout,,11000000,0,11000000,high,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,26,tenant_file,
first-capital-financial,FC-AI-009,observed:cycle_time,,11000000,416844,10583156,high,source_backed,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,27,tenant_file,
first-capital-financial,FC-AI-009,validated:loss_avoidance,,11000000,416844,10583156,high,source_backed,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,28,tenant_file,
first-capital-financial,FC-AI-010,projected:cost_takeout,,26000000,0,26000000,low,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,29,tenant_file,
first-capital-financial,FC-AI-010,observed:cycle_time,,26000000,166217,25833783,low,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,30,tenant_file,
first-capital-financial,FC-AI-010,validated:loss_avoidance,,26000000,99730,25900270,medium,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,31,tenant_file,
first-capital-financial,FC-AI-011,projected:cost_takeout,,43000000,0,43000000,medium,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,32,tenant_file,
first-capital-financial,FC-AI-011,observed:cycle_time,,43000000,2158702,40841298,medium,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,33,tenant_file,
first-capital-financial,FC-AI-011,validated:loss_avoidance,,43000000,1295221,41704779,medium,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,34,tenant_file,
first-capital-financial,FC-AI-012,projected:cost_takeout,,14000000,0,14000000,medium,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,35,tenant_file,
first-capital-financial,FC-AI-012,observed:cycle_time,,14000000,500324,13499676,medium,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,36,tenant_file,
first-capital-financial,FC-AI-012,validated:loss_avoidance,,14000000,300194,13699806,medium,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,37,tenant_file,
first-capital-financial,FC-AI-013,projected:cost_takeout,,44000000,0,44000000,medium,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,38,tenant_file,
first-capital-financial,FC-AI-013,observed:cycle_time,,44000000,1841337,42158663,medium,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,39,tenant_file,
first-capital-financial,FC-AI-013,validated:loss_avoidance,,44000000,1104802,42895198,medium,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,40,tenant_file,
first-capital-financial,FC-AI-014,projected:cost_takeout,,34000000,0,34000000,high,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,41,tenant_file,
first-capital-financial,FC-AI-014,observed:cycle_time,,34000000,3637080,30362920,high,source_backed,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,42,tenant_file,
first-capital-financial,FC-AI-014,validated:loss_avoidance,,34000000,3637080,30362920,high,source_backed,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,43,tenant_file,
first-capital-financial,FC-AI-015,projected:cost_takeout,,18000000,0,18000000,medium,review_required,,,,none,value,,actual,ytd,,tower_standardized_v1,ai-control-tower/T07_benefit-realization.csv,44,tenant_file,
