action_id,action_title,priority,derived_from,decision_owner,next_decision_date,expected_impact_usd,source_file,source_row,value_source
FC-AI-001-ACT,Sunset Real-time scam & APP fraud detection and reallocate budget,P0,FC-AI-001;FC-EVID-001,Chief Risk Officer,2026-07-13,47000000,ai-control-tower/T12_derived-actions.csv,2,tenant_file
FC-AI-003-ACT,Approve monitored scale of SAR narrative drafting copilot,P1,FC-AI-003;FC-EVID-003,BSA/AML Officer,2026-07-17,38000000,ai-control-tower/T12_derived-actions.csv,3,tenant_file
FC-AI-004-ACT,Re-baseline Contact center next-best-action assist to a single high-value workflow,P0,FC-AI-004;FC-EVID-004,Head of Customer Experience,2026-07-06,41000000,ai-control-tower/T12_derived-actions.csv,4,tenant_file
FC-AI-005-ACT,Approve monitored scale of Commercial credit spreading automation,P1,FC-AI-005;FC-EVID-005,Head of Commercial Banking,2026-07-07,27000000,ai-control-tower/T12_derived-actions.csv,5,tenant_file
FC-AI-007-ACT,Reclassify Certified semantic layer for KPIs; reported value not reproducible,P0,FC-AI-007;FC-EVID-007,Chief Data & Analytics Officer,2026-07-03,16903313,ai-control-tower/T12_derived-actions.csv,6,tenant_file
FC-AI-010-ACT,Sunset Cards dispute & chargeback automation and reallocate budget,P0,FC-AI-010;FC-EVID-010,Head of Cards & Payments,2026-07-15,25833783,ai-control-tower/T12_derived-actions.csv,7,tenant_file
FC-AI-013-ACT,Re-baseline Credit risk model SR 11-7 evidence automation to a single high-value workflow,P0,FC-AI-013;FC-EVID-013,Chief Risk Officer,2026-07-17,42158663,ai-control-tower/T12_derived-actions.csv,8,tenant_file
FC-AI-014-ACT,Approve monitored scale of KYC refresh & onboarding intelligence,P1,FC-AI-014;FC-EVID-014,BSA/AML Officer,2026-07-07,30362920,ai-control-tower/T12_derived-actions.csv,9,tenant_file
FC-AI-016-ACT,Reclassify Branch banker knowledge assist; reported value not reproducible,P0,FC-AI-016;FC-EVID-016,Head of Consumer Banking,2026-07-09,20571964,ai-control-tower/T12_derived-actions.csv,10,tenant_file
FC-AI-019-ACT,Sunset Complaint & fair-lending surveillance NLP and reallocate budget,P0,FC-AI-019;FC-EVID-019,Chief Compliance Officer,2026-07-18,19550298,ai-control-tower/T12_derived-actions.csv,11,tenant_file
FC-AI-022-ACT,Re-baseline Sanctions screening tuning to a single high-value workflow,P0,FC-AI-022;FC-EVID-022,BSA/AML Officer,2026-07-06,31048377,ai-control-tower/T12_derived-actions.csv,12,tenant_file
FC-AI-025-ACT,Reclassify Voice biometrics authentication; reported value not reproducible,P0,FC-AI-025;FC-EVID-025,Head of Customer Experience,2026-07-14,39285840,ai-control-tower/T12_derived-actions.csv,13,tenant_file
FC-AI-028-ACT,Sunset ESG & climate risk data automation and reallocate budget,P0,FC-AI-028;FC-EVID-028,Chief Risk Officer,2026-07-09,29856711,ai-control-tower/T12_derived-actions.csv,14,tenant_file
FC-AI-030-ACT,Approve monitored scale of Deposit pricing optimization,P1,FC-AI-030;FC-EVID-030,Head of Consumer Banking,2026-07-01,10922038,ai-control-tower/T12_derived-actions.csv,15,tenant_file
FC-AI-031-ACT,Re-baseline Synthetic data for model development to a single high-value workflow,P0,FC-AI-031;FC-EVID-031,Chief Data & Analytics Officer,2026-07-17,14637966,ai-control-tower/T12_derived-actions.csv,16,tenant_file
FC-AI-032-ACT,Approve monitored scale of Wire fraud interdiction,P1,FC-AI-032;FC-EVID-032,Chief Risk Officer,2026-07-23,19620164,ai-control-tower/T12_derived-actions.csv,17,tenant_file
FC-AI-033-ACT,Approve monitored scale of Mortgage underwriting decision support,P1,FC-AI-033;FC-EVID-033,Head of Consumer Banking,2026-07-01,18231897,ai-control-tower/T12_derived-actions.csv,18,tenant_file
FC-AI-034-ACT,Reclassify Vendor contract intelligence; reported value not reproducible,P0,FC-AI-034;FC-EVID-034,Chief Financial Officer,2026-07-11,20185115,ai-control-tower/T12_derived-actions.csv,19,tenant_file
FC-AI-035-ACT,Approve monitored scale of Branch staffing & demand forecasting,P1,FC-AI-035;FC-EVID-035,Head of Consumer Banking,2026-07-20,13265039,ai-control-tower/T12_derived-actions.csv,20,tenant_file
FC-AI-036-ACT,Approve monitored scale of IT incident root-cause copilot,P1,FC-AI-036;FC-EVID-036,Chief Information Officer,2026-07-05,6280756,ai-control-tower/T12_derived-actions.csv,21,tenant_file
FC-AI-037-ACT,Sunset Regulatory change interpretation assist and reallocate budget,P0,FC-AI-037;FC-EVID-037,Chief Compliance Officer,2026-07-02,32739112,ai-control-tower/T12_derived-actions.csv,22,tenant_file
FC-AI-038-ACT,Approve monitored scale of Small business cash-flow insights,P1,FC-AI-038;FC-EVID-038,Head of Commercial Banking,2026-07-19,8669150,ai-control-tower/T12_derived-actions.csv,23,tenant_file
FC-AI-039-ACT,Approve monitored scale of Anti-money-laundering network analytics,P1,FC-AI-039;FC-EVID-039,BSA/AML Officer,2026-07-25,3564820,ai-control-tower/T12_derived-actions.csv,24,tenant_file
FC-AI-040-ACT,Re-baseline Customer churn early-warning model to a single high-value workflow,P0,FC-AI-040;FC-EVID-040,Head of Consumer Banking,2026-07-05,46046371,ai-control-tower/T12_derived-actions.csv,25,tenant_file
