model_id,model_name,model_type,use_case,risk_tier,validation_status,pii_phi_financial_data,owner_role,source_file,source_row,value_source
FC-AI-001-MODEL,Real-time scam & APP fraud detection model/service,rules_plus_ml,Real-time scam & APP fraud detection,tier_1_high,in_progress,yes,Chief Risk Officer,ai-control-tower/T13_model-ai-inventory.csv,2,tenant_file
FC-AI-002-MODEL,AML alert triage & false-positive reduction model/service,predictive_ml,AML alert triage & false-positive reduction,tier_1_high,current,yes,BSA/AML Officer,ai-control-tower/T13_model-ai-inventory.csv,3,tenant_file
FC-AI-003-MODEL,SAR narrative drafting copilot model/service,rules_plus_ml,SAR narrative drafting copilot,tier_1_high,current,yes,BSA/AML Officer,ai-control-tower/T13_model-ai-inventory.csv,4,tenant_file
FC-AI-004-MODEL,Contact center next-best-action assist model/service,anomaly_detection,Contact center next-best-action assist,tier_2,overdue,limited,Head of Customer Experience,ai-control-tower/T13_model-ai-inventory.csv,5,tenant_file
FC-AI-005-MODEL,Commercial credit spreading automation model/service,predictive_ml,Commercial credit spreading automation,tier_3,current,yes,Head of Commercial Banking,ai-control-tower/T13_model-ai-inventory.csv,6,tenant_file
FC-AI-006-MODEL,Customer 360 lakehouse foundation model/service,generative_assist,Customer 360 lakehouse foundation,tier_2,current,yes,Chief Data & Analytics Officer,ai-control-tower/T13_model-ai-inventory.csv,7,tenant_file
FC-AI-007-MODEL,Certified semantic layer for KPIs model/service,LLM_workflow,Certified semantic layer for KPIs,tier_2,overdue,limited,Chief Data & Analytics Officer,ai-control-tower/T13_model-ai-inventory.csv,8,tenant_file
FC-AI-008-MODEL,Engineering code-assist productivity model/service,LLM_workflow,Engineering code-assist productivity,tier_2,overdue,yes,Chief Information Officer,ai-control-tower/T13_model-ai-inventory.csv,9,tenant_file
FC-AI-009-MODEL,Regulatory close & reconciliation automation model/service,generative_assist,Regulatory close & reconciliation automation,tier_3,current,yes,Chief Financial Officer,ai-control-tower/T13_model-ai-inventory.csv,10,tenant_file
FC-AI-010-MODEL,Cards dispute & chargeback automation model/service,rules_plus_ml,Cards dispute & chargeback automation,tier_1_high,overdue,limited,Head of Cards & Payments,ai-control-tower/T13_model-ai-inventory.csv,11,tenant_file
FC-AI-011-MODEL,Wealth advisor proposal generation model/service,generative_assist,Wealth advisor proposal generation,tier_2,overdue,limited,Head of Wealth Management,ai-control-tower/T13_model-ai-inventory.csv,12,tenant_file
FC-AI-012-MODEL,Payments exception repair automation model/service,generative_assist,Payments exception repair automation,tier_3,overdue,yes,Chief Operating Officer,ai-control-tower/T13_model-ai-inventory.csv,13,tenant_file
FC-AI-013-MODEL,Credit risk model SR 11-7 evidence automation model/service,anomaly_detection,Credit risk model SR 11-7 evidence automation,tier_1_high,overdue,yes,Chief Risk Officer,ai-control-tower/T13_model-ai-inventory.csv,14,tenant_file
FC-AI-014-MODEL,KYC refresh & onboarding intelligence model/service,predictive_ml,KYC refresh & onboarding intelligence,tier_1_high,current,yes,BSA/AML Officer,ai-control-tower/T13_model-ai-inventory.csv,15,tenant_file
FC-AI-015-MODEL,Collections prioritization optimization model/service,generative_assist,Collections prioritization optimization,tier_3,overdue,yes,Chief Operating Officer,ai-control-tower/T13_model-ai-inventory.csv,16,tenant_file
FC-AI-016-MODEL,Branch banker knowledge assist model/service,predictive_ml,Branch banker knowledge assist,tier_2,in_progress,limited,Head of Consumer Banking,ai-control-tower/T13_model-ai-inventory.csv,17,tenant_file
FC-AI-017-MODEL,Marketing personalization & retention model/service,LLM_workflow,Marketing personalization & retention,tier_2,in_progress,yes,Head of Consumer Banking,ai-control-tower/T13_model-ai-inventory.csv,18,tenant_file
FC-AI-018-MODEL,Treasury liquidity forecasting model/service,predictive_ml,Treasury liquidity forecasting,tier_3,overdue,limited,Treasurer,ai-control-tower/T13_model-ai-inventory.csv,19,tenant_file
FC-AI-019-MODEL,Complaint & fair-lending surveillance NLP model/service,anomaly_detection,Complaint & fair-lending surveillance NLP,tier_1_high,overdue,yes,Chief Compliance Officer,ai-control-tower/T13_model-ai-inventory.csv,20,tenant_file
FC-AI-020-MODEL,Mainframe code modernization assist model/service,generative_assist,Mainframe code modernization assist,tier_2,in_progress,limited,Chief Information Officer,ai-control-tower/T13_model-ai-inventory.csv,21,tenant_file
FC-AI-021-MODEL,Document intelligence for commercial onboarding model/service,predictive_ml,Document intelligence for commercial onboarding,tier_2,current,limited,Head of Commercial Banking,ai-control-tower/T13_model-ai-inventory.csv,22,tenant_file
FC-AI-022-MODEL,Sanctions screening tuning model/service,anomaly_detection,Sanctions screening tuning,tier_1_high,in_progress,yes,BSA/AML Officer,ai-control-tower/T13_model-ai-inventory.csv,23,tenant_file
FC-AI-023-MODEL,Statement & disclosure generation copilot model/service,generative_assist,Statement & disclosure generation copilot,tier_2,overdue,limited,Chief Operating Officer,ai-control-tower/T13_model-ai-inventory.csv,24,tenant_file
FC-AI-024-MODEL,Card rewards personalization model/service,LLM_workflow,Card rewards personalization,tier_2,overdue,yes,Head of Cards & Payments,ai-control-tower/T13_model-ai-inventory.csv,25,tenant_file
FC-AI-025-MODEL,Voice biometrics authentication model/service,generative_assist,Voice biometrics authentication,tier_2,overdue,limited,Head of Customer Experience,ai-control-tower/T13_model-ai-inventory.csv,26,tenant_file
FC-AI-026-MODEL,Trade surveillance anomaly detection model/service,anomaly_detection,Trade surveillance anomaly detection,tier_2,overdue,limited,Treasurer,ai-control-tower/T13_model-ai-inventory.csv,27,tenant_file
FC-AI-027-MODEL,Loan servicing virtual agent model/service,generative_assist,Loan servicing virtual agent,tier_2,overdue,limited,Chief Operating Officer,ai-control-tower/T13_model-ai-inventory.csv,28,tenant_file
FC-AI-028-MODEL,ESG & climate risk data automation model/service,predictive_ml,ESG & climate risk data automation,tier_1_high,overdue,yes,Chief Risk Officer,ai-control-tower/T13_model-ai-inventory.csv,29,tenant_file
FC-AI-029-MODEL,Enterprise search over policy & procedures model/service,anomaly_detection,Enterprise search over policy & procedures,tier_3,in_progress,limited,Chief Compliance Officer,ai-control-tower/T13_model-ai-inventory.csv,30,tenant_file
FC-AI-030-MODEL,Deposit pricing optimization model/service,generative_assist,Deposit pricing optimization,tier_2,current,limited,Head of Consumer Banking,ai-control-tower/T13_model-ai-inventory.csv,31,tenant_file
FC-AI-031-MODEL,Synthetic data for model development model/service,LLM_workflow,Synthetic data for model development,tier_2,current,yes,Chief Data & Analytics Officer,ai-control-tower/T13_model-ai-inventory.csv,32,tenant_file
FC-AI-032-MODEL,Wire fraud interdiction model/service,generative_assist,Wire fraud interdiction,tier_1_high,current,yes,Chief Risk Officer,ai-control-tower/T13_model-ai-inventory.csv,33,tenant_file
FC-AI-033-MODEL,Mortgage underwriting decision support model/service,generative_assist,Mortgage underwriting decision support,tier_2,current,limited,Head of Consumer Banking,ai-control-tower/T13_model-ai-inventory.csv,34,tenant_file
FC-AI-034-MODEL,Vendor contract intelligence model/service,LLM_workflow,Vendor contract intelligence,tier_3,current,yes,Chief Financial Officer,ai-control-tower/T13_model-ai-inventory.csv,35,tenant_file
FC-AI-035-MODEL,Branch staffing & demand forecasting model/service,predictive_ml,Branch staffing & demand forecasting,tier_2,current,yes,Head of Consumer Banking,ai-control-tower/T13_model-ai-inventory.csv,36,tenant_file
FC-AI-036-MODEL,IT incident root-cause copilot model/service,predictive_ml,IT incident root-cause copilot,tier_2,current,limited,Chief Information Officer,ai-control-tower/T13_model-ai-inventory.csv,37,tenant_file
