period,tool_name,vendor,business_function,licensed_users,active_users,active_rate_pct,monthly_prompts_or_actions,prompts_or_actions,estimated_hours_saved,quality_or_control_flag,source_file,source_row,cost_usd,policy_status,notes,value_source
2026-02,M365 Copilot,Microsoft,GEN-BF-006,614,232,38,4251,29928,158,needs_evidence_review,ai-control-tower/T03_tool-usage-monthly.csv,2,17394,approved,,tenant_file
2026-03,M365 Copilot,Microsoft,GEN-BF-002,614,285,46,4127,59565,204,normal,ai-control-tower/T03_tool-usage-monthly.csv,3,18763,approved,,tenant_file
2026-04,M365 Copilot,Microsoft,GEN-BF-001,614,307,50,10997,38989,325,needs_evidence_review,ai-control-tower/T03_tool-usage-monthly.csv,4,19079,approved,,tenant_file
2026-05,M365 Copilot,Microsoft,GEN-BF-001,614,377,61,12055,72007,322,normal,ai-control-tower/T03_tool-usage-monthly.csv,5,18237,approved,,tenant_file
2026-06,M365 Copilot,Microsoft,GEN-BF-005,614,466,76,17221,24232,271,normal,ai-control-tower/T03_tool-usage-monthly.csv,6,18553,approved,,tenant_file
2026-02,GitHub Copilot,GitHub,GEN-BF-002,4473,1627,36,53875,283098,1660,normal,ai-control-tower/T03_tool-usage-monthly.csv,7,167036,under_review,,tenant_file
2026-03,GitHub Copilot,GitHub,GEN-BF-002,4473,2087,47,84811,446618,2189,normal,ai-control-tower/T03_tool-usage-monthly.csv,8,179994,under_review,,tenant_file
2026-04,GitHub Copilot,GitHub,GEN-BF-001,4473,2402,54,97997,170542,2532,needs_evidence_review,ai-control-tower/T03_tool-usage-monthly.csv,9,173024,approved,,tenant_file
2026-05,GitHub Copilot,GitHub,GEN-BF-003,4473,2803,63,46886,249467,1849,normal,ai-control-tower/T03_tool-usage-monthly.csv,10,165048,approved,,tenant_file
2026-06,GitHub Copilot,GitHub,GEN-BF-008,4473,3227,72,135321,667989,3220,normal,ai-control-tower/T03_tool-usage-monthly.csv,11,178006,approved,,tenant_file
2026-02,AWS Bedrock / Claude,AWS,GEN-BF-002,4422,1453,33,41646,130770,940,normal,ai-control-tower/T03_tool-usage-monthly.csv,12,195719,approved,,tenant_file
2026-03,AWS Bedrock / Claude,AWS,GEN-BF-002,4422,2121,48,68942,345723,1559,normal,ai-control-tower/T03_tool-usage-monthly.csv,13,204816,approved,,tenant_file
2026-04,AWS Bedrock / Claude,AWS,GEN-BF-001,4422,2408,54,99222,370832,1848,normal,ai-control-tower/T03_tool-usage-monthly.csv,14,188889,approved,,tenant_file
2026-05,AWS Bedrock / Claude,AWS,GEN-BF-001,4422,2800,63,42134,408800,2111,normal,ai-control-tower/T03_tool-usage-monthly.csv,15,197987,approved,,tenant_file
2026-06,AWS Bedrock / Claude,AWS,GEN-BF-002,4422,3197,72,39454,617021,2507,needs_evidence_review,ai-control-tower/T03_tool-usage-monthly.csv,16,207085,approved,,tenant_file
2026-02,Azure OpenAI,Microsoft,GEN-BF-008,4154,1650,40,26703,244200,1792,normal,ai-control-tower/T03_tool-usage-monthly.csv,17,175759,approved,,tenant_file
2026-03,Azure OpenAI,Microsoft,GEN-BF-007,4154,2012,48,42205,152912,1129,needs_evidence_review,ai-control-tower/T03_tool-usage-monthly.csv,18,189644,under_review,,tenant_file
2026-04,Azure OpenAI,Microsoft,GEN-BF-008,4154,2401,58,59591,156065,1910,normal,ai-control-tower/T03_tool-usage-monthly.csv,19,182175,approved,,tenant_file
2026-05,Azure OpenAI,Microsoft,GEN-BF-002,4154,2446,59,98009,359562,1493,normal,ai-control-tower/T03_tool-usage-monthly.csv,20,196060,approved,,tenant_file
2026-06,Azure OpenAI,Microsoft,GEN-BF-005,4154,2959,71,41165,331408,3080,normal,ai-control-tower/T03_tool-usage-monthly.csv,21,187513,approved,,tenant_file
2026-02,Glean Enterprise Search,Glean,GEN-BF-001,7071,2743,39,111589,460824,1367,normal,ai-control-tower/T03_tool-usage-monthly.csv,22,276289,under_review,,tenant_file
2026-03,Glean Enterprise Search,Glean,GEN-BF-004,7071,3164,45,116558,300580,1912,normal,ai-control-tower/T03_tool-usage-monthly.csv,23,289221,approved,,tenant_file
2026-04,Glean Enterprise Search,Glean,GEN-BF-003,7071,3802,54,69831,661548,2155,needs_evidence_review,ai-control-tower/T03_tool-usage-monthly.csv,24,266582,approved,,tenant_file
2026-05,Glean Enterprise Search,Glean,GEN-BF-004,7071,4519,64,65635,393153,4112,normal,ai-control-tower/T03_tool-usage-monthly.csv,25,279514,under_review,,tenant_file
2026-06,Glean Enterprise Search,Glean,GEN-BF-007,7071,5229,74,101980,256221,4734,needs_evidence_review,ai-control-tower/T03_tool-usage-monthly.csv,26,292445,approved,,tenant_file
2026-02,NICE Actimize Copilot,NICE,GEN-BF-004,6087,2358,39,36926,233442,2697,normal,ai-control-tower/T03_tool-usage-monthly.csv,27,412273,approved,,tenant_file
2026-03,NICE Actimize Copilot,NICE,GEN-BF-004,6087,2782,46,91795,292110,1596,normal,ai-control-tower/T03_tool-usage-monthly.csv,28,394183,approved,,tenant_file
2026-04,NICE Actimize Copilot,NICE,GEN-BF-002,6087,3497,57,84962,587496,2620,normal,ai-control-tower/T03_tool-usage-monthly.csv,29,378373,approved,,tenant_file
2026-05,NICE Actimize Copilot,NICE,GEN-BF-005,6087,3757,62,109984,315588,2458,normal,ai-control-tower/T03_tool-usage-monthly.csv,30,407762,approved,,tenant_file
2026-06,NICE Actimize Copilot,NICE,GEN-BF-001,6087,4308,71,109559,633276,1819,normal,ai-control-tower/T03_tool-usage-monthly.csv,31,389673,approved,,tenant_file
