tenant_key,line_id,initiative_id,vendor_or_tool,spend_category,budget_fy26_usd,actual_ytd_usd,contract_value_usd,renewal_date,unit_economic_note,amount_type,view,is_rollup_of,basis,period,formula,formula_version,source_file,source_row,value_source,notes
first-capital-financial,FC-AI-001-2,FC-AI-001,GitHub,not_applicable,3800000,1206207,11400000,2026-10-14,Sunset; reallocate budget,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,2,tenant_file,
first-capital-financial,FC-AI-002-3,FC-AI-002,Databricks,not_applicable,4200000,2920633,4200000,2026-01-18,Scale only after evidence gate,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,3,tenant_file,
first-capital-financial,FC-AI-003-4,FC-AI-003,OpenAI,not_applicable,4500000,2529674,13500000,2026-11-20,Within portfolio threshold,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,4,tenant_file,
first-capital-financial,FC-AI-004-5,FC-AI-004,OpenAI,not_applicable,1900000,956973,5700000,2026-05-11,Scale only after evidence gate,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,5,tenant_file,
first-capital-financial,FC-AI-005-6,FC-AI-005,SAS,not_applicable,5300000,1704263,10600000,2026-07-03,Within portfolio threshold,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,6,tenant_file,
first-capital-financial,FC-AI-006-7,FC-AI-006,Feedzai,not_applicable,4100000,2169009,8200000,2026-07-02,Scale only after evidence gate,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,7,tenant_file,
first-capital-financial,FC-AI-007-8,FC-AI-007,GitHub,not_applicable,1700000,913545,3400000,2026-03-10,Scale only after evidence gate,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,8,tenant_file,
first-capital-financial,FC-AI-008-9,FC-AI-008,AWS Bedrock,not_applicable,2400000,1521969,7200000,2026-04-20,Scale only after evidence gate,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,9,tenant_file,
first-capital-financial,FC-AI-009-10,FC-AI-009,Microsoft Copilot,not_applicable,4500000,1972133,13500000,2026-07-08,Scale only after evidence gate,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,10,tenant_file,
first-capital-financial,FC-AI-010-11,FC-AI-010,AWS Bedrock,not_applicable,2400000,755457,2400000,2026-12-01,Sunset; reallocate budget,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,11,tenant_file,
first-capital-financial,FC-AI-011-12,FC-AI-011,SAS,not_applicable,2900000,1745222,5800000,2026-08-03,Scale only after evidence gate,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,12,tenant_file,
first-capital-financial,FC-AI-012-13,FC-AI-012,Anthropic,not_applicable,1200000,549066,2400000,2026-08-14,Scale only after evidence gate,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,13,tenant_file,
first-capital-financial,FC-AI-013-14,FC-AI-013,Databricks,not_applicable,5100000,2092235,10200000,2026-06-02,Scale only after evidence gate,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,14,tenant_file,
first-capital-financial,FC-AI-014-15,FC-AI-014,AWS Bedrock,not_applicable,3700000,1456676,11100000,2026-09-01,Within portfolio threshold,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,15,tenant_file,
first-capital-financial,FC-AI-015-16,FC-AI-015,Anthropic,not_applicable,2500000,1206279,7500000,2026-10-28,Scale only after evidence gate,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,16,tenant_file,
first-capital-financial,FC-AI-016-17,FC-AI-016,OpenAI,not_applicable,1100000,695538,2200000,2026-11-05,Scale only after evidence gate,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,17,tenant_file,
first-capital-financial,FC-AI-017-18,FC-AI-017,Microsoft Copilot,not_applicable,2800000,1438714,5600000,2026-02-07,Scale only after evidence gate,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,18,tenant_file,
first-capital-financial,FC-AI-018-19,FC-AI-018,GitHub,not_applicable,4800000,2426546,14400000,2026-10-13,Scale only after evidence gate,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,19,tenant_file,
first-capital-financial,FC-AI-019-20,FC-AI-019,Microsoft Copilot,not_applicable,1500000,549523,3000000,2026-06-11,Sunset; reallocate budget,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,20,tenant_file,
first-capital-financial,FC-AI-020-21,FC-AI-020,Microsoft Copilot,not_applicable,5400000,1796525,16200000,2026-02-25,Scale only after evidence gate,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,21,tenant_file,
first-capital-financial,FC-AI-021-22,FC-AI-021,SAS,not_applicable,5200000,2650626,10400000,2026-06-07,Scale only after evidence gate,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,22,tenant_file,
first-capital-financial,FC-AI-022-23,FC-AI-022,Databricks,not_applicable,5600000,3646169,11200000,2026-10-05,Scale only after evidence gate,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,23,tenant_file,
first-capital-financial,FC-AI-023-24,FC-AI-023,Microsoft Copilot,not_applicable,1700000,1140580,5100000,2026-06-20,Scale only after evidence gate,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,24,tenant_file,
first-capital-financial,FC-AI-024-25,FC-AI-024,AWS Bedrock,not_applicable,2900000,1185608,5800000,2026-12-20,Scale only after evidence gate,none,initiative_budget,,committed,fy26,,tower_standardized_v1,ai-control-tower/T08_spend-contracts.csv,25,tenant_file,
