tenant_key,record_id,entity_id,business_name,context_item,dimension,evidence_id,active_candidate_status,confidence,source_type,source_basis,synthetic_data_flag,evidence_boundary,module_usage_notes,evidence_type,evidence_location,evidence_owner
first-capital,FCF-V3-0001,FCF-BANK,Fraud copilot readiness synthetic evidence bundle,Fraud copilot readiness synthetic evidence bundle,13_evidence_sources,FCF-V3-EVID-0240,active,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/first-capital-financial-v3-v7-context-v1,AbarVa synthetic data steward
first-capital,FCF-V3-0002,FCF-BANK,AML/KYC operations assist synthetic evidence bundle,AML/KYC operations assist synthetic evidence bundle,13_evidence_sources,FCF-V3-EVID-0241,active,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/first-capital-financial-v3-v7-context-v1,AbarVa synthetic data steward
first-capital,FCF-V3-0003,FCF-BANK,Contact center banker assist synthetic evidence bundle,Contact center banker assist synthetic evidence bundle,13_evidence_sources,FCF-V3-EVID-0242,active,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/first-capital-financial-v3-v7-context-v1,AbarVa synthetic data steward
first-capital,FCF-V3-0004,FCF-BANK,Regulatory reporting modernization synthetic evidence bundle,Regulatory reporting modernization synthetic evidence bundle,13_evidence_sources,FCF-V3-EVID-0243,active,medium,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/first-capital-financial-v3-v7-context-v1,AbarVa synthetic data steward
first-capital,FCF-V3-0005,FCF-BANK,Customer 360 and identity resolution synthetic evidence bundle,Customer 360 and identity resolution synthetic evidence bundle,13_evidence_sources,FCF-V3-EVID-0244,candidate,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/first-capital-financial-v3-v7-context-v1,AbarVa synthetic data steward
first-capital,FCF-V3-0006,FCF-BANK,Loan operations automation synthetic evidence bundle,Loan operations automation synthetic evidence bundle,13_evidence_sources,FCF-V3-EVID-0245,active,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/first-capital-financial-v3-v7-context-v1,AbarVa synthetic data steward
first-capital,FCF-V3-0007,FCF-BANK,Vendor and contract optimization synthetic evidence bundle,Vendor and contract optimization synthetic evidence bundle,13_evidence_sources,FCF-V3-EVID-0246,active,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,synthetic_context_bundle,datasets/first-capital-financial-v3-v7-context-v1,AbarVa synthetic data steward
first-capital,FCF-V3-0030,FCF-BANK,"Boundary: Synthetic planning-grade banking context; not real customer, account, transaction, fraud, AML, KYC, or regulatory-reporting data.","Boundary: Synthetic planning-grade banking context; not real customer, account, transaction, fraud, AML, KYC, or regulatory-reporting data.",13_evidence_sources,FCF-V3-EVID-0280,candidate,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,claim_boundary,tenant_generation_manifest,AbarVa governance
first-capital,FCF-V3-0031,FCF-BANK,"Boundary: No realized fraud reduction, operational savings, risk reduction, audit finding closure, or model-risk approval is claimed.","Boundary: No realized fraud reduction, operational savings, risk reduction, audit finding closure, or model-risk approval is claimed.",13_evidence_sources,FCF-V3-EVID-0281,active,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,claim_boundary,tenant_generation_manifest,AbarVa governance
first-capital,FCF-V3-0032,FCF-BANK,"Boundary: Cloud, lakehouse, customer 360, and AI platforms are target-state unless current-state evidence is explicitly loaded.","Boundary: Cloud, lakehouse, customer 360, and AI platforms are target-state unless current-state evidence is explicitly loaded.",13_evidence_sources,FCF-V3-EVID-0282,active,medium,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,claim_boundary,tenant_generation_manifest,AbarVa governance
