tenant_key,record_id,entity_id,business_name,context_item,dimension,evidence_id,active_candidate_status,confidence,source_type,source_basis,synthetic_data_flag,evidence_boundary,module_usage_notes,use_case,risk_or_gap,affected_systems,metric_boundary,forbidden_claims
first-capital,FCF-V3-0001,FCF-BANK,Fraud copilot readiness: alert lineage and feature provenance are not certified,Fraud copilot readiness: alert lineage and feature provenance are not certified,12_relationships,FCF-V3-EVID-0170,active,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Fraud copilot readiness,alert lineage and feature provenance are not certified,Fraud detection and case platform; Core banking platform; Digital banking platform; Model risk management registry,baseline_required_before_value_claim,Do not claim fraud loss reduction.; Do not claim model approval.; Do not claim automated case decisions are production-ready.
first-capital,FCF-V3-0002,FCF-BANK,Fraud copilot readiness: model-risk approval evidence is incomplete,Fraud copilot readiness: model-risk approval evidence is incomplete,12_relationships,FCF-V3-EVID-0171,active,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Fraud copilot readiness,model-risk approval evidence is incomplete,Fraud detection and case platform; Core banking platform; Digital banking platform; Model risk management registry,baseline_required_before_value_claim,Do not claim fraud loss reduction.; Do not claim model approval.; Do not claim automated case decisions are production-ready.
first-capital,FCF-V3-0003,FCF-BANK,Fraud copilot readiness: operator acceptance telemetry is not loaded,Fraud copilot readiness: operator acceptance telemetry is not loaded,12_relationships,FCF-V3-EVID-0172,active,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Fraud copilot readiness,operator acceptance telemetry is not loaded,Fraud detection and case platform; Core banking platform; Digital banking platform; Model risk management registry,baseline_required_before_value_claim,Do not claim fraud loss reduction.; Do not claim model approval.; Do not claim automated case decisions are production-ready.
first-capital,FCF-V3-0004,FCF-BANK,Fraud copilot readiness: false-positive and loss baselines are not finance-approved,Fraud copilot readiness: false-positive and loss baselines are not finance-approved,12_relationships,FCF-V3-EVID-0173,active,medium,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Fraud copilot readiness,false-positive and loss baselines are not finance-approved,Fraud detection and case platform; Core banking platform; Digital banking platform; Model risk management registry,baseline_required_before_value_claim,Do not claim fraud loss reduction.; Do not claim model approval.; Do not claim automated case decisions are production-ready.
first-capital,FCF-V3-0005,FCF-BANK,AML/KYC operations assist: case narrative provenance and reviewer controls need validation,AML/KYC operations assist: case narrative provenance and reviewer controls need validation,12_relationships,FCF-V3-EVID-0174,candidate,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,AML/KYC operations assist,case narrative provenance and reviewer controls need validation,AML/KYC case management platform; Core banking platform; Risk and regulatory reporting data mart; Model risk management registry,baseline_required_before_value_claim,Do not claim SAR automation.; Do not claim compliance approval.; Do not claim alert reduction without baseline.
first-capital,FCF-V3-0006,FCF-BANK,AML/KYC operations assist: watchlist and customer-master lineage are not certified,AML/KYC operations assist: watchlist and customer-master lineage are not certified,12_relationships,FCF-V3-EVID-0175,active,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,AML/KYC operations assist,watchlist and customer-master lineage are not certified,AML/KYC case management platform; Core banking platform; Risk and regulatory reporting data mart; Model risk management registry,baseline_required_before_value_claim,Do not claim SAR automation.; Do not claim compliance approval.; Do not claim alert reduction without baseline.
first-capital,FCF-V3-0007,FCF-BANK,AML/KYC operations assist: explainability and human approval path are incomplete,AML/KYC operations assist: explainability and human approval path are incomplete,12_relationships,FCF-V3-EVID-0176,active,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,AML/KYC operations assist,explainability and human approval path are incomplete,AML/KYC case management platform; Core banking platform; Risk and regulatory reporting data mart; Model risk management registry,baseline_required_before_value_claim,Do not claim SAR automation.; Do not claim compliance approval.; Do not claim alert reduction without baseline.
first-capital,FCF-V3-0008,FCF-BANK,AML/KYC operations assist: regulatory audit evidence is not loaded,AML/KYC operations assist: regulatory audit evidence is not loaded,12_relationships,FCF-V3-EVID-0177,active,medium,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,AML/KYC operations assist,regulatory audit evidence is not loaded,AML/KYC case management platform; Core banking platform; Risk and regulatory reporting data mart; Model risk management registry,baseline_required_before_value_claim,Do not claim SAR automation.; Do not claim compliance approval.; Do not claim alert reduction without baseline.
first-capital,FCF-V3-0009,FCF-BANK,Contact center banker assist: PII handling and masking evidence is incomplete,Contact center banker assist: PII handling and masking evidence is incomplete,12_relationships,FCF-V3-EVID-0178,active,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Contact center banker assist,PII handling and masking evidence is incomplete,Banker and contact center CRM; Core banking platform; Digital banking platform,baseline_required_before_value_claim,Do not claim live banker assist.; Do not expose customer PII.; Do not claim AHT reduction without baseline.
first-capital,FCF-V3-0010,FCF-BANK,Contact center banker assist: real-time CRM/core integration evidence is missing,Contact center banker assist: real-time CRM/core integration evidence is missing,12_relationships,FCF-V3-EVID-0179,candidate,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Contact center banker assist,real-time CRM/core integration evidence is missing,Banker and contact center CRM; Core banking platform; Digital banking platform,baseline_required_before_value_claim,Do not claim live banker assist.; Do not expose customer PII.; Do not claim AHT reduction without baseline.
