tenant_key,record_id,entity_id,business_name,context_item,dimension,evidence_id,active_candidate_status,confidence,source_type,source_basis,synthetic_data_flag,evidence_boundary,module_usage_notes,use_case,data_domain,systems,value_hypothesis,evidence_needed
first-capital,FCF-V3-0001,FCF-BANK,Fraud copilot readiness: alerts,Fraud copilot readiness: alerts,09_programs_initiatives,FCF-V3-EVID-0100,active,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Fraud copilot readiness,alerts,Fraud detection and case platform; Core banking platform; Digital banking platform; Model risk management registry,"Enable fraud copilot only after alert lineage, model-risk approval, acceptance telemetry, false-positive baselines, and loss measurement are validated; quantify value after risk and finance signoff.",alert lineage and feature provenance are not certified; model-risk approval evidence is incomplete; operator acceptance telemetry is not loaded; false-positive and loss baselines are not finance-approved
first-capital,FCF-V3-0002,FCF-BANK,Fraud copilot readiness: case dispositions,Fraud copilot readiness: case dispositions,09_programs_initiatives,FCF-V3-EVID-0101,active,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Fraud copilot readiness,case dispositions,Fraud detection and case platform; Core banking platform; Digital banking platform; Model risk management registry,"Enable fraud copilot only after alert lineage, model-risk approval, acceptance telemetry, false-positive baselines, and loss measurement are validated; quantify value after risk and finance signoff.",alert lineage and feature provenance are not certified; model-risk approval evidence is incomplete; operator acceptance telemetry is not loaded; false-positive and loss baselines are not finance-approved
first-capital,FCF-V3-0003,FCF-BANK,Fraud copilot readiness: transaction features,Fraud copilot readiness: transaction features,09_programs_initiatives,FCF-V3-EVID-0102,active,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Fraud copilot readiness,transaction features,Fraud detection and case platform; Core banking platform; Digital banking platform; Model risk management registry,"Enable fraud copilot only after alert lineage, model-risk approval, acceptance telemetry, false-positive baselines, and loss measurement are validated; quantify value after risk and finance signoff.",alert lineage and feature provenance are not certified; model-risk approval evidence is incomplete; operator acceptance telemetry is not loaded; false-positive and loss baselines are not finance-approved
first-capital,FCF-V3-0004,FCF-BANK,AML/KYC operations assist: KYC refresh,AML/KYC operations assist: KYC refresh,09_programs_initiatives,FCF-V3-EVID-0103,active,medium,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,AML/KYC operations assist,KYC refresh,AML/KYC case management platform; Core banking platform; Risk and regulatory reporting data mart; Model risk management registry,"Assist AML/KYC operations only after lineage, explainability, reviewer controls, and audit evidence are approved; measure productivity after compliance and risk baselines are signed off.",case narrative provenance and reviewer controls need validation; watchlist and customer-master lineage are not certified; explainability and human approval path are incomplete; regulatory audit evidence is not loaded
first-capital,FCF-V3-0005,FCF-BANK,AML/KYC operations assist: watchlist alerts,AML/KYC operations assist: watchlist alerts,09_programs_initiatives,FCF-V3-EVID-0104,candidate,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,AML/KYC operations assist,watchlist alerts,AML/KYC case management platform; Core banking platform; Risk and regulatory reporting data mart; Model risk management registry,"Assist AML/KYC operations only after lineage, explainability, reviewer controls, and audit evidence are approved; measure productivity after compliance and risk baselines are signed off.",case narrative provenance and reviewer controls need validation; watchlist and customer-master lineage are not certified; explainability and human approval path are incomplete; regulatory audit evidence is not loaded
first-capital,FCF-V3-0006,FCF-BANK,AML/KYC operations assist: case narratives,AML/KYC operations assist: case narratives,09_programs_initiatives,FCF-V3-EVID-0105,active,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,AML/KYC operations assist,case narratives,AML/KYC case management platform; Core banking platform; Risk and regulatory reporting data mart; Model risk management registry,"Assist AML/KYC operations only after lineage, explainability, reviewer controls, and audit evidence are approved; measure productivity after compliance and risk baselines are signed off.",case narrative provenance and reviewer controls need validation; watchlist and customer-master lineage are not certified; explainability and human approval path are incomplete; regulatory audit evidence is not loaded
first-capital,FCF-V3-0007,FCF-BANK,Contact center banker assist: servicing cases,Contact center banker assist: servicing cases,09_programs_initiatives,FCF-V3-EVID-0106,active,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Contact center banker assist,servicing cases,Banker and contact center CRM; Core banking platform; Digital banking platform,"Deploy banker assist only after PII controls, CRM/core integration, knowledge governance, QA, and acceptance telemetry are approved; quantify handle-time or containment after baselines exist.",PII handling and masking evidence is incomplete; real-time CRM/core integration evidence is missing; approved answer content ownership is not assigned; QA and acceptance telemetry are not loaded
first-capital,FCF-V3-0008,FCF-BANK,Contact center banker assist: customer profile,Contact center banker assist: customer profile,09_programs_initiatives,FCF-V3-EVID-0107,active,medium,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Contact center banker assist,customer profile,Banker and contact center CRM; Core banking platform; Digital banking platform,"Deploy banker assist only after PII controls, CRM/core integration, knowledge governance, QA, and acceptance telemetry are approved; quantify handle-time or containment after baselines exist.",PII handling and masking evidence is incomplete; real-time CRM/core integration evidence is missing; approved answer content ownership is not assigned; QA and acceptance telemetry are not loaded
first-capital,FCF-V3-0009,FCF-BANK,Contact center banker assist: digital journey context,Contact center banker assist: digital journey context,09_programs_initiatives,FCF-V3-EVID-0108,active,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Contact center banker assist,digital journey context,Banker and contact center CRM; Core banking platform; Digital banking platform,"Deploy banker assist only after PII controls, CRM/core integration, knowledge governance, QA, and acceptance telemetry are approved; quantify handle-time or containment after baselines exist.",PII handling and masking evidence is incomplete; real-time CRM/core integration evidence is missing; approved answer content ownership is not assigned; QA and acceptance telemetry are not loaded
first-capital,FCF-V3-0010,FCF-BANK,Regulatory reporting modernization: report lineage,Regulatory reporting modernization: report lineage,09_programs_initiatives,FCF-V3-EVID-0109,candidate,high,synthetic_v3_context_generation,synthetic_financial_services_v3_context_generation,synthetic_demo,synthetic_demo_no_real_bank_customer_data_planning_grade,Home|Knowledge|Intelligence|Moves|Source|Tower,Regulatory reporting modernization,report lineage,Risk and regulatory reporting data mart; Legacy banking data warehouse; Cloud lakehouse and customer 360 foundation,"Modernize regulatory reporting after lineage, controls, attestations, reconciliation, and data-quality ownership are governed; do not claim regulator-ready outputs until audit evidence is approved.",regulatory-report lineage is fragmented across marts and manual files; control evidence and attestations are not linked to data products; cloud lakehouse is target-state only; data-quality exceptions are not owner-certified
