tenant_key,source_id,source_version_id,source_name,source_kind,source_ref,source_version,source_date,as_of_date,ingested_at,source_owner,confidentiality,domains_covered,row_count_or_pages,content_fingerprint,approved_for_loading,quality_notes,known_gaps,supersedes_source_version_id
lakeshore-industries,SRC-LAKESHOREINDUSTRIES-F07260D3B44B,SRCV-LAKESHOREINDUSTRIES-DCCBBC30D86E,Lakeshore enterprise profile,external_reference,synthetic://lakeshore-industries/lakeshore/enterprise-profile.xlsx,2026-07-06,2026-07-06,2026-07-06,,AbarVa synthetic data steward,confidential,,,4e2c6387492fd7eaafaa1024b6b0d49c0ab5f812fed6fe99dfe1a84be563d808,,profile and financial baseline,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",
lakeshore-industries,SRC-LAKESHOREINDUSTRIES-5143EA5ED1DC,SRCV-LAKESHOREINDUSTRIES-4CA1CFA52148,Lakeshore application inventory,external_reference,synthetic://lakeshore-industries/lakeshore/application-inventory.xlsx,2026-07-06,2026-07-06,2026-07-06,,AbarVa synthetic data steward,confidential,,,47299fdf9e4feb3305fef66c1fa40a0d16b0ea01dfdcbf1903dbada1ea986f7f,,"systems, owners, costs, criticality","Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",
lakeshore-industries,SRC-LAKESHOREINDUSTRIES-CCEB653F2023,SRCV-LAKESHOREINDUSTRIES-D10DBF2ECB65,Lakeshore org and persona roster,external_reference,synthetic://lakeshore-industries/lakeshore/org-and-persona-roster.xlsx,2026-07-06,2026-07-06,2026-07-06,,AbarVa synthetic data steward,confidential,,,63c51d5b7a741dd4998872689d4168b172f72a725b4cdafc9748dc32503c6913,,"roles, decision rights, personas","Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",
lakeshore-industries,SRC-LAKESHOREINDUSTRIES-626461A8E5E7,SRCV-LAKESHOREINDUSTRIES-2245DB5EB368,Lakeshore vendor and contract extract,external_reference,synthetic://lakeshore-industries/lakeshore/vendor-and-contract-extract.xlsx,2026-07-06,2026-07-06,2026-07-06,,AbarVa synthetic data steward,confidential,,,65af595bdd4dc8702964ab0d36a702bfc3758e6e0682ee5f6ce3d82bc79df1f2,,"vendor cost, renewal, risk","Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",
lakeshore-industries,SRC-LAKESHOREINDUSTRIES-1156BDC78963,SRCV-LAKESHOREINDUSTRIES-07B992179130,Lakeshore process and KPI pack,external_reference,synthetic://lakeshore-industries/lakeshore/process-and-kpi-pack.xlsx,2026-07-06,2026-07-06,2026-07-06,,AbarVa synthetic data steward,confidential,,,b66221b4ba72318b8e79de5e6809a935be779cd9bd29ddd924277c1f64c1e415,,"functions, process baselines, metrics","Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",
lakeshore-industries,SRC-LAKESHOREINDUSTRIES-25D8E170BDA3,SRCV-LAKESHOREINDUSTRIES-D64B96A007CA,Lakeshore data product catalog,external_reference,synthetic://lakeshore-industries/lakeshore/data-product-catalog.xlsx,2026-07-06,2026-07-06,2026-07-06,,AbarVa synthetic data steward,confidential,,,7cc9313ab477d4c59bfa1340a53348e668390bb6f29c98ac2ff19429b2a0e8ac,,"data owners, quality, lineage, AI readiness","Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",
lakeshore-industries,SRC-LAKESHOREINDUSTRIES-AF1E32F240D3,SRCV-LAKESHOREINDUSTRIES-9B13BBCDDEFA,Northline enterprise profile,external_reference,synthetic://lakeshore-industries/northline/enterprise-profile.xlsx,2026-07-06,2026-07-06,2026-07-06,,AbarVa synthetic data steward,confidential,,,b2f1161583d7022c20ef855f5d96518441a2b3459c7b5664c0bcacb939e286e1,,profile and financial baseline,"Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",
lakeshore-industries,SRC-LAKESHOREINDUSTRIES-3F008C9C839F,SRCV-LAKESHOREINDUSTRIES-CBE8AD08B2E6,Northline application inventory,external_reference,synthetic://lakeshore-industries/northline/application-inventory.xlsx,2026-07-06,2026-07-06,2026-07-06,,AbarVa synthetic data steward,confidential,,,76542548490fcf57cd7c73f1a9fc67b5b8d1b77233b89fc9f9e7a6c5429ae5ac,,"systems, owners, costs, criticality","Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",
lakeshore-industries,SRC-LAKESHOREINDUSTRIES-6034B185EEF1,SRCV-LAKESHOREINDUSTRIES-73C312258C7B,Northline org and persona roster,external_reference,synthetic://lakeshore-industries/northline/org-and-persona-roster.xlsx,2026-07-06,2026-07-06,2026-07-06,,AbarVa synthetic data steward,confidential,,,e2b56e805a546aa5eabda0b4a97d40ebb54b8c4c741db6fed8665dbbb570ba6c,,"roles, decision rights, personas","Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",
lakeshore-industries,SRC-LAKESHOREINDUSTRIES-6DBC6085727B,SRCV-LAKESHOREINDUSTRIES-A94229F284F2,Northline vendor and contract extract,external_reference,synthetic://lakeshore-industries/northline/vendor-and-contract-extract.xlsx,2026-07-06,2026-07-06,2026-07-06,,AbarVa synthetic data steward,confidential,,,c0b187bab8b1758d1922771a15c4b447f529fa49aeca9399c0dace7c585e746c,,"vendor cost, renewal, risk","Client must validate actual financials, system inventory, ownership, and evidence before board-grade use.",
