tenant_key,input_evidence_id,input_file,row_ref,disposition,output_evidence_id,source_version_id,reason
lakeshore-industries,CHK-00001,datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_20_chunk_retrieval_registry.csv,datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_20_chunk_retrieval_registry.csv#2,migrated_evidence_item,CHK-00001,SRCV-LAKESHOREINDUSTRIES-AD58E1827CF1,
lakeshore-industries,CHK-00002,datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_20_chunk_retrieval_registry.csv,datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_20_chunk_retrieval_registry.csv#3,migrated_evidence_item,CHK-00002,SRCV-LAKESHOREINDUSTRIES-AD58E1827CF1,
lakeshore-industries,CHK-00003,datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_20_chunk_retrieval_registry.csv,datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_20_chunk_retrieval_registry.csv#4,migrated_evidence_item,CHK-00003,SRCV-LAKESHOREINDUSTRIES-AD58E1827CF1,
lakeshore-industries,CHK-00004,datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_20_chunk_retrieval_registry.csv,datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_20_chunk_retrieval_registry.csv#5,migrated_evidence_item,CHK-00004,SRCV-LAKESHOREINDUSTRIES-AD58E1827CF1,
lakeshore-industries,CHK-00005,datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_20_chunk_retrieval_registry.csv,datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_20_chunk_retrieval_registry.csv#6,migrated_evidence_item,CHK-00005,SRCV-LAKESHOREINDUSTRIES-AD58E1827CF1,
lakeshore-industries,CHK-00006,datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_20_chunk_retrieval_registry.csv,datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_20_chunk_retrieval_registry.csv#7,migrated_evidence_item,CHK-00006,SRCV-LAKESHOREINDUSTRIES-AD58E1827CF1,
lakeshore-industries,CHK-00007,datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_20_chunk_retrieval_registry.csv,datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_20_chunk_retrieval_registry.csv#8,migrated_evidence_item,CHK-00007,SRCV-LAKESHOREINDUSTRIES-AD58E1827CF1,
lakeshore-industries,CHK-00008,datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_20_chunk_retrieval_registry.csv,datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_20_chunk_retrieval_registry.csv#9,migrated_evidence_item,CHK-00008,SRCV-LAKESHOREINDUSTRIES-AD58E1827CF1,
lakeshore-industries,CHK-00009,datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_20_chunk_retrieval_registry.csv,datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_20_chunk_retrieval_registry.csv#10,migrated_evidence_item,CHK-00009,SRCV-LAKESHOREINDUSTRIES-AD58E1827CF1,
lakeshore-industries,CHK-00010,datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_20_chunk_retrieval_registry.csv,datasets/tenant-inputs/archive/lakeshore-industries/consolidated-20260714/holdco-pack/V7_20_chunk_retrieval_registry.csv#11,migrated_evidence_item,CHK-00010,SRCV-LAKESHOREINDUSTRIES-AD58E1827CF1,
