tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,month,invoice_ref,po_ref,line_type,line_description,line_amount_usd,gl_account,cost_center,approval_owner,basis,source_file_id
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,invoice_line:MER-TECH-LAAMS-001:2025-08:RUN-BASE,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-08,INV-MER-TECH-LAAMS-001-202508,PO-MER-LAAMS-2024-001,run_support,Base analytics run support fee,540000,617500 Managed services,MER-CC-ANALYTICS-RUN,IT Finance,base SOW recurring fee,DOC-MER-TECH-LAAMS-001-INVOICE
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,invoice_line:MER-TECH-LAAMS-001:2025-08:GOV,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-08,INV-MER-TECH-LAAMS-001-202508,PO-MER-LAAMS-2024-001,governance,Onshore governance and service management,35000,617500 Managed services,MER-CC-ANALYTICS-RUN,IT Finance,named delivery management,DOC-MER-TECH-LAAMS-001-INVOICE
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,invoice_line:MER-TECH-LAAMS-001:2025-08:TOOLS,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-08,INV-MER-TECH-LAAMS-001-202508,PO-MER-LAAMS-2024-001,operations_tooling,Monitoring and reporting operations tooling,25000,617500 Managed services,MER-CC-DATA-PLATFORM,IT Finance,tooling pass-through cap,DOC-MER-TECH-LAAMS-001-INVOICE
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,invoice_line:MER-TECH-LAAMS-001:2025-08:CO,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-08,INV-MER-TECH-LAAMS-001-202508,PO-MER-LAAMS-2024-001,change_order,Approved change order billed this month,28500,617500 Managed services,MER-CC-ANALYTICS-PROJECT,Vendor Management,requires scope posture review,DOC-MER-TECH-LAAMS-001-INVOICE
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,invoice_line:MER-TECH-LAAMS-001:2025-08:VAR,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-08,INV-MER-TECH-LAAMS-001-202508,PO-MER-LAAMS-2024-001,variable_run,Variable run support and backlog drawdown,19500,617500 Managed services,MER-CC-ANALYTICS-RUN,IT Finance,volume-linked support,DOC-MER-TECH-LAAMS-001-INVOICE
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,invoice_line:MER-TECH-LAAMS-001:2025-09:RUN-BASE,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-09,INV-MER-TECH-LAAMS-001-202509,PO-MER-LAAMS-2024-001,run_support,Base analytics run support fee,540000,617500 Managed services,MER-CC-ANALYTICS-RUN,IT Finance,base SOW recurring fee,DOC-MER-TECH-LAAMS-001-INVOICE
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,invoice_line:MER-TECH-LAAMS-001:2025-09:GOV,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-09,INV-MER-TECH-LAAMS-001-202509,PO-MER-LAAMS-2024-001,governance,Onshore governance and service management,35000,617500 Managed services,MER-CC-ANALYTICS-RUN,IT Finance,named delivery management,DOC-MER-TECH-LAAMS-001-INVOICE
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,invoice_line:MER-TECH-LAAMS-001:2025-09:TOOLS,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-09,INV-MER-TECH-LAAMS-001-202509,PO-MER-LAAMS-2024-001,operations_tooling,Monitoring and reporting operations tooling,25000,617500 Managed services,MER-CC-DATA-PLATFORM,IT Finance,tooling pass-through cap,DOC-MER-TECH-LAAMS-001-INVOICE
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,invoice_line:MER-TECH-LAAMS-001:2025-09:CO,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-09,INV-MER-TECH-LAAMS-001-202509,PO-MER-LAAMS-2024-001,change_order,Approved change order billed this month,41000,617500 Managed services,MER-CC-ANALYTICS-PROJECT,Vendor Management,requires scope posture review,DOC-MER-TECH-LAAMS-001-INVOICE
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,invoice_line:MER-TECH-LAAMS-001:2025-09:VAR,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-09,INV-MER-TECH-LAAMS-001-202509,PO-MER-LAAMS-2024-001,variable_run,Variable run support and backlog drawdown,14000,617500 Managed services,MER-CC-ANALYTICS-RUN,IT Finance,volume-linked support,DOC-MER-TECH-LAAMS-001-INVOICE
