tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,month,period_start,period_end,committed_base_amount_usd,invoice_amount_usd,paid_amount_usd,actual_spend_usd,variance_to_committed_usd,currency,invoice_ref,source_file_id
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,monthly_spend:MER-TECH-LAAMS-001:2025-08,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-08,2025-08-01,2025-08-28,635000.0,648000,648000,648000,13000.0,USD,INV-MER-TECH-LAAMS-001-202508,DOC-MER-TECH-LAAMS-001-INVOICE
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,monthly_spend:MER-TECH-LAAMS-001:2025-09,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-09,2025-09-01,2025-09-28,635000.0,655000,655000,655000,20000.0,USD,INV-MER-TECH-LAAMS-001-202509,DOC-MER-TECH-LAAMS-001-INVOICE
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,monthly_spend:MER-TECH-LAAMS-001:2025-10,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-10,2025-10-01,2025-10-28,635000.0,672000,672000,672000,37000.0,USD,INV-MER-TECH-LAAMS-001-202510,DOC-MER-TECH-LAAMS-001-INVOICE
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,monthly_spend:MER-TECH-LAAMS-001:2025-11,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-11,2025-11-01,2025-11-28,635000.0,661000,661000,661000,26000.0,USD,INV-MER-TECH-LAAMS-001-202511,DOC-MER-TECH-LAAMS-001-INVOICE
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,monthly_spend:MER-TECH-LAAMS-001:2025-12,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-12,2025-12-01,2025-12-28,635000.0,684000,684000,684000,49000.0,USD,INV-MER-TECH-LAAMS-001-202512,DOC-MER-TECH-LAAMS-001-INVOICE
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,monthly_spend:MER-TECH-LAAMS-001:2026-01,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-01,2026-01-01,2026-01-28,635000.0,701000,701000,701000,66000.0,USD,INV-MER-TECH-LAAMS-001-202601,DOC-MER-TECH-LAAMS-001-INVOICE
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,monthly_spend:MER-TECH-LAAMS-001:2026-02,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-02,2026-02-01,2026-02-28,635000.0,693000,693000,693000,58000.0,USD,INV-MER-TECH-LAAMS-001-202602,DOC-MER-TECH-LAAMS-001-INVOICE
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,monthly_spend:MER-TECH-LAAMS-001:2026-03,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-03,2026-03-01,2026-03-28,635000.0,712000,712000,712000,77000.0,USD,INV-MER-TECH-LAAMS-001-202603,DOC-MER-TECH-LAAMS-001-INVOICE
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,monthly_spend:MER-TECH-LAAMS-001:2026-04,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-04,2026-04-01,2026-04-28,635000.0,734000,734000,734000,99000.0,USD,INV-MER-TECH-LAAMS-001-202604,DOC-MER-TECH-LAAMS-001-INVOICE
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,monthly_spend:MER-TECH-LAAMS-001:2026-05,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-05,2026-05-01,2026-05-28,635000.0,711000,711000,711000,76000.0,USD,INV-MER-TECH-LAAMS-001-202605,DOC-MER-TECH-LAAMS-001-INVOICE
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,monthly_spend:MER-TECH-LAAMS-001:2026-06,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-06,2026-06-01,2026-06-28,635000.0,690000,690000,690000,55000.0,USD,INV-MER-TECH-LAAMS-001-202606,DOC-MER-TECH-LAAMS-001-INVOICE
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,monthly_spend:MER-TECH-LAAMS-001:2026-07,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-07,2026-07-01,2026-07-28,635000.0,774000,774000,774000,139000.0,USD,INV-MER-TECH-LAAMS-001-202607,DOC-MER-TECH-LAAMS-001-INVOICE
