tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,source_file_id,source_page,page_text,page_text_sha256,mapping_status,parser_version,synthetic_policy
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,page_text:MER-TECH-LAAMS-001:DOC-MER-TECH-LAAMS-001-MSA:p1,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-MER-TECH-LAAMS-001-MSA,1,"Commercial summary: annual value 7.85M USD, committed annual base 7.62M USD, signed 15 Jul 2024, term 1 Aug 2024 to 31 Jul 2027, renewal notice due 30 Apr 2027.",a9cf4613ab853af9ff5aeb1a0c0a69926eaca18fb18bcb2593e8bd9fdb2ee132,mapped_to_register_contract,synthetic-docx-page-parser-v1,synthetic_demo_only_not_client_truth
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,page_text:MER-TECH-LAAMS-001:DOC-MER-TECH-LAAMS-001-MSA:p2,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-MER-TECH-LAAMS-001-MSA,2,"Rights and protections: buyer may audit invoice, resource, ticket, SLA, change order, runbook, and knowledge-transfer evidence. Benchmarking may compare rate card, offshore mix, automation coverage, SLA credits, and tower scope.",40f6d1d7aa2afedc84e958d6857ecd752a85c05303321f7619b7c7ca29883fe9,mapped_to_register_contract,synthetic-docx-page-parser-v1,synthetic_demo_only_not_client_truth
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,page_text:MER-TECH-LAAMS-001:DOC-MER-TECH-LAAMS-001-SOW:p1,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-MER-TECH-LAAMS-001-SOW,1,"Statement of work purpose: run, support, release, quality, and minor-enhancement services for the legacy analytics estate supporting clinical reporting, claims operations, finance close, member-service analytics, and executive reporting.",b70e43cf036ad9d701166d9eb1474d05bcc3b97fb35587177993f7239a8a7553,mapped_to_register_contract,synthetic-docx-page-parser-v1,synthetic_demo_only_not_client_truth
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,page_text:MER-TECH-LAAMS-001:DOC-MER-TECH-LAAMS-001-SOW:p2,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-MER-TECH-LAAMS-001-SOW,2,"In-scope systems: SQL reporting marts, Tableau, Power BI semantic models, SAS analytics estate, Epic Clarity extracts, claims administration extracts, finance close marts, and ServiceNow ITSM integration.",a7c6a91f52c4173c565eafea4f716f56c3c6e4a6c0fc27a1834b953262e34eba,mapped_to_register_contract,synthetic-docx-page-parser-v1,synthetic_demo_only_not_client_truth
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,page_text:MER-TECH-LAAMS-001:DOC-MER-TECH-LAAMS-001-SOW:p3,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-MER-TECH-LAAMS-001-SOW,3,"Delivery towers: production support, data engineering run, BI sustainment, and governance evidence. Recurring fixes to named production systems remain base run work unless a written exception is approved.",10b88de883bfb7ff43d2977017af27cb225e69982912be3a0c640f2e2b2d19b1,mapped_to_register_contract,synthetic-docx-page-parser-v1,synthetic_demo_only_not_client_truth
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,page_text:MER-TECH-LAAMS-001:DOC-MER-TECH-LAAMS-001-SOW:p4,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-MER-TECH-LAAMS-001-SOW,4,"Resource model: 51.8 total FTE across 15 role categories, split 9.8 onshore and 42.0 offshore, with named accountability for service delivery, platform architecture, clinical data, claims data, BI, release, security, QA, triage, and automation.",3a9d6d3edc5b28c7145f0d94d62eadd448ea516b1441cebc37869b2866aadeef,mapped_to_register_contract,synthetic-docx-page-parser-v1,synthetic_demo_only_not_client_truth
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,page_text:MER-TECH-LAAMS-001:DOC-MER-TECH-LAAMS-001-PRICING:p1,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-MER-TECH-LAAMS-001-PRICING,1,"Pricing schedule: monthly base, monitoring/tooling allowance, transition and knowledge reserve, service-management overhead, and approved minor-enhancement capacity reconcile to annual value.",13baa9ae3c46bcc15e69cb04dc756fab692e62de1c6fc366fae501eb3aa2384d,mapped_to_register_contract,synthetic-docx-page-parser-v1,synthetic_demo_only_not_client_truth
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,page_text:MER-TECH-LAAMS-001:DOC-MER-TECH-LAAMS-001-PRICING:p2,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-MER-TECH-LAAMS-001-PRICING,2,"Role rate card: resource model billed labor is 7.1795M USD; vendor labor cost basis is 4.392M USD; labor margin and overhead bridge is 2.7875M USD before tooling, transition, and service-management overhead.",50876be0215a07eda59b46f971a98f0822f14b5c523c610f6eb83225d1dff52f,mapped_to_register_contract,synthetic-docx-page-parser-v1,synthetic_demo_only_not_client_truth
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,page_text:MER-TECH-LAAMS-001:DOC-MER-TECH-LAAMS-001-INVOICE:p1,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-MER-TECH-LAAMS-001-INVOICE,1,"AP invoice extract: 56 invoice lines across 12 months separate base run support, governance, operations tooling, variable run support, and change-order lines. Monthly invoice line totals tie to monthly spend rows.",c944d6363581c553ce051e7f31009b4ecdad349b29e1e3844f1898892f657d90,mapped_to_register_contract,synthetic-docx-page-parser-v1,synthetic_demo_only_not_client_truth
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,page_text:MER-TECH-LAAMS-001:DOC-MER-TECH-LAAMS-001-INVOICE:p2,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,DOC-MER-TECH-LAAMS-001-INVOICE,2,"Change-order billing evidence: invoice lines include approved change-order charges in 2025-08, 2025-09, 2025-10, 2025-12, 2026-01, 2026-03, 2026-05, and 2026-06 for scope-posture review.",471559a34512382327cdee07e8340a58308b8c946ed916a820acaf36d3be8a9a,mapped_to_register_contract,synthetic-docx-page-parser-v1,synthetic_demo_only_not_client_truth
