tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,role,location_mix,fte,annual_vendor_cost_rate_usd,annual_client_bill_rate_usd,annual_vendor_cost_usd,annual_billed_amount_usd,annual_margin_and_overhead_usd,responsibility,source_file_id
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,resource:MER-TECH-LAAMS-001:account_delivery_executive,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,Account delivery executive,onshore,0.3,285000,380000,85500.0,114000.0,28500.0,Executive governance and escalation,DOC-MER-TECH-LAAMS-001-SOW
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,resource:MER-TECH-LAAMS-001:service_delivery_manager,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,Service delivery manager,onshore,1.0,220000,315000,220000.0,315000.0,95000.0,"Daily service governance, SLA ownership",DOC-MER-TECH-LAAMS-001-SOW
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,resource:MER-TECH-LAAMS-001:analytics_platform_architect,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,Analytics platform architect,onshore,1.0,205000,295000,205000.0,295000.0,90000.0,"Architecture decisions, technical standards",DOC-MER-TECH-LAAMS-001-SOW
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,resource:MER-TECH-LAAMS-001:clinical_data_lead,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,Clinical data lead,onshore,1.0,190000,275000,190000.0,275000.0,85000.0,Epic Clarity extract governance,DOC-MER-TECH-LAAMS-001-SOW
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,resource:MER-TECH-LAAMS-001:claims_data_lead,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,Claims data lead,onshore,0.8,185000,265000,148000.0,212000.0,64000.0,Claims-feed triage and domain escalation,DOC-MER-TECH-LAAMS-001-SOW
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,resource:MER-TECH-LAAMS-001:bi_product_owner,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,BI product owner,onshore,1.0,175000,235000,175000.0,235000.0,60000.0,Demand shaping and business prioritization,DOC-MER-TECH-LAAMS-001-SOW
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,resource:MER-TECH-LAAMS-001:release_and_change_manager,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,Release and change manager,onshore,1.0,160000,225000,160000.0,225000.0,65000.0,"CAB, release calendar, change-order gate",DOC-MER-TECH-LAAMS-001-SOW
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,resource:MER-TECH-LAAMS-001:security_and_compliance_analyst,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,Security and compliance analyst,onshore,0.7,165000,235000,115500.0,164500.0,49000.0,Access reviews and HIPAA evidence,DOC-MER-TECH-LAAMS-001-SOW
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,resource:MER-TECH-LAAMS-001:reporting_analyst,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,Reporting analyst,onshore,3.0,135000,160000,405000.0,480000.0,75000.0,Power BI/Tableau intake and validation,DOC-MER-TECH-LAAMS-001-SOW
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,resource:MER-TECH-LAAMS-001:l3_data_engineering_lead,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,L3 data engineering lead,offshore,4.0,88000,145000,352000.0,580000.0,228000.0,ETL remediation and performance tuning,DOC-MER-TECH-LAAMS-001-SOW
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,resource:MER-TECH-LAAMS-001:l2_data_engineer,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,L2 data engineer,offshore,12.0,68000,128000,816000.0,1536000.0,720000.0,Batch support and defect remediation,DOC-MER-TECH-LAAMS-001-SOW
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,resource:MER-TECH-LAAMS-001:bi_developer,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,BI developer,offshore,10.0,64000,122000,640000.0,1220000.0,580000.0,Dashboard sustainment and minor enhancement,DOC-MER-TECH-LAAMS-001-SOW
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,resource:MER-TECH-LAAMS-001:qa_analyst,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,QA analyst,offshore,6.0,56000,95000,336000.0,570000.0,234000.0,"Regression, report tie-out, release validation",DOC-MER-TECH-LAAMS-001-SOW
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,resource:MER-TECH-LAAMS-001:service_desk_/_triage_analyst,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,Service desk / triage analyst,offshore,8.0,49000,84000,392000.0,672000.0,280000.0,"Ticket intake, routing, first response",DOC-MER-TECH-LAAMS-001-SOW
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,resource:MER-TECH-LAAMS-001:automation_engineer,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,Automation engineer,offshore,2.0,76000,143000,152000.0,286000.0,134000.0,Runbook automation and monitoring rules,DOC-MER-TECH-LAAMS-001-SOW
