tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,month,system_ref,system_name,scheduled_jobs,successful_jobs,failed_jobs,late_completion_count,manual_restarts,business_owner,source_file_id
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,batch_volume:MER-TECH-LAAMS-001:2025-08:MER-SYS-SQL-MARTS,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-08,MER-SYS-SQL-MARTS,SQL Server reporting marts,420,414,6,5,4,BI and Analytics,DOC-MER-TECH-LAAMS-001-OPERATIONS
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,batch_volume:MER-TECH-LAAMS-001:2025-08:MER-SYS-TABLEAU,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-08,MER-SYS-TABLEAU,Tableau reporting estate,145,143,2,2,2,BI and Analytics,DOC-MER-TECH-LAAMS-001-OPERATIONS
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,batch_volume:MER-TECH-LAAMS-001:2025-08:MER-SYS-POWERBI,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-08,MER-SYS-POWERBI,Power BI semantic models and gateway,190,187,3,3,2,Technology Platform,DOC-MER-TECH-LAAMS-001-OPERATIONS
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,batch_volume:MER-TECH-LAAMS-001:2025-08:MER-SYS-SAS,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-08,MER-SYS-SAS,SAS analytics estate,145,143,2,2,2,Analytics,DOC-MER-TECH-LAAMS-001-OPERATIONS
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,batch_volume:MER-TECH-LAAMS-001:2025-08:MER-SYS-EPIC-CLARITY,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-08,MER-SYS-EPIC-CLARITY,Epic Clarity extracts,310,306,4,3,3,Epic Analytics,DOC-MER-TECH-LAAMS-001-OPERATIONS
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,batch_volume:MER-TECH-LAAMS-001:2025-08:MER-SYS-CLAIMS-ADMIN,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-08,MER-SYS-CLAIMS-ADMIN,Claims administration extracts,310,306,4,3,3,Health Plan Operations,DOC-MER-TECH-LAAMS-001-OPERATIONS
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,batch_volume:MER-TECH-LAAMS-001:2025-08:MER-SYS-FINANCE-CLOSE,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-08,MER-SYS-FINANCE-CLOSE,Finance close reporting marts,145,143,2,2,2,Finance,DOC-MER-TECH-LAAMS-001-OPERATIONS
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,batch_volume:MER-TECH-LAAMS-001:2025-08:MER-SYS-SERVICENOW,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-08,MER-SYS-SERVICENOW,ServiceNow ITSM integration,145,143,2,2,2,Service Management,DOC-MER-TECH-LAAMS-001-OPERATIONS
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,batch_volume:MER-TECH-LAAMS-001:2025-09:MER-SYS-SQL-MARTS,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-09,MER-SYS-SQL-MARTS,SQL Server reporting marts,423,417,6,5,4,BI and Analytics,DOC-MER-TECH-LAAMS-001-OPERATIONS
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,batch_volume:MER-TECH-LAAMS-001:2025-09:MER-SYS-TABLEAU,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-09,MER-SYS-TABLEAU,Tableau reporting estate,148,146,2,2,2,BI and Analytics,DOC-MER-TECH-LAAMS-001-OPERATIONS
