tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,month,period_start,period_end,service_tower,severity,ticket_count,sla_target_hours,avg_resolution_hours,backlog_end_count,source_file_id
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,ticket_volume:MER-TECH-LAAMS-001:2025-08:P1,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-08,2025-08-01,2025-08-28,Legacy Analytics AMS,P1,14,4,3.3,1,DOC-MER-TECH-LAAMS-001-SLA
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,ticket_volume:MER-TECH-LAAMS-001:2025-08:P2,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-08,2025-08-01,2025-08-28,Legacy Analytics AMS,P2,82,8,6.6,3,DOC-MER-TECH-LAAMS-001-SLA
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,ticket_volume:MER-TECH-LAAMS-001:2025-08:P3,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-08,2025-08-01,2025-08-28,Legacy Analytics AMS,P3,880,24,19.7,31,DOC-MER-TECH-LAAMS-001-SLA
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,ticket_volume:MER-TECH-LAAMS-001:2025-08:P4,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-08,2025-08-01,2025-08-28,Legacy Analytics AMS,P4,640,72,59.0,23,DOC-MER-TECH-LAAMS-001-SLA
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,ticket_volume:MER-TECH-LAAMS-001:2025-09:P1,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-09,2025-09-01,2025-09-28,Legacy Analytics AMS,P1,16,4,3.3,1,DOC-MER-TECH-LAAMS-001-SLA
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,ticket_volume:MER-TECH-LAAMS-001:2025-09:P2,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-09,2025-09-01,2025-09-28,Legacy Analytics AMS,P2,84,8,6.6,3,DOC-MER-TECH-LAAMS-001-SLA
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,ticket_volume:MER-TECH-LAAMS-001:2025-09:P3,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-09,2025-09-01,2025-09-28,Legacy Analytics AMS,P3,897,24,19.7,32,DOC-MER-TECH-LAAMS-001-SLA
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,ticket_volume:MER-TECH-LAAMS-001:2025-09:P4,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-09,2025-09-01,2025-09-28,Legacy Analytics AMS,P4,657,72,59.0,23,DOC-MER-TECH-LAAMS-001-SLA
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,ticket_volume:MER-TECH-LAAMS-001:2025-10:P1,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-10,2025-10-01,2025-10-28,Legacy Analytics AMS,P1,18,4,5.8,2,DOC-MER-TECH-LAAMS-001-SLA
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,ticket_volume:MER-TECH-LAAMS-001:2025-10:P2,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-10,2025-10-01,2025-10-28,Legacy Analytics AMS,P2,86,8,11.6,8,DOC-MER-TECH-LAAMS-001-SLA
