tenant_key,dataset_version,source_row_id,contract_id,vendor_ref,vendor_name,period_start,period_end,metric_name,service_tower,committed_threshold_pct,actual_result_pct,ticket_volume,breach_state,credit_owed_usd,credit_claimed,credit_recovered_usd,source_file_id
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,sla:MER-TECH-LAAMS-001:2025-08,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-08-01,2025-08-28,analytics service requests resolved within SLA %,Legacy Analytics AMS,0.95,0.957,1650,met,0,,0,DOC-MER-TECH-LAAMS-001-SLA
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,sla:MER-TECH-LAAMS-001:2025-09,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-09-01,2025-09-28,analytics service requests resolved within SLA %,Legacy Analytics AMS,0.95,0.963,1693,met,0,,0,DOC-MER-TECH-LAAMS-001-SLA
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,sla:MER-TECH-LAAMS-001:2025-10,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-10-01,2025-10-28,analytics service requests resolved within SLA %,Legacy Analytics AMS,0.95,0.932,1736,breached,12700,false,0,DOC-MER-TECH-LAAMS-001-SLA
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,sla:MER-TECH-LAAMS-001:2025-11,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-11-01,2025-11-28,analytics service requests resolved within SLA %,Legacy Analytics AMS,0.95,0.975,1779,met,0,,0,DOC-MER-TECH-LAAMS-001-SLA
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,sla:MER-TECH-LAAMS-001:2025-12,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2025-12-01,2025-12-28,analytics service requests resolved within SLA %,Legacy Analytics AMS,0.95,0.957,1822,met,0,,0,DOC-MER-TECH-LAAMS-001-SLA
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,sla:MER-TECH-LAAMS-001:2026-01,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-01-01,2026-01-28,analytics service requests resolved within SLA %,Legacy Analytics AMS,0.95,0.918,1865,breached,12700,false,0,DOC-MER-TECH-LAAMS-001-SLA
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,sla:MER-TECH-LAAMS-001:2026-02,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-02-01,2026-02-28,analytics service requests resolved within SLA %,Legacy Analytics AMS,0.95,0.969,1908,met,0,,0,DOC-MER-TECH-LAAMS-001-SLA
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,sla:MER-TECH-LAAMS-001:2026-03,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-03-01,2026-03-28,analytics service requests resolved within SLA %,Legacy Analytics AMS,0.95,0.975,1951,met,0,,0,DOC-MER-TECH-LAAMS-001-SLA
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,sla:MER-TECH-LAAMS-001:2026-04,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-04-01,2026-04-28,analytics service requests resolved within SLA %,Legacy Analytics AMS,0.95,0.929,1994,breached,12700,false,0,DOC-MER-TECH-LAAMS-001-SLA
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,sla:MER-TECH-LAAMS-001:2026-05,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-05-01,2026-05-28,analytics service requests resolved within SLA %,Legacy Analytics AMS,0.95,0.963,2037,met,0,,0,DOC-MER-TECH-LAAMS-001-SLA
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,sla:MER-TECH-LAAMS-001:2026-06,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-06-01,2026-06-28,analytics service requests resolved within SLA %,Legacy Analytics AMS,0.95,0.969,2080,met,0,,0,DOC-MER-TECH-LAAMS-001-SLA
meridian-health,meridian-legacy-analytics-managed-services-v1-20260907,sla:MER-TECH-LAAMS-001:2026-07,MER-TECH-LAAMS-001,VEN-COGNIZANT,Cognizant Technology Solutions,2026-07-01,2026-07-28,analytics service requests resolved within SLA %,Legacy Analytics AMS,0.95,0.921,2123,breached,25400,false,0,DOC-MER-TECH-LAAMS-001-SLA
