play_id,metric_id,peer_or_archetype,play_name,metric_moved,delta,enablers,reference_pattern,domain,source_file,source_row,value_source
FIRSTCAPITAL-PLAY-0001,FIRSTCAPITAL-MET-0001,top quartile operator,First Capital Financial comparable transformation play 1,First Capital Financial benefit realization against committed value metric 1,8%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture,family-7-outcome-intelligence/O03_competitor-plays.csv,2,tenant_file
FIRSTCAPITAL-PLAY-0002,FIRSTCAPITAL-MET-0002,top quartile operator,First Capital Financial comparable transformation play 2,First Capital Financial elapsed time for target process metric 2,9%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time,family-7-outcome-intelligence/O03_competitor-plays.csv,3,tenant_file
FIRSTCAPITAL-PLAY-0003,FIRSTCAPITAL-MET-0003,top quartile operator,First Capital Financial comparable transformation play 3,First Capital Financial open control and governance pressure metric 3,10%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture,family-7-outcome-intelligence/O03_competitor-plays.csv,4,tenant_file
FIRSTCAPITAL-PLAY-0004,FIRSTCAPITAL-MET-0004,top quartile operator,First Capital Financial comparable transformation play 4,First Capital Financial active usage of changed workflow metric 4,11%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption,family-7-outcome-intelligence/O03_competitor-plays.csv,5,tenant_file
FIRSTCAPITAL-PLAY-0005,FIRSTCAPITAL-MET-0005,top quartile operator,First Capital Financial comparable transformation play 5,First Capital Financial unit cost across served population or customer journey metric 5,12%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve,family-7-outcome-intelligence/O03_competitor-plays.csv,6,tenant_file
FIRSTCAPITAL-PLAY-0006,FIRSTCAPITAL-MET-0006,top quartile operator,First Capital Financial comparable transformation play 6,First Capital Financial benefit realization against committed value metric 6,13%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture,family-7-outcome-intelligence/O03_competitor-plays.csv,7,tenant_file
FIRSTCAPITAL-PLAY-0007,FIRSTCAPITAL-MET-0007,top quartile operator,First Capital Financial comparable transformation play 7,First Capital Financial elapsed time for target process metric 7,14%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cycle_time,family-7-outcome-intelligence/O03_competitor-plays.csv,8,tenant_file
FIRSTCAPITAL-PLAY-0008,FIRSTCAPITAL-MET-0008,top quartile operator,First Capital Financial comparable transformation play 8,First Capital Financial open control and governance pressure metric 8,15%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,risk_posture,family-7-outcome-intelligence/O03_competitor-plays.csv,9,tenant_file
FIRSTCAPITAL-PLAY-0009,FIRSTCAPITAL-MET-0009,top quartile operator,First Capital Financial comparable transformation play 9,First Capital Financial active usage of changed workflow metric 9,16%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,adoption,family-7-outcome-intelligence/O03_competitor-plays.csv,10,tenant_file
FIRSTCAPITAL-PLAY-0010,FIRSTCAPITAL-MET-0010,top quartile operator,First Capital Financial comparable transformation play 10,First Capital Financial unit cost across served population or customer journey metric 10,17%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,cost_to_serve,family-7-outcome-intelligence/O03_competitor-plays.csv,11,tenant_file
FIRSTCAPITAL-PLAY-0011,FIRSTCAPITAL-MET-0011,top quartile operator,First Capital Financial comparable transformation play 11,First Capital Financial benefit realization against committed value metric 11,18%,data foundation; workflow redesign; governance evidence; adoption telemetry,context-to-move-pattern,value_capture,family-7-outcome-intelligence/O03_competitor-plays.csv,12,tenant_file
