quarter,cohort,respondents,flow_score_0_10,tool_satisfaction_0_10,ai_helpfulness_0_10,notes
2025Q1,Epic clinical,24,5.2,5.8,4.5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q1,Revenue cycle,27,5.6,6.3,5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q1,Platform,30,6,6.7,5.5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q1,Security,33,6.4,7.2,6,Synthetic DevEx baseline for Meridian Packet 19.
2025Q1,Data AI,36,6.8,5.8,6.5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q1,Digital,39,5.2,6.3,7,Synthetic DevEx baseline for Meridian Packet 19.
2025Q1,PMO,42,5.6,6.7,4.5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q1,Service desk,45,6,7.2,5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q1,Imaging,48,6.4,5.8,5.5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q1,Research,51,6.8,6.3,6,Synthetic DevEx baseline for Meridian Packet 19.
2025Q1,Corporate,54,5.2,6.7,6.5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q1,Integration,57,5.6,7.2,7,Synthetic DevEx baseline for Meridian Packet 19.
2025Q2,Epic clinical,24,5.2,5.8,4.5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q2,Revenue cycle,27,5.6,6.3,5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q2,Platform,30,6,6.7,5.5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q2,Security,33,6.4,7.2,6,Synthetic DevEx baseline for Meridian Packet 19.
2025Q2,Data AI,36,6.8,5.8,6.5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q2,Digital,39,5.2,6.3,7,Synthetic DevEx baseline for Meridian Packet 19.
2025Q2,PMO,42,5.6,6.7,4.5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q2,Service desk,45,6,7.2,5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q2,Imaging,48,6.4,5.8,5.5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q2,Research,51,6.8,6.3,6,Synthetic DevEx baseline for Meridian Packet 19.
2025Q2,Corporate,54,5.2,6.7,6.5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q2,Integration,57,5.6,7.2,7,Synthetic DevEx baseline for Meridian Packet 19.
2025Q3,Epic clinical,24,5.2,5.8,4.5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q3,Revenue cycle,27,5.6,6.3,5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q3,Platform,30,6,6.7,5.5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q3,Security,33,6.4,7.2,6,Synthetic DevEx baseline for Meridian Packet 19.
2025Q3,Data AI,36,6.8,5.8,6.5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q3,Digital,39,5.2,6.3,7,Synthetic DevEx baseline for Meridian Packet 19.
2025Q3,PMO,42,5.6,6.7,4.5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q3,Service desk,45,6,7.2,5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q3,Imaging,48,6.4,5.8,5.5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q3,Research,51,6.8,6.3,6,Synthetic DevEx baseline for Meridian Packet 19.
2025Q3,Corporate,54,5.2,6.7,6.5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q3,Integration,57,5.6,7.2,7,Synthetic DevEx baseline for Meridian Packet 19.
2025Q4,Epic clinical,24,5.2,5.8,4.5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q4,Revenue cycle,27,5.6,6.3,5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q4,Platform,30,6,6.7,5.5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q4,Security,33,6.4,7.2,6,Synthetic DevEx baseline for Meridian Packet 19.
2025Q4,Data AI,36,6.8,5.8,6.5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q4,Digital,39,5.2,6.3,7,Synthetic DevEx baseline for Meridian Packet 19.
2025Q4,PMO,42,5.6,6.7,4.5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q4,Service desk,45,6,7.2,5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q4,Imaging,48,6.4,5.8,5.5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q4,Research,51,6.8,6.3,6,Synthetic DevEx baseline for Meridian Packet 19.
2025Q4,Corporate,54,5.2,6.7,6.5,Synthetic DevEx baseline for Meridian Packet 19.
2025Q4,Integration,57,5.6,7.2,7,Synthetic DevEx baseline for Meridian Packet 19.
