evidence_name,source_type,source_system_owner,as_of_date,domains_covered,sensitivity,approval_status,approved_for_modules,reuse_scope,quality_notes,location_file,known_gaps,confidence
MERIDIAN-HEALTH-MH-ENTERPRISE-EV01 - AbarVa executive profile interview,SME interview / exported source inventory,Chief Strategy Officer,2026-07-14,Executive Office; Enterprise Strategy; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Approved for synthetic review,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/meridian-health/standard-2026-07-v3/evidence-manifest/meridian-health-mh-enterprise-ev01.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
MERIDIAN-HEALTH-MH-ENTERPRISE-EV02 - FY26 enterprise strategy workshop,Source extract / architecture artifact,Chief Strategy Officer,2026-07-14,Executive Office; Enterprise Strategy; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Needs client validation before active truth,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/meridian-health/standard-2026-07-v3/evidence-manifest/meridian-health-mh-enterprise-ev02.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
MERIDIAN-HEALTH-MH-CLINICAL-OPS-EV01 - Epic application inventory,SME interview / exported source inventory,CMO,2026-07-14,Provider Operations; Clinical Operations; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Approved for synthetic review,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/meridian-health/standard-2026-07-v3/evidence-manifest/meridian-health-mh-clinical-ops-ev01.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
MERIDIAN-HEALTH-MH-CLINICAL-OPS-EV02 - Clinical operations workshop notes,Source extract / architecture artifact,CMO,2026-07-14,Provider Operations; Clinical Operations; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Needs client validation before active truth,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/meridian-health/standard-2026-07-v3/evidence-manifest/meridian-health-mh-clinical-ops-ev02.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
MERIDIAN-HEALTH-MH-CLAIMS-OPS-EV01 - Claims platform extract,SME interview / exported source inventory,Health Plan COO,2026-07-14,Claims Operations; Health Plan Operations; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Approved for synthetic review,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/meridian-health/standard-2026-07-v3/evidence-manifest/meridian-health-mh-claims-ops-ev01.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
MERIDIAN-HEALTH-MH-CLAIMS-OPS-EV02 - Claims analytics SME interview,Source extract / architecture artifact,Health Plan COO,2026-07-14,Claims Operations; Health Plan Operations; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Needs client validation before active truth,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/meridian-health/standard-2026-07-v3/evidence-manifest/meridian-health-mh-claims-ops-ev02.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
MERIDIAN-HEALTH-MH-ELIGIBILITY-EV01 - Eligibility file inventory,SME interview / exported source inventory,VP Benefits Operations,2026-07-14,Eligibility and Benefits; Health Plan Operations; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Approved for synthetic review,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/meridian-health/standard-2026-07-v3/evidence-manifest/meridian-health-mh-eligibility-ev01.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
MERIDIAN-HEALTH-MH-ELIGIBILITY-EV02 - Benefits configuration extract,Source extract / architecture artifact,VP Benefits Operations,2026-07-14,Eligibility and Benefits; Health Plan Operations; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Needs client validation before active truth,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/meridian-health/standard-2026-07-v3/evidence-manifest/meridian-health-mh-eligibility-ev02.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
MERIDIAN-HEALTH-MH-PRIOR-AUTH-EV01 - Prior auth workflow export,SME interview / exported source inventory,VP Utilization Management,2026-07-14,Prior Authorization and UM; Utilization Management; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Approved for synthetic review,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/meridian-health/standard-2026-07-v3/evidence-manifest/meridian-health-mh-prior-auth-ev01.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
MERIDIAN-HEALTH-MH-PRIOR-AUTH-EV02 - UM clinical review sample,Source extract / architecture artifact,VP Utilization Management,2026-07-14,Prior Authorization and UM; Utilization Management; systems; data; risks; metrics,Synthetic/demo-only; may reference PHI/PII pattern but contains no real protected data,Needs client validation before active truth,Home; Intelligence; Moves; Source; Tower - candidate review only,Synthetic depth proof for template standard validation,Planning-grade synthetic evidence with explicit lineage and validation caveats.,tenant-inputs/generated/meridian-health/standard-2026-07-v3/evidence-manifest/meridian-health-mh-prior-auth-ev02.json,"Client source file, owner attestation, and as-of date must be validated before active use.",High
