system_id,system_name,vendor,version,deployment_model,domain,owner_person_id,annual_cost_usd,renewal_date,business_criticality,technical_debt_rating,data_sensitivity,integration_count,description,scope
system:golden:clinical_reporting-001,Oracle Health Clinical Reporting Module 001,Oracle Health,2024 R2,Hosted,clinical_reporting,person:golden:mei-fujimoto,287000,2027-02-15,High,Medium,Confidential,5,"Clinical analytics and quality reporting; synthetic Golden Move fixture system, not a real vendor deployment.",plan
system:golden:revenue_cycle-002,Salesforce Health Cloud Revenue Cycle Module 002,Salesforce Health Cloud,2025 R3,Hosted,revenue_cycle,person:golden:tobias-lindqvist,324000,2028-03-15,Medium,High,Internal,8,"Billing, coding, and collections; synthetic Golden Move fixture system, not a real vendor deployment.",provider
system:golden:claims_admin-003,Workday Claims Admin Module 003,Workday,2023 R4,SaaS,claims_admin,person:golden:aisha-boateng,361000,2026-04-15,Low,Low,Restricted,11,"Health plan claims adjudication; synthetic Golden Move fixture system, not a real vendor deployment.",plan
system:golden:member_services-004,ServiceNow Member Services Module 004,ServiceNow,2024 R1,Hosted,member_services,person:golden:ravi-chandrasekaran,398000,2027-05-15,Critical,Medium,Confidential,14,"Member-facing service and engagement; synthetic Golden Move fixture system, not a real vendor deployment.",provider
system:golden:population_health-005,Snowflake Population Health Module 005,Snowflake,2025 R2,Hosted,population_health,person:golden:helena-kowalczyk,435000,2028-06-15,High,High,Internal,17,"Risk stratification and care gaps; synthetic Golden Move fixture system, not a real vendor deployment.",plan
system:golden:data_platform-006,Databricks Data Platform Module 006,Databricks,2023 R3,SaaS,data_platform,person:golden:samuel-brightwater,472000,2026-07-15,Medium,Low,Restricted,20,"Enterprise data warehouse and pipelines; synthetic Golden Move fixture system, not a real vendor deployment.",provider
system:golden:security-007,Microsoft Azure Security Module 007,Microsoft Azure,2024 R4,Hosted,security,person:golden:renata-alves,509000,2027-08-15,Low,Medium,Confidential,23,"Identity, endpoint, and network security; synthetic Golden Move fixture system, not a real vendor deployment.",plan
system:golden:infrastructure-008,AWS Infrastructure Module 008,AWS,2025 R1,Hosted,infrastructure,person:golden:oliver-mackenzie,546000,2028-09-15,Critical,High,Internal,26,"Compute, storage, and network; synthetic Golden Move fixture system, not a real vendor deployment.",provider
system:golden:hr_workforce-009,UKG Hr Workforce Module 009,UKG,2023 R2,SaaS,hr_workforce,person:golden:felicia-nakashima,583000,2026-10-15,High,Low,Restricted,29,"HR, payroll, and scheduling; synthetic Golden Move fixture system, not a real vendor deployment.",plan
system:golden:finance_erp-010,SAP Ariba Finance Erp Module 010,SAP Ariba,2024 R3,Hosted,finance_erp,person:golden:benedict-osei,620000,2027-11-15,Medium,Medium,Confidential,32,"General ledger, AP/AR, planning; synthetic Golden Move fixture system, not a real vendor deployment.",provider
system:golden:supply_chain-011,Optum Supply Chain Module 011,Optum,2025 R4,Hosted,supply_chain,person:golden:carmen-delrio,657000,2028-12-15,Low,High,Internal,35,"Procurement and materials management; synthetic Golden Move fixture system, not a real vendor deployment.",plan
system:golden:telehealth-012,Waystar Telehealth Module 012,Waystar,2023 R1,SaaS,telehealth,person:golden:isadora-veltri,694000,2026-01-15,Critical,Low,Restricted,38,"Virtual visit and remote monitoring; synthetic Golden Move fixture system, not a real vendor deployment.",provider
system:golden:pharmacy-013,Availity Pharmacy Module 013,Availity,2024 R2,Hosted,pharmacy,person:golden:noor-haidari,731000,2027-02-15,High,Medium,Confidential,41,"Pharmacy dispensing and formulary; synthetic Golden Move fixture system, not a real vendor deployment.",plan
system:golden:imaging-014,NextGen Healthcare Imaging Module 014,NextGen Healthcare,2025 R3,Hosted,imaging,person:golden:walter-pemberton,768000,2028-03-15,Medium,High,Internal,4,"Radiology PACS/VNA; synthetic Golden Move fixture system, not a real vendor deployment.",provider
system:golden:lab-015,athenahealth Lab Module 015,athenahealth,2023 R4,SaaS,lab,person:golden:yolanda-esparza,805000,2026-04-15,Low,Low,Restricted,7,"Laboratory information systems; synthetic Golden Move fixture system, not a real vendor deployment.",plan
system:golden:care_management-016,Tableau Care Management Module 016,Tableau,2024 R1,Hosted,care_management,person:golden:desmond-attah,842000,2027-05-15,Critical,Medium,Confidential,10,"Case and utilization management; synthetic Golden Move fixture system, not a real vendor deployment.",provider
system:golden:provider_network-017,Power BI Provider Network Module 017,Power BI,2025 R2,Hosted,provider_network,person:golden:daniel-oyelaran,879000,2028-06-15,High,High,Internal,13,"Network contracting and credentialing; synthetic Golden Move fixture system, not a real vendor deployment.",plan
system:golden:actuarial-018,Innovaccer Actuarial Module 018,Innovaccer,2023 R3,SaaS,actuarial,person:golden:mei-fujimoto,916000,2026-07-15,Medium,Low,Restricted,16,"Actuarial and underwriting; synthetic Golden Move fixture system, not a real vendor deployment.",provider
system:golden:digital_front_door-019,Health Catalyst Digital Front Door Module 019,Health Catalyst,2024 R4,Hosted,digital_front_door,person:golden:tobias-lindqvist,953000,2027-08-15,Low,Medium,Confidential,19,"Member/patient digital access; synthetic Golden Move fixture system, not a real vendor deployment.",plan
system:golden:ai_ml_platform-020,Redox Ai Ml Platform Module 020,Redox,2025 R1,Hosted,ai_ml_platform,person:golden:aisha-boateng,990000,2028-09-15,Critical,High,Internal,22,"AI/ML model hosting and governance; synthetic Golden Move fixture system, not a real vendor deployment.",provider
system:golden:clinical_ehr-021,Twilio Clinical Ehr Module 021,Twilio,2023 R2,SaaS,clinical_ehr,person:golden:ravi-chandrasekaran,1027000,2026-10-15,High,Low,Restricted,25,"Provider clinical documentation and orders; synthetic Golden Move fixture system, not a real vendor deployment.",plan
system:golden:clinical_reporting-022,Nuance DAX Clinical Reporting Module 022,Nuance DAX,2024 R3,Hosted,clinical_reporting,person:golden:helena-kowalczyk,1064000,2027-11-15,Medium,Medium,Confidential,28,"Clinical analytics and quality reporting; synthetic Golden Move fixture system, not a real vendor deployment.",provider
system:golden:revenue_cycle-023,Zoom Revenue Cycle Module 023,Zoom,2025 R4,Hosted,revenue_cycle,person:golden:samuel-brightwater,1101000,2028-12-15,Low,High,Internal,31,"Billing, coding, and collections; synthetic Golden Move fixture system, not a real vendor deployment.",plan
system:golden:claims_admin-024,Okta Claims Admin Module 024,Okta,2023 R1,SaaS,claims_admin,person:golden:renata-alves,1138000,2026-01-15,Critical,Low,Restricted,34,"Health plan claims adjudication; synthetic Golden Move fixture system, not a real vendor deployment.",provider
system:golden:member_services-025,CrowdStrike Member Services Module 025,CrowdStrike,2024 R2,Hosted,member_services,person:golden:oliver-mackenzie,1175000,2027-02-15,High,Medium,Confidential,37,"Member-facing service and engagement; synthetic Golden Move fixture system, not a real vendor deployment.",plan
system:golden:population_health-026,Splunk Population Health Module 026,Splunk,2025 R3,Hosted,population_health,person:golden:felicia-nakashima,1212000,2028-03-15,Medium,High,Internal,40,"Risk stratification and care gaps; synthetic Golden Move fixture system, not a real vendor deployment.",provider
system:golden:data_platform-027,GE Healthcare Data Platform Module 027,GE Healthcare,2023 R4,SaaS,data_platform,person:golden:benedict-osei,1249000,2026-04-15,Low,Low,Restricted,3,"Enterprise data warehouse and pipelines; synthetic Golden Move fixture system, not a real vendor deployment.",plan
system:golden:security-028,Philips Security Module 028,Philips,2024 R1,Hosted,security,person:golden:carmen-delrio,1286000,2027-05-15,Critical,Medium,Confidential,6,"Identity, endpoint, and network security; synthetic Golden Move fixture system, not a real vendor deployment.",provider
system:golden:infrastructure-029,Sectra Infrastructure Module 029,Sectra,2025 R2,Hosted,infrastructure,person:golden:isadora-veltri,1323000,2028-06-15,High,High,Internal,9,"Compute, storage, and network; synthetic Golden Move fixture system, not a real vendor deployment.",plan
system:golden:hr_workforce-030,Omnicell Hr Workforce Module 030,Omnicell,2023 R3,SaaS,hr_workforce,person:golden:noor-haidari,1360000,2026-07-15,Medium,Low,Restricted,12,"HR, payroll, and scheduling; synthetic Golden Move fixture system, not a real vendor deployment.",provider
system:golden:finance_erp-031,BD Pyxis Finance Erp Module 031,BD Pyxis,2024 R4,Hosted,finance_erp,person:golden:walter-pemberton,1397000,2027-08-15,Low,Medium,Confidential,15,"General ledger, AP/AR, planning; synthetic Golden Move fixture system, not a real vendor deployment.",plan
