tenant_key,program_name,business_sponsor,technology_owner,objective,scope,status,phase,target_outcomes,dependencies,risks,budget_usd,expected_value_usd,source_file,source_date,confidence,known_gaps,original_source_file,original_packet,original_row_number,original_row_id,source_classification,source_fingerprint,consolidation_rule_used,conflict_status
apex-retail,Retail lakehouse and customer inventory graph,Chief Data Officer,Chief Data Officer,,,at_risk,mobilize,,identity and item-location data quality,identity and item-location data quality,95000000,95000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,2,APX-INIT-001,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,conflict_resolved
apex-retail,AI demand forecasting and replenishment,Chief Merchandising Officer,Chief Merchandising Officer,,,scale_candidate,pilot,,forecast explainability by category,forecast explainability by category,72000000,72000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,high,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,3,APX-INIT-002,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,conflict_resolved
apex-retail,Store labor scheduling optimization,COO,COO,,,hold_until_evidence,pilot,,labor-rule integration and manager adoption,labor-rule integration and manager adoption,51000000,51000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,4,APX-INIT-003,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,conflict_resolved
apex-retail,Shrink anomaly detection,Chief Risk Officer,Chief Risk Officer,,,at_risk,build,,camera/POS evidence linkage,camera/POS evidence linkage,68000000,68000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,5,APX-INIT-004,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,conflict_resolved
apex-retail,Search and personalization AI,Chief Digital Officer,Chief Digital Officer,,,scale_candidate,scale,,consent and customer identity gaps,consent and customer identity gaps,84000000,84000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,high,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,6,APX-INIT-005,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,conflict_resolved
apex-retail,Retail media measurement clean room,Chief Marketing Officer,Chief Marketing Officer,,,hold_until_evidence,design,,incrementality proof missing,incrementality proof missing,38000000,38000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,7,APX-INIT-006,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,conflict_resolved
apex-retail,BOPIS exception prediction,Chief Supply Chain Officer,Chief Supply Chain Officer,,,scale_candidate,pilot,,store inventory accuracy,store inventory accuracy,34000000,34000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,8,APX-INIT-007,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,conflict_resolved
apex-retail,Returns fraud triage,Chief Risk Officer,Chief Risk Officer,,,at_risk,build,,fairness and customer friction review,fairness and customer friction review,26000000,26000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,9,APX-INIT-008,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,conflict_resolved
apex-retail,Finance margin bridge automation,CFO,CFO,,,scale_candidate,pilot,,vendor funding lineage,vendor funding lineage,24000000,24000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,high,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,10,APX-INIT-009,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,conflict_resolved
apex-retail,ServiceNow store support agent,VP IT Operations,VP IT Operations,,,hold_until_evidence,pilot,,knowledge base quality,knowledge base quality,18000000,18000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,11,APX-INIT-010,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,conflict_resolved
apex-retail,Assortment localization copilot,Chief Merchandising Officer,Chief Merchandising Officer,,,prove_value,design,,planner workflow fit,planner workflow fit,30000000,30000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,low,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,12,APX-INIT-011,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,conflict_resolved
apex-retail,Store associate task assistant,COO,COO,,,prove_value,design,,mobile device and policy readiness,mobile device and policy readiness,43000000,43000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,low,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,13,APX-INIT-012,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,conflict_resolved
apex-retail,Supply chain ETA and carrier exception AI,Chief Supply Chain Officer,Chief Supply Chain Officer,,,scale_candidate,build,,carrier API latency,carrier API latency,36000000,36000000,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,2026-06-18,medium,none,datasets/tenant-inputs/active/apex-retail/current/09_programs_initiatives.csv,universal-standard-v3,14,APX-INIT-013,synthetic-demo,9220c43f1c6e3f4034478ca4adc772fe6af8a1a969b3d58c14195508b2ae8b8d,retained_from_active_source,conflict_resolved
