tenant_key,contract_id,vendor,contract_scope,portfolio_company,allocated_companies,annual_spend_usd,amount_type,accounting_treatment,spend_type,it_tower,renewal_date,seat_count,scope_type,allocation_method,criticality,utilization_pct,utilization_basis,source_template,confidence,is_synthetic
lakeshore-holdings,CON-0001,Microsoft,M365 E5 base + security add-ons,Lakeshore Shared Services,all_companies,4200000,annual_subscription_spend,OpEx,collaboration_tools,workplace_collaboration,2027-05-31,10500.0,shared_enterprise_contract,seat_count_based,high,74.5,source_provided,F11_vendors-contracts-licenses,medium,True
lakeshore-holdings,CON-0002,Microsoft,M365 Copilot add-on pilot,Lakeshore Shared Services,all_companies,900000,annual_subscription_spend,OpEx,AI_tooling,AI_automation,2027-05-31,2500.0,shared_enterprise_contract,seat_count_based,medium,86.0,source_provided,F11_vendors-contracts-licenses,medium,True
lakeshore-holdings,CON-0003,ServiceNow,ITSM/ESM workflow platform,Lakeshore Shared Services,all_companies,2200000,annual_subscription_spend,OpEx,SaaS,operations_service_management,2026-11-30,2500.0,shared_enterprise_platform,usage_based,high,82.7,source_provided,F11_vendors-contracts-licenses,medium,True
lakeshore-holdings,CON-0004,CrowdStrike,Endpoint security,Lakeshore Shared Services,all_companies,1350000,annual_subscription_spend,OpEx,security_tools,security_risk_compliance,2026-09-30,10500.0,shared_enterprise_contract,seat_count_based,medium,86.2,source_provided,F11_vendors-contracts-licenses,medium,True
lakeshore-holdings,CON-0005,Workday,HCM / finance planning modules,Lakeshore Shared Services,all_companies,2400000,annual_subscription_spend,OpEx,SaaS,business_applications,2027-02-28,8500.0,shared_enterprise_platform,headcount_based,high,71.4,source_provided,F11_vendors-contracts-licenses,medium,True
lakeshore-holdings,CON-0006,SAP,SAP ERP support + AMS,Northline Logistics Group,company_specific,8200000,annual_run_rate,OpEx,ERP_platform,ERP_finance_systems,2026-10-31,,portfolio_company_specific,direct,high,76.0,synthetic_fill_for_demo_readiness,F11_vendors-contracts-licenses,medium,True
lakeshore-holdings,CON-0007,Blue Yonder,Supply chain planning,Northline Logistics Group,company_specific,2800000,annual_subscription_spend,OpEx,SaaS,business_applications,2027-04-30,1200.0,portfolio_company_specific,direct,high,84.4,source_provided,F11_vendors-contracts-licenses,medium,True
lakeshore-holdings,CON-0008,Manhattan Associates,WMS platform,Northline Logistics Group,company_specific,3500000,annual_subscription_spend,OpEx,SaaS,business_applications,2026-12-31,2200.0,portfolio_company_specific,direct,high,70.8,source_provided,F11_vendors-contracts-licenses,medium,True
lakeshore-holdings,CON-0009,AWS,Cloud consumption - logistics data platform,Northline Logistics Group,company_specific,6400000,cloud_consumption,OpEx,cloud_consumption,infrastructure_cloud,2026-12-31,,portfolio_company_specific,usage_based,high,76.0,synthetic_fill_for_demo_readiness,F11_vendors-contracts-licenses,medium,True
lakeshore-holdings,CON-0010,Kyriba,Treasury cash visibility subscription,Northline Logistics Group,shared_treasury,1250000,annual_subscription_spend,OpEx,SaaS,ERP_finance_systems,2026-08-31,300.0,shared_service_contract,usage_based,medium,72.1,source_provided,F11_vendors-contracts-licenses,medium,True
lakeshore-holdings,CON-0011,Adobe,Adobe Creative/Experience Cloud,Crestpoint Marketing Services,company_specific,3100000,annual_subscription_spend,OpEx,SaaS,business_applications,2027-01-31,900.0,portfolio_company_specific,direct,high,81.6,source_provided,F11_vendors-contracts-licenses,medium,True
lakeshore-holdings,CON-0012,Salesforce,CRM and marketing cloud,Crestpoint Marketing Services,company_specific,2600000,annual_subscription_spend,OpEx,SaaS,business_applications,2026-07-31,750.0,portfolio_company_specific,direct,high,78.9,source_provided,F11_vendors-contracts-licenses,medium,True
lakeshore-holdings,CON-0013,Coupa,Sourcing and supplier management,Crestpoint Marketing Services,company_specific,1300000,annual_subscription_spend,OpEx,SaaS,business_applications,2027-03-31,300.0,portfolio_company_specific,direct,medium,77.1,source_provided,F11_vendors-contracts-licenses,medium,True
lakeshore-holdings,CON-0014,GitHub/OpenAI/Anthropic,Developer productivity and model API pool,Crestpoint Marketing Services,company_specific,850000,AI_model_consumption,OpEx,AI_tooling,AI_automation,2026-12-31,180.0,portfolio_company_specific,usage_based,medium,88.6,source_provided,F11_vendors-contracts-licenses,medium,True
